institute,city,url
University of Malawi,Zomba,https://www.unima.ac.mw
"Africa University of Guidance, Counselling and Youth Development",Lilongwe,http://augcyd.wixsite.com/augcyd-1
Blantyre International University,Blantyre,http://www.cybertechmw.com/biu
Catholic University of Malawi,Limbe,http://www.cunima.ac.mw
Columbia Commonwealth University Malawi,Blantyre,http://www.ccwum.org/index.php
Daeyang University,Lilongwe,http://dyuni.ac.mw
DMI St.John the Baptist University,Mangochi,http://www.dmisjbu.edu.mw
Exploits University,Lilongwe,http://www.exploitsuniversity.com
Lilongwe University of Agriculture and Natural Resources,Lilongwe,http://www.bunda.luanar.mw
Malawi Adventist University,Ntcheu,http://mau.ac.mw
Malawi College of Accountancy,Blantyre,http://www.mca.ac.mw
Mzuzu University,Luwinga,http://www.mzuni.ac.mw
ShareWORLD Open University,Lilongwe,http://shareworld.edu.mw
Skyway University,Lilongwe,http://www.skywayuniversity.net
UNICAF University Malawi,Lilongwe,https://unicafuniversity.ac.mw
University of Livingstonia,Livingstonia,http://www.ulivingstonia.com
"University of Malawi
Chancellor College",Zomba,http://www.chanco.unima.mw
"University of Malawi
College of Medicine",Chichiri,http://www.medcol.mw
"University of Malawi
Kamuzu College of Nursing",Lilongwe,http://www.kcn.unima.mw
Not-Found,Not-found,Webpage-Not-Found
