institute,city,url
AIMST University,Bedong,https://aimst.edu.my
International Islamic University Malaysia,Kuala Lumpur,https://www.iium.edu.my/v2
Lincoln University College,Petaling Jaya,https://lincoln.edu.my
Quest International University Perak,Ipoh,https://qiu.edu.my
University of Malaya,Kuala Lumpur,https://www.um.edu.my
University of Selangor,Shah Alam,https://www.unisel.edu.my
University Putra Malaysia,Serdang,https://upm.edu.my
University Sains Malaysia,Minden,https://www.usm.my
Al-Madinah International University,Shah Alam,http://www.mediu.edu.my
Asia e University,Kuala Lumpur,https://aeu.edu.my
Asia Metropolitan University,Kuala Lumpur,http://www.amu.edu.my
Asia Pacific University of Technology and Innovation,Kuala Lumpur,http://www.apu.edu.my
BERJAYA University College,Kuala Lumpur,http://www.berjaya.edu.my/university
Binary University of Management and Entrepreneurship,Puchong,http://www.binary.edu.my
City University,Petaling Jaya,https://www.city.edu.my
DRB-HICOM University of Automotive Malaysia,Pekan,https://www.dhuautomotive.edu.my
Geomatika University College,Kuala Lumpur,https://www.geomatika.edu.my
GlobalNxt University,Kuala Lumpur,https://www.globalnxt.edu.my
HELP University,Kuala Lumpur,http://www.help.edu.my
Infrastructure University Kuala Lumpur,Kajang,http://www.iukl.edu.my
INSANIAH University College,Alor Setah,http://www.insaniah.edu.my
International Centre for Education in Islamic Finance,Kuala Lumpur,http://www.inceif.org
International Medical University,Kuala Lumpur,http://www.imu.edu.my
International University College of Technology Twintech,Kuala Lumpur,http://www.twintech.edu.my
International University of Malaya-Wales,Kuala Lumpur,http://iumw.edu.my
Inti International University,Nilai,http://newinti.edu.my
Islamic Science University of Malaysia,Nilai,http://www.usim.edu.my
Islamic University of Malaysia,Cyberjaya,https://www.uim.edu.my
KDU University College,Shah Alam,http://university.kdu.edu.my
KPJ Healthcare University College,Nilai,https://www.kpjuc.edu.my
Kuala Lumpur Metropolitan University College,Kuala Lumpur,http://www.klmu.edu.my
Limkokwing University of Creative Technology,Cyberjaya,http://www.limkokwing.net
Linton University College,Mantin,http://www.linton.edu.my
MAHSA University,Jenjarum,https://mahsa.edu.my
Malaysia Institute for Supply Chain Innovation,Shah Alam,http://www.misi.edu.my
Malaysia University of Science and Technology,Petaling Jaya,http://www.must.edu.my
Management and Science University,Shah Alam,http://www.msu.edu.my
Manipal International University,Putra Nilai,https://www.miu.edu.my/miu.html
Multimedia University,Cyberjaya,http://www.mmu.edu.my
National Defence University of Malaysia,Kuala Lumpur,http://www.upnm.edu.my/en/index.php
National University of Malaysia,Bangi,http://www.ukm.my
Nilai University,Nilai,http://www.nilai.edu.my
Northern University of Malaysia,Sintok,http://www.uum.edu.my
Open University Malaysia,Kuala Lumpur,http://www.oum.edu.my
Perdana University,Serdang,http://www.perdanauniversity.edu.my
Petronas Technological University,Seri Iskandar,http://www.utp.edu.my
Putra Business School,Serdang,http://putrabusinessschool.edu.my
Raffles University Iskandar,Johor Bahru,http://www.raffles-university.edu.my
SEGi University and Colleges,Petaling Jaya,https://segi.edu.my
Selangor International Islamic University College,Kajang,http://www.kuis.edu.my
Southern University College,Skudai,http://www.southern.edu.my
Sultan Azlan Shah University,Kuala Kangsar,www.usas.edu.my/index.php/en
Sultan Idris University of Education,Tanjong Malim,http://www.upsi.edu.my
Sultan Zainal Abidin University,Kuala Terengganu,http://www.unisza.edu.my
Sunway University,Petaling Jaya,https://university.sunway.edu.my
TATI University College,Kemaman,http://www.tatiuc.edu.my
Taylor's University,Subang Jaya,https://university.taylors.edu.my/en.html
Technical University Malaysia Melaka,Durian Tunggal,http://www.utem.edu.my
Tenaga National University,Kajang,http://www.uniten.edu.my
Tun Abdul Razak University,Kuala Lumpur,http://www.unirazak.edu.my
Tun Hussein Onn University of Malaysia,Batu Pahat,http://www.uthm.edu.my/v2
Tunku Abdul Rahman University,Petaling Jaya,http://www.utar.edu.my
Tunku Abdul Rahman University of Management and Technology,Kuala Lumpur,http://www.tarc.edu.my
UCSI University,Kuala Lumpur,https://www.ucsiuniversity.edu.my
UNITAR International University,Petaling Jaya,http://www.unitar.my
Universiti Malaysia Perlis,Arau,http://www.unimap.edu.my
University College Bestari,Setiu,http://www.ucbestari.edu.my
University College of Agroscience Malaysia,Alor Gajah,http://www.ucam.edu.my
University College of Islam Melaka,Melaka,https://kuim.edu.my
University College of Technology Sarawak,Sibu,http://www.ucts.edu.my
University Malaysia of Computer Science and Engineering,Cyberjaya,https://www.unimy.edu.my
University Malaysia Terengganu,Kuala Terengganu,http://www.umt.edu.my
University of Cyberjaya,Cyberjaya,https://cyberjaya.edu.my
University of Kuala Lumpur,Kuala Lumpur,http://www.unikl.edu.my
University of Malaysia Kelantan,Kota Bharu,http://www.umk.edu.my
University of Malaysia Pahang,Pekan,http://www.ump.edu.my
University of Malaysia Sabah,Kota Kinabalu,http://www.ums.edu.my
University of Malaysia Sarawak,Kota Samarahan,http://www.unimas.my
University of Technology Malaysia,Johor Bahru,http://www.utm.my
University of Technology MARA,Shah Alam,http://www.uitm.edu.my
Veritas University College,Butterworth,http://www.veritas.edu.my
Wawasan Open University,Georgetown,http://www.wou.edu.my
