institute,city,url
African Institute of Management,Bamako,Webpage-Not-Found
ESC Mali School Of Management,Bamako,http://esc-mali.com
Gemini International Management Group,Bamako,http://www.universitegeminimanagement.sitew.com
Higher Institute of Applied Technologies,Bamako,Webpage-Not-Found
Higher Institute of Training and Applied Research,Bamako,Webpage-Not-Found
"Institute of Economics, Accountancy and Commerce",Bamako,http://www.intec-sup.com
"Institute of Political Science, International Relations and Communication",Bamako,http://www.ispric.com
International Institute of Management of Bamako,Bamako,http://www.groupbk.org
National School of Engineering,Bamako,https://www.eni-abt.ml
Private University Ahmed Baba,Bamako,http://www.universiteahmedbaba.com
Schoof of Management,Bamako,Webpage-Not-Found
School of Advanced Technological and Commercial Studies,Bamako,Webpage-Not-Found
"School of Engineering, Urban Planning and Architecture",Bamako,http://esiau-mali.com
"School of Management, Computer Science and Accountancy",Bamako,Webpage-Not-Found
Sup' Management Mali,Bamako,https://www.supmanagement.ml
Teacher Training School,Bamako,Webpage-Not-Found
Technical and Professional Teachers Training School,Bamako,http://enetp.edu.ml
Training and Consulting Centre for Local Development,Bamako,Webpage-Not-Found
University of Humanities and Social Sciences of Bamako,Bamako,http://www.ulshb.edu.ml
University of Law and Political Sciences of Bamako,Bamako,Webpage-Not-Found
University of Segou,Ségou,Webpage-Not-Found
University of Social Sciences and Management of Bamako,Bamako,Webpage-Not-Found
"University of the Sciences, Techniques and Technologies of Bamako",Bamako,http://www.usttb.edu.ml
