institute,city,url
Autonomous University of Baja California,Mexicali,https://www.uabc.mx
Autonomous University of Chiapas,Tuxtla Gutiérrez,https://www.unach.mx
Autonomous University of Nuevo León,San Nicolás de los Garza,https://www.uanl.mx
Autonomous University of Sinaloa,Culiacán,https://www.uas.edu.mx
Benemérita Autonomous University of Puebla,Puebla,https://www.buap.mx
CETYS University,Mexicali,https://www.cetys.mx
Hebrew University,México,https://www.uhebraica.edu.mx
"Ibero-American University, Mexico City",México,https://ibero.mx
La Salle University,México,https://lasalle.mx
Monterrey Institute of Technology,Monterrey,https://tec.mx/es
National Polytechnic Institute,México,https://www.ipn.mx
Technological University of Aguascalientes,Aguascalientes,https://www.utags.edu.mx
Technological University of the Mixteca,Huajuapan de León,https://www.utm.mx
University of Colima,Colima,https://www.ucol.mx
University of Guadalajara,Guadalajara,https://www.udg.mx
University of Guanajuato,Guanajuato,https://www.ugto.mx
University of the Sea,Puerto Ángel,https://www.umar.mx
University of Veracruz,Xalapa,https://www.uv.mx
20th of November School of Administrative Studies,Ocotlán,Webpage-Not-Found
21st Century University Centre,Pachuca,http://www.cusigloxxi.com.mx
Academic and Research Centre in Taxation,Monterrey,Webpage-Not-Found
Academic Centre of Advanced Studies,México,Webpage-Not-Found
Adele Ann Yglesias School of Physical Medicine and Rehabilitation of the ABC Medical Centre,México,http://www.abchospital.com
Adolfo López Mateos Centre for Advanced Studies,Córdoba,Webpage-Not-Found
Adolfo López Mateos University Studies Centre,Ocotlán,http://www.ceualm.com
Albert Einstein University,Monterrey,http://www.ualberteinstein.edu.mx
Alfonso Cravioto Institute of Advanced Teaching,Tulancingo,Webpage-Not-Found
Alfonso Reyes University,San Nicolás de los Garza,http://www.uar.edu.mx
Alfred Nobel University of Mexico,San Juan del Río,http://www.uninobel.edu.mx
Allende Centre for Advanced Studies,San Miguel de Allende,http://ceesanet.edu.mx
Allende Institute,San Miguel de Allende,http://www.instituto-allende.edu.mx
Allende University Centre,Tula de Allende,http://www.cenua.edu.mx
Alpha and Omega Institute of Higher Education,Villahermosa,Webpage-Not-Found
Alva Edison University,Puebla,http://www.unialvaedison.edu.mx
Alzate University of Ozumba,Ozumba,http://www.unicoalzate.com.mx
American Continent University,Celaya,http://www.uca.edu.mx
American International University,Ciudad Victoria,http://www.unida.edu.mx
American Technological University,México,http://www.uteca.mx
American University Centre of the State of Morelos,Cuernavaca,http://www.cuadem.edu.mx
American University of Acapulco,Acapulco de Juárez,http://www.uaa.edu.mx
American University of Morelos,Cuernavaca,http://www.uam.edu.mx
American University of the Isthmus,Coatzacoalcos,http://www.istmoamericana.com.mx/
Anáhuac College of Advanced Studies,Tulancingo,Webpage-Not-Found
Anáhuac Incorporated Private Teacher Training School,Morelia,Webpage-Not-Found
"Anáhuac Mexico University
Anáhuac Xalapa University",Xalapa,https://www.anahuac.mx/veracruz
Anáhuac University Mayab,Mérida,http://www.anahuacmayab.mx
Anáhuac University of Cancún,Cancún,http://www.anahuaccancun.edu.mx
Anáhuac University of North Mexico,Huixquilucán,http://www.anahuac.mx
Anáhuac University of Oaxaca,Oaxaca,http://www.anahuacoaxaca.edu.mx
Anahuac University of Puebla,San Andrés Cholula,http://www.anahuacpuebla.org
