institute,city,url
Free International University of Moldova,Chişinău,https://ulim.md
Moldova State University,Chişinău,http://usm.md
Nicolae Testemiţanu Moldova State University of Medicine and Pharmacy,Chişinău,https://www.usmf.md
Academy of Economic Studies of Moldova,Chişinău,https://ase.md
"Academy of Music, Theatre and Fine Arts",Chişinău,http://www.amtap.md
Academy of Public Administration,Chisinau,http://www.aap.gov.md
Academy Stefan Cel Mare,Chişinău,http://www.academy.police.md
Alecu Russo State University of Bălţi,Bălţi,https://usarb.md
Bogdan Petriceicu Haşdeu State University in Cahul,Cahul,https://www.usch.md
Comrat State University,Comrat,https://kdu.md
Constantin Stere University of European Political and Economic Studies,Chişinău,https://uspee.md
Dimitrie Cantemir State University,Chişinău,http://edu.asm.md
IMI-NOVA International Management Institute,Chişinău,https://www.imi-nova.md
Institute of Criminal Science and Applied Criminology,Chişinău,https://criminology.md
Ion Creanga State Pedagogical University,Chişinău,https://upsc.md
Moldova International Relations Institute,Chişinău,http://www.irim.md
Perspectiva University-INT,Chişinău,http://www.perspectiva.md
Slavonic University,Chişinău,http://www.surm.md
State Agrarian University of Moldova,Chişinău,https://www.uasm.md
State University of Physical Education and Sports,Chişinău,http://www.usefs.md
Technical University of Moldova,Chişinău,https://utm.md
The American University of Moldova,Chișinău,https://americanuniversity.md
Tiraspol State University,Chişinău,http://ust.md
Trade Co-operative University of Moldova,Chişinău,http://www.uccm.md
University of European Studies of Moldova,Chişinău,https://www.usem.md
