institute,city,url
Eduardo Mondlane University,Maputo,https://www.uem.mz
Alberto Chipande Institute of Science and Technology,Beira,http://www.isctac.org
Catholic University of Mozambique,Beira,http://www.ucm.ac.mz
Don Bosco Institute of Science and Management,Maputo,www.isdb.ac.mz
Gaza Polytechnic Institute,Chokwe,http://www.ispg.ac.mz/
Institute of Art and Culture,Maputo,http://www.isarc.edu.mz
Institute of Business Management,Manjacaze,http://isgn.ac.mz
Institute of Communication and Image Studies,Maputo,http://iscim.ac.mz
Institute of Education and Technology/One World University,Namaacha - Changalane,http://www.oneworlduniversity.org
Institute of Health Sciences,Maputo,http://www.iscisa.ac.mz
Institute of International Relations,Maputo,http://www.isri.ac.mz
Institute of Local Studies and Development,Manhiça,Webpage-Not-Found
"Institute of Management, Business and Education",Maputo,http://www.isg.ac.mz
"Institute of Management, Business and Finance",Maputo,www.isgecof.ac.mz
Institute of Public Administration,Maputo,http://www.isap.gov.mz
Institute of Science and Management,Nacala-Porto,Webpage-Not-Found
Institute of Technology and Management,Boane,http://www.isteg.ac.mz
"Institute of Training, Research and Science",Maputo,www.isfic.co.mz
Institute of Transport and Communications,Maputo,http://www.transcom.co.mz/isutc
Jean Piaget University of Mozambique,Maputo,http://www.unipiaget.ac.mz
Lurio University,Nampula,http://www.unilurio.ac.mz
Manica Polytechnic Institute,Manica,http://www.ispm.ac.mz
Monitor Institute,Maputo,https://www.ismonitor.ac.mz
Mother Mary Africa Institute,Maputo,http://www.ismma.ac.mz
Mozambique Institute of Accountancy and Auditing,Maputo,http://www.iscam.ac.mz
Mozambique Institute of Science and Technology,Maputo,http://www.isctem.ac.mz
Mussa Bin Bique University,Nampula,http://www.umb.ac.mz
Mutasa Institute,Manica,Webpage-Not-Found
Nachingwea University,Matola,http://www.una.ac.mz
Pedagogical University,Maputo,http://www.up.ac.mz
Polytechnic University,Maputo,http://www.apolitecnica.ac.mz
Saint Thomas University of Mozambique,Maputo,http://www.ustm.ac.mz
School of Corporate and Social Management,Maputo,http://cbs-school.com
School of Economics and Management,Maputo,http://www.eseg.ac.mz
School of Journalism,Maputo,http://www.esj.ac.mz
School of Nautical Sciences,Maputo,http://www.enautica.ac.mz
Songo Polytechnic Institute,Songo,http://www.ispsongo.ac.mz
Technical University of Mozambique,Maputo,http://www.udm.ac.mz
Tete Polytechnic Institute,Tete,http://ispt.ac.mz
Zambeze University,Beira,http://www.unizambeze.ac.mz
