institute,city,url
Bamaw Technological University,Bamaw,Webpage-Not-Found
Bamaw University of Computer Studies,Bamaw,Webpage-Not-Found
"Co-operative University, Thanlyin",Thanlyin,http://www.myancoop.gov.mm/en/?q=ThanlyinUniversity/historical-background
Dagon University,Yangon,https://www.dagonuniversity.edu.mm
Dawei Education College,Dawei,Webpage-Not-Found
Dawei Technological University,Dawei,Webpage-Not-Found
Dawei University,Dawei,Webpage-Not-Found
Dawei University of Computer Studies,Dawei,Webpage-Not-Found
East Yangon University,Yangon,Webpage-Not-Found
Hinthada Technological University,Hinthada,Webpage-Not-Found
Hinthada University,Hinthada,http://www.hinthadauniversity.edu.mm
Hpa-an University,Hpa-an,Webpage-Not-Found
Hpa-an University of Computer Studies,Hpa-an,Webpage-Not-Found
Hpa-anTechnological University,Hpa-an,Webpage-Not-Found
Kalay Technological University,Kalay,Webpage-Not-Found
Kalay University,Kalay,Webpage-Not-Found
Kalay University of Computer Studies,Kalay,Webpage-Not-Found
Kyaingtong Technological University,Kyaingtong,Webpage-Not-Found
Kyaingtong University of Computer Studies,Kyaingtong,Webpage-Not-Found
Kyaukse Technological University,Kyaukse,Webpage-Not-Found
Lashio Technological University,Lashio,Webpage-Not-Found
Lashio University of Computer Studies,Lashio,Webpage-Not-Found
Loikaw Computer University,Loikaw,Webpage-Not-Found
Loikaw Technological University,Loikaw,Webpage-Not-Found
Magway Education College,Magway,Webpage-Not-Found
Magway Technological University,Magway,Webpage-Not-Found
Magway University of Community Health,Magway,Webpage-Not-Found
Magway University of Computer Studies,Magway,Webpage-Not-Found
Mandalay Education College,Mandalay,Webpage-Not-Found
Mandalay Technological University,Mandalay,http://www.most.gov.mm/mtu
Mandalay University,Mandalay,http://www.mu.edu.mm/
Mandalay University of Computer Studies,Mandalay,http://www.ucsm.edu.mm/
Mandalay University of Dental Medicine,Mandalay,Webpage-Not-Found
Mandalay University of Distance Education,Mandalay,http://www.mude.edu.mm
Mandalay University of Foreign Languages,Mandalay,Webpage-Not-Found
Mandalay University of Medical Technology,Mandalay,Webpage-Not-Found
Mandalay University of Medicine,Mandalay,http://www.ummdy.com/
Mandalay University of Nursing,Mandalay,http://universityofnursingmandalay.com
Maubin Technological University,Maubin,Webpage-Not-Found
Maubin University of Computer Studies,Maubin,https://ucsmub.edu.mm
Mawlamyine Education College,Mawlamyine,Webpage-Not-Found
Mawlamyine Technological University,Mawlamyine,http://tumawlamyine.edu.mm
Mawlamyine University,Mawlamyine,Webpage-Not-Found
Meiktila Institute of Economics,Meiktila,Webpage-Not-Found
Meiktila University,Meiktila,Webpage-Not-Found
Monywa Institute of Economics,Monywa,Webpage-Not-Found
Monywa Technological University,Monywa,Webpage-Not-Found
Monywa University,Monywa,Webpage-Not-Found
Monywa University of Computer Studies,Monywa,Webpage-Not-Found
Myanmar Aerospace and Aeronautical Engineering University,Meikhtila,Webpage-Not-Found
Myanmar Maritime University,Yangon,http://www.mmu.edu.mm
Myeik Technological University,Myeik,http://www.tumyeik.edu.mm/?lang=en
Myeik University,Myeik,http://www.myeikuniversity.edu.mm/?lang=en
Myeik University of Computer Studies,Myeik,Webpage-Not-Found
Myitkyina University,Myitkyina,Webpage-Not-Found
Myitkyina University of Computer Studies,Myitkyina,Webpage-Not-Found
MyitkyinaTechnological University,Myitkyina,Webpage-Not-Found
"National Management College,Yangon",Yangon,Webpage-Not-Found
Pakokku Technological University,Pakokku,Webpage-Not-Found
Pakokku University of Computer Studies,Pakokku,Webpage-Not-Found
Pathein University,Pathein,Webpage-Not-Found
Pyay Technological University,Pyay,Webpage-Not-Found
Pyay University of Computer Studies,Pyay,Webpage-Not-Found
Sagaing Institute of Education,Sagaing,Webpage-Not-Found
Sagaing University of Cooperatives,Sagaing,Webpage-Not-Found
Sittway Technological University,Sittway,Webpage-Not-Found
Sittway University,Sittway,Webpage-Not-Found
Sittway University of Computer Studies,Sittway,Webpage-Not-Found
Taunggyi University,Taunggyi,Webpage-Not-Found
Taungoo Educational College,Taungoo,Webpage-Not-Found
Taungoo Technological University,Taungoo,Webpage-Not-Found
Taungoo University,Bago,Webpage-Not-Found
Taungoo University of Computer Studies,Taungoo,Webpage-Not-Found
"Technological University, Mandalay",Mandalay,http://www.most.gov.mm/mdytu/
Thanlyin Technological University,Thanlyin,Webpage-Not-Found
University for Development of National Races,Sagaing,Webpage-Not-Found
"University of Computer Studies, Yangon",Yangon,http://www.ucsy.edu.mm/
"University of Culture, Mandalay",Mandalay,http://www.culture.gov.mm/Universities/NUAC_MDY/default.asp
"University of Culture, Yangon",Yangon,Webpage-Not-Found
"University of Dental Medicine, Yangon",Yangon,http://www.udmyangon-edu.com
University of Forestry,Yezin,Webpage-Not-Found
"University of Medicine 1, Yangon",Yangon,http://www.um1ygn.edu.mm
"University of Medicine 2, Yangon",Yangon,http://www.um2ygn.edu.mm
University of Medicine Magway,Magway,http://www.ummg.edu.mm/
"University of Nursing, Yangon",Yangon,http://www.uonygn.edu.mm
"University of Pharmacy, Mandalay",Madalay,Webpage-Not-Found
"University of Pharmacy, Yangon",Yangon,Webpage-Not-Found
"University of Traditional Medicine, Mandalay",Mandalay,Webpage-Not-Found
"University of Veterinary Science, Yezin",Pyinmana,Webpage-Not-Found
University of Yangon,Yangon,https://www.uy.edu.mm
Yadanabon University,Mandalay,Webpage-Not-Found
Yangon Institute of Economics,Yangon,Webpage-Not-Found
Yangon Technological University,Yangon,http://www.most.gov.mm
Yangon University of Distance Education,Yangon,http://www.yude.edu.mm
Yangon University of Education,Yangon,http://www.yuoe.edu.mm
Yangon University of Foreign Languages,Yangon,Webpage-Not-Found
Yezin Agricultural University,Pyinmana,Webpage-Not-Found
