institute,city,url
Tribhuvan University,Kathmandu,http://www.tribhuvan-university.edu.np
Agriculture and Forestry University,Rampur,http://www.afu.edu.np
B.P. Koirala Institute of Health Sciences,Dharan,http://www.bpkihs.edu
Far Western University,Mahendranagar,http://farwesternuniversity.edu.np
Kathmandu University,Dhulikhel,http://www.ku.edu.np
Lumbini Buddhist University,Llumbini,http://www.lbu.edu.np
Mid-Western University,Surkhet,http://www.mwu.edu.np
National Academy of Medical Sciences,Kathmandu,http://nams.org.np
Nepal Sanskrit University,Dang,Webpage-Not-Found
Patan Academy of Health Sciences,Patan,http://www.pahs.edu.np
Pokhara University,Pokhara,http://www.pu.edu.np
Purbanchal University,Biratnagar,http://purbuniv.edu.np
