institute,city,url
Leiden University,Leiden,https://www.universiteitleiden.nl
Radboud University Nijmegen,Nijmegen,https://www.ru.nl
Tilburg University,Tilburg,https://www.tilburguniversity.edu
University of Groningen,Groningen,https://www.rug.nl
Utrecht University,Utrecht,https://www.uu.nl
Actuarial Institute,Utrecht,https://www.ag-ai.nl
Aeres University of Applied Sciences,Dronten,https://www.aeresuas.com
Amsterdam School of Real Estate,Amsterdam,https://www.asre.nl
Amsterdam University of Applied Sciences (AUAS),Amsterdam,https://www.hva.nl
Amsterdam University of the Arts,Amsterdam,https://www.ahk.nl
Artemis Academy,Amsterdam,https://academieartemis.nl
ArtEZ Institute of the Arts,Arnhem,https://www.artez.nl
Avans University of Applied Science,Breda,https://www.avans.nl
Breda University of Applied Sciences,Breda,https://www.buas.nl
Breederode University of Applied Science,Rotterdam,https://www.breederode.nl
Business School Netherlands,Buren,https://www.bsn.eu
Business School Notenboom,Eindhoven,http://www.notenboom.nl
Capabel Hogeschool,Utrecht,https://www.capabelhogeschool.nl
Christian University of Applied Sciences,Ede,https://www.che.nl
Codarts University for the Arts,Rotterdam,https://www.codarts.nl
De Kempel University Teacher Education College,Helmond,https://www.kempel.nl
Delft University of Technology,Delft,https://www.tudelft.nl
Design Academy Eindhoven,Eindhoven,https://www.designacademy.nl
Driestar University for Teacher Education,Gouda,http://www.driestar-hogeschool.nl
Eindhoven University of Technology,Eindhoven,https://www.tue.nl
Erasmus University Rotterdam,Rotterdam,https://www.eur.nl
"Erasmus University Rotterdam
Institute for Housing and Urban Development Studies",Rotterdam,https://www.ihs.nl
EuroPort Business School,Rotterdam,http://www.epbs.nl
Fontys University of Applied Sciences,Eindhoven,https://fontys.nl
Gerrit Rietveld Academy,Amsterdam,https://rietveldacademie.nl
HAN University of Applied Sciences,Arnhem,https://www.han.nl
Hanze University of Applied Sciences Groningen,Groningen,https://www.hanze.nl
HAS University of Applied Sciences,Hertogenbosch,https://www.hasuniversity.nl
HKU University of the Arts Utrecht,Utrecht,https://www.hku.nl
Hotel School The Hague,Den Haag,https://hotelschool.nl
HZ University of Applied Sciences,Vlissingen,http://www.hz.nl
IHE Delft Institute for Water Education,Delft,http://www.un-ihe.org
INHOLLAND University of Applied Sciences,Diemen,https://www.inholland.nl
IPabo University of Applied Sciences,Amsterdam,https://www.ipabo.nl
Iselinge University of Applied Sciences,Doetinchem,https://www.iselinge.nl
Katholieke Pabo Zwolle,Zwolle,https://www.kpz.nl
Luzac University of Applied Science,Hilversum,https://hogeschool.luzac.nl/
Maastricht School of Management,Maastricht,https://www.msm.nl
Maastricht University,Maastricht,https://www.maastrichtuniversity.nl
Marnix Academy,Utrecht,https://www.marnixacademie.nl
NHL Stenden University of Applied Sciences,Leeuwarden,https://www.nhlstenden.com
NTI University of Applied Sciences,Leiden,https://www.nti.nl
Nyenrode Business University,Breukelen,https://www.nyenrode.nl
Open University of the Netherlands,Heerlen,https://www.ou.nl
Rotterdam University of Applied Sciences,Rotterdam,https://www.rotterdamuas.com
Royal Tropical Institute,Amsterdam,https://www.kit.nl
Saxion University of Applied Sciences,Hengelo,https://www.saxion.nl
The Hague University of Applied Sciences,Den Haag,https://www.dehaagsehogeschool.nl
THIM University of Applied Sciences in Physiotherapy,Nieuwegein,https://www.thim.nl
Tias School for Business and Society,Tilburg,https://www.tias.edu
TIO University of Applied Sciences,Utrecht,https://www.tio.nl
University of Amsterdam,Amsterdam,https://www.uva.nl
University of Applied Sciences Leiden,Leiden,https://www.hsleiden.nl
University of Applied Sciences Utrecht,Utrecht,https://www.hu.nl
University of Humanistic Studies,Utrecht,https://www.uvh.nl
"University of the Arts, The Hague",Den Haag,https://www.kabk.nl
University of Twente,Enschede,https://www.utwente.nl
Van Hall Larenstein University of Applied Sciences,Leeuwarden,https://www.hvhl.nl
Viaa University of Applied Sciences,Zwolle,https://www.viaa.nl
VU University Amsterdam,Amsterdam,https://www.vu.nl
Wageningen University and Research,Wageningen,https://www.wur.nl
Webster University Leiden Campus,Leiden,http://www.webster.nl
Windesheim University of Applied Sciences,Zwolle,https://www.windesheim.nl
Wittenborg University of Applied Sciences,Apeldoorn,https://www.wittenborg.eu
Zuyd University of Applied Sciences,Heerlen,https://www.zuyd.nl
