institute,city,url
Southern Institute of Technology,Invercargill,https://www.sit.ac.nz
Unitec New Zealand Limited,Auckland,https://www.unitec.ac.nz
Universal College of Learning,Palmerston North,http://www.ucol.ac.nz
academyEX Education Limited Partnership,Auckland,https://academyex.com
Ara Institute of Canterbury,Christchurch,http://www.ara.ac.nz
Auckland Institute of Studies,Auckland,http://www.ais.ac.nz
Auckland University of Technology,Auckland,http://www.aut.ac.nz
"Centre for Higher Learning of Ngati Raukawa, Ngatitoa and Te Atiawa Tribes",Otaki,http://www.twor.ac.nz
Eastern Institute of Technology,Taradale,http://www.eit.ac.nz
House for Higher Learning of Awanuiarangi,Whakatane,http://www.wananga.ac.nz
International Pacific College,Palmerston North,http://www.ipc.ac.nz
Lincoln University,Canterbury,http://www.lincoln.ac.nz
Massey University,Palmerston North,http://www.massey.ac.nz
"Massey University
Albany Campus",North Shore City,http://www.massey.ac.nz
"Massey University
Palmerston North Campus",Palmerston North,http://www.massey.ac.nz/massey/student-life/manawatu-campus/palmerston-north_home.cfm
"Massey University
Wellington Campus",Wellington,http://www.massey.ac.nz/massey/contact/wellington-campus/en/wellington-campus_home.cfm
Medical Research Institute of New Zealand,Wellington,http://www.mrinz.ac.nz
Nelson Marlborough Institute of Technology,Nelson,http://www.nmit.ac.nz
New Zealand Drama School,Wellington South,http://www.toiwhakaari.ac.nz
New Zealand Tertiary College,Auckland,http://www.nztertiarycollege.ac.nz/
Otago Polytechnic,Dunedin,http://www.otagopolytechnic.ac.nz
Pacific International Hotel Management School,New Plymouth,http://www.pihms.ac.nz
The University of Auckland,Auckland,http://www.auckland.ac.nz
The University of Waikato,Hamilton,http://www.waikato.ac.nz
Toi Ohomai Institute of Technology,Rotorua,http://www.waiariki.ac.nz
University of Canterbury,Christchurch,http://www.canterbury.ac.nz
University of Otago,Dunedin,http://www.otago.ac.nz
Victoria University of Wellington,Wellington,http://www.vuw.ac.nz
Waikato Institute of Technology,Hamilton,http://www.twp.ac.nz
Whitecliffe College of Arts and Design,Auckland,http://www.whitecliffe.ac.nz
