institute,city,url
Maryam Abacha American University of Niger,Maradi,http://maaun.net
Abdou Moumouni University of Niamey,Niamey,http://uam.refer.ne
African School of Meteorology and Civil Aviation,Niamey,http://www.eamac.ne
Agrhymet Regional Centre,Niamey,http://www.agrhymet.ne
Institute for Information and Communication Technologies Training,Niamey,Webpage-Not-Found
Islamic University of Niger,Niamey,http://universite-say.com
"School of Mining Engineering, Industry and Geology",Niamey,http://www.emig-niger.org
University of Maradi,Maradi,http://www.uddm.edu.ne
University of Tahoua,Tahoua,Webpage-Not-Found
University of Zinder,Zinder,Webpage-Not-Found
