institute,city,url
Al-Hikmah University,Ilorin,https://alhikmahuniversity.edu.ng
Covenant University,Ota,https://covenantuniversity.edu.ng
Edo State University Uzairue,Auchi,https://www.edouniversity.edu.ng
Nnamdi Azikiwe University,Awka,https://unizik.edu.ng
Umaru Musa Yar'adua University,Katsina,https://umyu.edu.ng
University of Abuja,Abuja,https://www.uniabuja.edu.ng
University of Ilorin,Ilorin,https://www.unilorin.edu.ng
Abia State University,Uturu,http://www.absuu.net
Abubakar Tafawa Balewa University,Bauchi,http://www.atbu.edu.ng
Achievers University,Owo,http://achievers.edu.ng
"Adamawa State University, Mubi",Mubi,http://www.adsu.edu.ng
Adekunle Ajasin University,Akungba-Akoko,http://www.aaua.edu.ng
Adeleke University,Ede,http://www.adelekeuniversity.edu.ng
Afe Babalola University,Ado-Ekiti,http://www.abuad.edu.ng
African University of Science and Technology,Abuja,http://aust-abuja.org
Ahmadu Bello University,Zaria,http://www.abu.edu.ng
Air-Force Institute of Technology,Kaduna,http://www.afit.edu.ng
Ajayi Crowther University,Oyo,http://www.acu.edu.ng
Akwa Ibom State University,Uyo,http://www.aksu.edu.ng
"Al-Qalam University, Katsina",Katsina,http://auk.edu.ng
Ambrose Alli University,Ekpoma,http://www.aauekpoma.edu.ng
American University of Nigeria,Yola,http://www.americanuniversitynigeria.org
"Auchi Polytechnic, Auchi",Auchi,http://auchipoly.edu.ng
Babcock University,Ilishan-Remo,http://www.babcock.edu.ng
"Bayero University, Kano",Kano,http://buk.edu.ng
Baze University,Abuja,http://www.bazeuniversity.edu.ng
Bells University of Technology,Ota,http://www.bellsuniversity.edu.ng
Benson Idahosa University,Benin City,https://www.biu.edu.ng
Benue State University,Makurdi,http://www.bsum.edu.ng
Bingham University,Karu,http://www.binghamuni.edu.ng
Bowen University,Iwo,http://www.bowenuniversity.edu.org
Caleb University,Lagos,http://www.calebuniversity.edu.ng
Caritas University,Amorji Nike,http://www.caritasuni.edu.ng
Chukwuemeka Odumegwu Ojukwu University,Uli,http://coou.edu.ng
Crawford University,Igbesa,http://www.crawforduniversity.edu.ng
Crescent University,Abeokuta,http://crescent-university.edu.ng
Cross River University of Technology,Calabar,http://crutech.edu.ng
Delta State University,Abraka,http://www.delsu.edu.ng
Dominican University Ibadan,Ibadan,https://dui.edu.ng
Ebonyi State University,Abakaliki,http://www.ebsu-edu.net
"Ekiti State University, Ado-Ekiti",Ado-Ekiti,http://eksu.edu.ng
Elizade University,Ilara-Mokin,http://www.elizadeuniversity.edu.ng
Enugu State University of Science and Technology,Enugu,http://www.esut.edu.ng
Federal College of Fisheries and Marine Technology,Lagos,http://www.marinecollege-edu.org
Federal University Dutse,Dutse,http://www.fud.edu.ng
"Federal University Ndufu-Alike, Ikwo",Abakaliki,http://www.funai.edu.ng
"Federal University of Agriculture, Abeokuta",Abeokuta,http://www.unaab.edu.ng
Federal University of Petroleum Resources,Effurun,http://www.fupre.edu.ng
"Federal University of Technology, Akure",Akure,http://futa.edu.ng
"Federal University of Technology, Minna",Minna,http://www.futminna.edu.ng
"Federal University of Technology, Owerri",Owerri,http://www.futo.edu.ng
"Federal University, Dutsin-Ma",Dutsin-Ma,https://fudutsinma.edu.ng
"Federal University, Kashere",Kashere,Webpage-Not-Found
"Federal University, Lafia",Lafia,http://fulafia.edu.ng
"Federal University, Lokoja",Lokoja,http://www.fulokoja.edu.ng
"Federal University, Otuoke",Yenagoa,http://www.fuotuoke.edu.ng
"Federal University, Oye-Ekiti",Oye-Ekiti,http://fuoye.edu.ng
"Federal University, Wukari",Wukari,http://www.fuwukari.edu.ng
Fountain University,Osogbo,http://www.fountainuniversity.edu.ng
Godfrey Okoye University,Enugu,http://www.gouni.edu.ng
Gombe State University,Gombe,http://gsu.edu.ng
