institute,city,url
"Sts. Cyril and Methodius University, Skopje",Skopje,https://www.ukim.edu.mk
Business Academy Smilevski,Skopje,http://www.bas.edu.mk/
European University of Macedonia,Skopje,http://www.eurm.edu.mk
FON University,Skopje,http://www.fon.edu.mk
Goce Delchev University Stip,Štip,http://www.ugd.edu.mk/
Higher Education Professional Institution for Business Studies Euro College Kumanovo,Kumanovo,http://www.eurocollege.edu.mk/
"Higher School of Journalism and Public Relations, Skopje",Skopje,http://vs.edu.mk
Integrated Business Faculty,Skopje,http://www.fbe.edu.mk
International Balkan University,Skopje,https://www.ibu.edu.mk
International Slavic University G. R. Derzhavin in Sveti Nikole,Sveti Nikole,http://msu.edu.mk/
International University of Struga,Struga,http://www.eust.edu.mk/
International Vision University,Gostivar,http://www.vizyon.edu.mk
"MIT University, Skopje",Skopje,https://www.mit.edu.mk
South East European University,Tetovo,https://www.seeu.edu.mk
"St.Kliment Ohridski University, Bitola",Bitola,https://www.uklo.edu.mk
State University of Tetova,Tetovo,http://www.unite.edu.mk
University American College in Skopje,Skopje,http://www.uacs.edu.mk/
University of Audiovisual Arts,Skopje,http://www.esra.com.mk
University of Information Science and Technology 'St. Paul the Apostle',Ohrid,http://uist.edu.mk/
University of Tourism and Management in Skopje,Skopje,http://www.utms.edu.mk/
