institute,city,url
Inland Norway University of Applied Sciences,Elverum,https://www.inn.no
Norwegian University of Life Sciences,Ås,https://www.nmbu.no
University of Bergen,Bergen,https://www.uib.no
University of Oslo,Oslo,https://www.uio.no
Western Norway University of Applied Sciences,Bergen,https://www.hvl.no
Bergen School of Architecture,Bergen,http://www.bergenarkitektskole.no
BI Norwegian Business School,Oslo,http://www.bi.no
Kristiania University College,Oslo,https://kristiania.no
Lovisenberg Diaconal University College,Oslo,http://www.ldh.no
Molde University College - Specialized University in Logistics,Molde,http://www.himolde.no
NLA University College,Bergen,http://www.nla.no
Nord University,Bodø,http://www.nord.no
Norwegian Academy of Music,Oslo,http://www.nmh.no
Norwegian Defence University College,Lillehammer,https://forsvaret.no
Norwegian Police University College,Oslo,http://www.phs.no
Norwegian School of Economics,Bergen,http://www.nhh.no
Norwegian School of Sport Sciences,Oslo,http://www.nih.no
"Norwegian School of Theology, Religion and Society",Oslo,http://www.mf.no
Norwegian University of Science and Technology,Trondheim,http://www.ntnu.no
Oslo National Academy of the Arts,Oslo,http://www.khio.no
OsloMet – Oslo Metropolitan University,Oslo,http://www.hioa.no
Queen Maud University College of Early Childhood Education,Trondheim,http://www.dmmh.no
Rudolf Steiner University College,Oslo,https://www.steinerhoyskolen.no
Sámi University of Applied Sciences,Guovdageaidnu / Kautokeino,http://www.samas.no
The Oslo School of Architecture and Design,Oslo,http://www.aho.no
UiT The Arctic University of Norway,Tromsø,http://en.uit.no/startsida
University of Agder,Kristiansand,http://www.uia.no
University of South-Eastern Norway,Kongsberg,https://www.usn.no
University of Stavanger,Stavanger,http://www.uis.no
VID Specialized University,Oslo,http://www.vid.no
Volda University College,Volda,http://www.hivolda.no
Østfold University College,Halden,http://www.hiof.no
