institute,city,url
Sohar University,Sohar,https://www.su.edu.om
A'Sharqiyah University,Ibra,http://www.asu.edu.om
Al Buraimi University College,Al Buraimi,http://www.buc.edu.om
Al Dakhiliya Nursing Institute,Nizwa,Webpage-Not-Found
Al Dhahira Nursing Institute,Ibri,Webpage-Not-Found
Al Musanna College of Technology,Muladdah,http://www.act.edu.om
Al Rustaq Nursing Institute,Rustaq,Webpage-Not-Found
Al Zahra College for Women,Muscat,http://www.zcw.edu.om
Arab Open University,Muscat/Qurm,https://www.aou.edu.om
Bayan College,Halban,http://www.bayancollege.edu.om
College of Banking and Financial Studies,Ruwi,http://www.cbfs.edu.om
Dhofar University,Salalah,http://www.du.edu.om
German University of Technology in Oman,Muscat,https://www.gutech.edu.om
Higher College of Technology,Al-Khuwair,http://www.hct.edu.om
Ibra College of Technology,Ibra,https://www.ict.edu.om
Ibra Nursing Institute,Ibra,Webpage-Not-Found
Ibri College of Applied Sciences,Ibri,http://ibri.cas.edu.om
Ibri College of Technology,Ibri,https://www.ibrict.edu.om
Institute of Health Sciences,Muscat,Webpage-Not-Found
International College of Engineering and Management,Al Irfaan,https://www.icem.edu.om
International Maritime College Oman,Sohar,http://www.imco.edu.om
Majan College,Ruwi,http://www.majancollege.edu.om
Mazoon College,Muscat,http://muc.edu.om
Middle East College,Al Rusayl,http://www.mec.edu.om
Modern College of Business and Science,Muscat,http://www.mcbs.edu.om/en
Modern College of Business and Science,Muscat,http://www.mcbs.edu.om
Muscat College,Ruwi,http://www.muscatcollege.edu.om
National University of Science and Technology,Muscat,https://nu.edu.om
Nizwa College of Applied Sciences,Nizwa,https://nizwa.cas.edu.om
Nizwa College of Technology,Nizwa,https://www.nct.edu.om
North Batinah Nursing Institute,Sohar,Webpage-Not-Found
Oman College of Management and Technology,Barka,http://ocmtbeta.iitcoman.com
Oman Dental College,Muscat,www.omandentalcollege.org
Oman Health Information Management Institute,Muscat,http://www.ohimi.net
Oman Nursing Institute,Muscat /Wattayah,Webpage-Not-Found
Oman Pharmacy Institute,Matrah,Webpage-Not-Found
Oman Specialized Nursing Institute,Mutrah - Al-Wataya,Webpage-Not-Found
Oman Tourism College,Seeb,http://www.otc.edu.om
Rustaq College of Education,Al Rustaq,https://rustaq.cas.edu.om
Salalah College of Applied Sciences,Salalah,https://salalah.cas.edu.om
Salalah College of Technology,Salalah,https://www.sct.edu.om
Salalah Nursing Institute,Salalah,Webpage-Not-Found
Scientific College of Design,Matrah,http://scd.edu.om
Shinas College of Technology,Shinas,https://www.shct.edu.om
Sohar College of Applied Sciences,Sohar,https://sohar.cas.edu.om
Sohar Nursing Institute,Sohar,Webpage-Not-Found
Sultan Qaboos University,Muscat,http://www.squ.edu.om
Sur College of Applied Sciences,Sur,https://sur.cas.edu.om
Sur Nursing Institute,Sur,Webpage-Not-Found
University of Buraimi,Al Buraimi,https://www.uob.edu.om
University of Nizwa,Birkat Al Mouz,http://www.unizwa.edu.om
Waljat College of Applied Sciences,Sib,http://www.waljatcollege.edu.om
