institute,city,url
Bahria University,Islamabad,https://www.bahria.edu.pk
"Balochistan University of Information Technology, Engineering and Management Sciences",Quetta,http://www.buitms.edu.pk
Fatima Jinnah Women University,Rawalpindi,https://www.fjwu.edu.pk
Greenwich University,Karachi,https://greenwich.edu.pk
ILMA University,Karachi,https://ilmauniversity.edu.pk
Institute of Business Management,Karachi,https://www.iobm.edu.pk
Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Karachi,https://www.szabist.edu.pk
Sir Syed University of Engineering and Technology,Karachi,https://www.ssuet.edu.pk
The University of Lahore,Lahore,https://uol.edu.pk
Ziauddin University,Karachi,https://zu.edu.pk
Abasyn University,Peshawar,http://www.abasyn.edu.pk
Abbottabad University of Science and Technology,Abbottabad,http://aust.edu.pk
Abdul Wali Khan University,Mardan,http://www.awkum.edu.pk
Aga Khan University,Karachi,http://www.aku.edu
Air University,Islamabad,http://au.edu.pk
Alhamd Islamic University,Quetta,http://www.aiu.edu.pk
Ali Institute of Education,Lahore,http://www.aie.edu.pk
Allama Iqbal Open University,Islamabad,http://www.aiou.edu.pk
Bahauddin Zakariya University,Multan,http://www.bzu.edu.pk
Balochistan University of Engineering and Technology Khuzdar,Khuzdar,http://buetk.edu.pk
Baqai Medical University,Karachi,http://www.baqai.edu.pk
Beaconhouse National University,Lahore,http://www.bnu.edu.pk
Benazir Bhutto Shaheed University Lyari,Karachi,http://www.bbsul.edu.pk
Capital University of Science and Technology,Islamabad,https://cust.edu.pk
CECOS University of Information Technology and Emerging Sciences,Peshawar,http://www.cecos.edu.pk
City University of Science and Information Technology,Peshawar,http://www.cityuniversity.edu.pk
Commecs Institute of Business and Emerging Sciences,Karachi,http://www.commecsinstitute.edu.pk
COMSATS University Islamabad,Islamabad,http://www.comsats.edu.pk
Dadabhoy Institute of Higher Education,Karachi,http://www.dadabhoy.edu.pk
Dawood University of Engineering and Technology,Karachi,http://www.duet.edu.pk
DHA Suffa University,Karachi,http://www.dsu.edu.pk
Dow University of Health Sciences,Karachi,http://www.duhs.edu.pk
Fata University,Kohat,https://www.fu.edu.pk
"Federal Urdu University of Arts, Science and Technology",Islamabad,http://www.fuuastisb.edu.pk
Forman Christian College,Lahore,http://www.fccollege.edu.pk
Foundation University,Islamabad,http://www.fui.edu.pk
Gandhara University,Peshawar,http://www.gandhara.edu.pk
Ghazi University,Dera Ghazi Khan,http://www.gudgk.edu.pk
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Topi,http://www.giki.edu.pk
GIFT University,Gurjanwala,http://www.gift.edu.pk
Gomal University,Peshawar,http://www.gu.edu.pk
"Government College University, Faisalabad",Faisalabad,http://www.gcuf.edu.pk
"Government College University, Lahore",Lahore,http://www.gcu.edu.pk
"Government College Women University, Sialkot",Sialkot,https://www.gcwus.edu.pk
Habib University,Karachi,http://www.habib.edu.pk
Hajvery University,Lahore,http://hup.edu.pk
Hamdard University,Karachi,http://www.hamdard.edu.pk
Hazara University,Mansehra,https://www.hu.edu.pk
HITEC University,Taxila,http://www.hitecuni.edu.pk
Imperial College of Business Studies,Lahore,http://www.imperialuniversity.edu.pk
Indus University,Karachi,http://www.indus.edu.pk
Indus Valley School of Art and Architecture,Karachi,https://www.indusvalley.edu.pk
Information Technology University of the Punjab,Lahore,http://itu.edu.pk
Institute of Business Administration,Karachi,http://www.iba.edu.pk
Institute of Management Sciences (Lahore),Lahore,http://www.pakaims.edu.pk
Institute of Management Sciences (Peshawar),Peshawar,http://www.imsciences.edu.pk
Institute of Southern Punjab,Multan.,http://isp.edu.pk
Institute of Space Technology,Islamabad,http://www.ist.edu.pk
International Islamic University,Islamabad,http://www.iiu.edu.pk
Iqra National University,Peshawar,http://www.inu.edu.pk
Iqra University,Karachi,http://www.iqra.edu.pk
Isra University,Hyderabad,http://www.isra.edu.pk
Jinnah Sindh Medical University,Karachi,http://www.jsmu.edu.pk
Jinnah University for Women,Karachi,http://www.juw.edu.pk
Karachi Institute of Economics and Technology,Karachi,http://www.pafkiet.edu.pk
Karachi School of Business and Leadership,Karachi,http://www.ksbl.edu.pk
Karakoram International University,Gilgit,http://www.kiu.edu.pk/
KASB Institute of Technology,Karachi,http://www.kasbit.edu.pk
"Khushal Khan Khattak University, Karak",Karak,http://www.kkkuk.edu.pk
Khwaja Fareed University of Engineering and Information Technology,Rahim Yar Khan,https://kfueit.edu.pk
Khyber Medical University,Hayatabad,http://www.kmu.edu.pk
King Edward Medical University,Lahore,http://kemu.edu.pk
Kinnaird College for Women,Lahore,http://www.kinnaird.edu.pk
Kohat University of Science and Technology,Kohat,http://www.kust.edu.pk
Lahore College for Women University,Lahore,http://www.lcwu.edu.pk
Lahore Garrison University,Lahore,https://lgu.edu.pk
Lahore Leads University,Lahore,https://leads.edu.pk
Lahore School of Economics,Lahore,http://www.lahoreschoolofeconomics.edu.pk
Lahore University of Management Sciences,Lahore,http://www.lums.edu.pk
"Lasbelaa University of Agriculture, Water and Marine Sciences",Uthal,http://www.luawms.edu.pk
Liaquat University of Medical and Health Sciences,Jamshoro,http://www.lumhs.edu.pk
Mehran University of Engineering and Technology Jamshoro,Jamshoro,http://www.muet.edu.pk
Minhaj University,Lahore,http://www.mul.edu.pk
Mirpur University of Science and Technology,New Mirpur City,http://www.must.edu.pk
Mohammad Ali Jinnah University,Karachi,http://www.jinnah.edu.pk
Mohi-ud-Din Islamic University,Nerian Sharif,http://www.miu.edu.pk
"Muhammad Nawaz Shareeff University of Agriculture, Multan",Multan,https://www.mnsuam.edu.pk
National College of Arts,Lahore,http://www.nca.edu.pk
National College of Business Administration and Economics,Lahore,http://www.ncbae.edu.pk
National Defence University,Islamabad,http://www.ndu.edu.pk
National Textile University,Faisalabad,http://www.ntu.edu.pk
National University of Computer and Emerging Sciences,Islamabad,http://www.nu.edu.pk
National University of Medical Sciences,Rawalpindi,http://numspak.edu.pk
National University of Modern Languages,Islamabad,http://www.numl.edu.pk
National University of Sciences and Technology,Islamabad,https://nust.edu.pk
Nazeer Hussain University,Karachi,http://www.nhu.edu.pk
NED University of Engineering and Technology,Karachi,http://www.neduet.edu.pk
Newports Institute of Communications and Economics,Karachi,http://www.newports.edu.pk
NFC Institute of Engineering and Technology,Multan,http://nfciet.edu.pk
"NFC Institute of Engineering and Technology, Multan",Multan,http://www.nfciet.edu.pk
Northern University,Nowshera,http://www.northern.edu.pk
Nur International University,Lahore,https://www.niu.edu.pk
Pakistan Institute of Development Economics,Islamabad,http://www.pide.org.pk
Pakistan Institute of Engineering and Applied Sciences,Islamabad,http://www.pieas.edu.pk
Pakistan Institute of Fashion and Design,Lahore,http://www.pifd.edu.pk
"Peoples University of Medical and Health Sciences for Women, Nawabshah-Shaheed Benazirabad",Shaheed Benazirabad,http://www.pumhs.edu.pk
Pir Mehr Ali Shah Arid Agriculture University,Rawalpindi,http://www.uaar.edu.pk
Preston University,Karachi,http://preston.edu.pk
Qarshi University,Lahore,http://qu.edu.pk
"Quaid-e-Awam University of Engineering, Sciences and Technology",Nawabshah,http://quest.edu.pk
Quaid-i-Azam University,Islamabad,http://www.qau.edu.pk
Qurtuba University of Science and Information Technology,Dera Ismail Khan,http://www.qurtuba.edu.pk
Riphah International University,Islamabad,http://www.riphah.edu.pk
Sardar Bahadur Khan Women's University,Quetta,http://www.sbkwu.edu.pk
Sarhad University of Science and Information Technology,Peshawar,http://www.suit.edu.pk
Shah Abdul Latif University,Khairpur,http://www.salu.edu.pk
Shaheed Benazir Bhutto University Shaheed Benazirabad,Nawabshah,http://www.sbbusba.edu.pk
"Shaheed Benazir Bhutto University, Sheringal",sheringal,http://www.sbbu.edu.pk
Shaheed Benazir Bhutto University of Veterinary and Animal Sciences,Nawabshah,http://www.sbbuvas.edu.pk
Shaheed Benazir Bhutto Women University,Peshawar,http://sbbwu.edu.pk/sbbwu
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,http://www.smbbmu.edu.pk
Shifa Tameer-e-Millat University,Islamabad,http://www.stmu.edu.pk
Sindh Agricultural University,Tandojam,http://www.sau.edu.pk
Sindh Madressatul Islam University,Karachi,https://www.smiu.edu.pk
Sukkur Institute of Business Administration,Sukkur,http://www.iba-suk.edu.pk
Superior College,Lahore,http://www.superior.edu.pk
Textile Institute of Pakistan,Karachi,http://tip.edu.pk
The Islamia University of Bahawalpur,Bahawalpur,https://www.iub.edu.pk
"The University of Agriculture, Peshawar",Peshawar,http://www.aup.edu.pk
The University of Faisalabad,Faisalabad,http://tuf.edu.pk
The Women University Multan,Multan,http://www.wum.edu.pk
University of Agriculture,Faisalabad,http://www.uaf.edu.pk
University of Azad Jammu and Kashmir,Muzaffarabad,http://www.ajku.edu.pk
University of Balochistan,Quetta,http://www.uob.edu.pk
University of Central Punjab,Lahore,http://www.ucp.edu.pk
University of Education,Lahore,http://www.ue.edu.pk
University of Engineering and Technology Peshawar,Peshawar,http://www.uetpeshawar.edu.pk
University of Engineering and Technology Taxila,Taxila,http://www.uettaxila.edu.pk
"University of Engineering and Technology, Lahore",Lahore,http://www.uet.edu.pk
University of Gujrat,Gujrat,http://www.uog.edu.pk
University of Haripur,Haripur,http://www.uoh.edu.pk
University of Health Sciences Lahore,Lahore,http://www.uhs.edu.pk
University of Karachi,Karachi,http://www.uok.edu.pk
University of Kotli Azad Jammu and Kashmir,Kotli,http://www.uokajk.edu.pk
University of Loralai,Loralai,http://www.uoli.edu.pk
University of Malakand,Malakand,http://www.uom.edu.pk
University of Management and Technology,Lahore,https://www.umt.edu.pk
University of Peshawar,Peshawar,http://www.uop.edu.pk
University of Sargodha,Sargodha,http://www.uos.edu.pk
University of Science and Technology Bannu,Bannu,http://www.ustb.edu.pk
University of Sindh,Jamshoro,http://www.usindh.edu.pk
University of South Asia,Lahore,http://www.usa.edu.pk
University of Swabi,Swabi,http://www.uoswabi.edu.pk
University of Swat,Swat,http://uswat.edu.pk
University of the Punjab,Lahore,http://www.pu.edu.pk
University of Turbat,Turbat,http://www.uot.edu.pk
University of Veterinary and Animal Sciences,Lahore,http://www.uvas.edu.pk
University of Wah,Rawalpindi,http://www.uow.edu.pk
Virtual University of Pakistan,Lahore,http://www.vu.edu.pk
Women University Swabi,Swabi,http://www.wus.edu.pk
