institute,city,url
Al-Istiqlal University,Jericho,https://alistiqlal.edu.ps
Al-Quds Open University,Ramallah,https://www.qou.edu
Al-Quds University,Abu Dis,https://www.alquds.edu
An-Najah National University,Nablus,https://www.najah.edu
Birzeit University,Birzeit,https://www.birzeit.edu
Islamic University of Gaza,Gaza,https://www.iugaza.edu.ps
Palestine Polytechnic University,Hebron,https://www.ppu.edu
Palestine Technical University - Kadoorie,Tulkarem,https://ptuk.edu.ps
University of Palestine,Gaza,https://up.edu.ps
Al-Aqsa University,Gaza,https://www.alaqsa.edu.ps
Al-Azhar University - Gaza,Gaza,http://www.alazhar.edu.ps
Arab American University,Jenin,https://www.aaup.edu
Bethlehem Bible College,Bethlehem,https://bethbc.edu
Bethlehem University,Jerusalem,https://www.bethlehem.edu
Dar Al-Kalima University College of Arts and Culture,Bethlehem,https://www.daralkalima.edu.ps
Gaza University,Gaza,http://gu.edu.ps
Hebron University,Hebron,https://www.hebron.edu
Ibn Sina College of Health Sciences,Nablus,https://ibnsina.edu.moh.ps
Israa University,Gaza,https://en.israa.edu.ps
Makassed University College,Jerusalem,https://www.makassed.org/ar/university
Modern University College,Ramallah,http://www.muc.edu.ps
Palestine Ahliya University,Bethlehem,https://paluniv.edu.ps
Palestine College of Nursing - Khan Younis,Khan Younis,http://www.pcn.gov.ps
Palestine Technical College - Deir Al-Balah,Deir Al-Balah,https://www.ptcdb.edu.ps/ar
"Palestine Technical University - Khadouri
Palestine Technical University - Khadouri / Al-Aroub Branch",Hebron,https://ptuk.edu.ps/arrob-branches-3/?lang=en
"Palestine Technical University - Khadouri
Palestine Technical University - Khadouri / Ramallah Branch",Ramallah,https://ptuk.edu.ps/ramallah-branches
University College for Educational Sciences,Ramallah,http://un-uces.org
University College of Ability Development,Khan Younis,http://www.adc.edu.ps
University College of Applied Sciences,Khan Younis,https://www.ucas.edu.ps
