institute,city,url
ADEN University,Panamá,https://adenuniversity.edu.pa
American University,Panamá,https://uam.edu.pa
Autonomous University of Chiriquí,David,http://www.unachi.ac.pa
Christian University of Panama,Arraiján,https://www.ucp.ac.pa
Columbus University,Panamá,https://columbus.edu
GANEXA University of Arts,Panamá,https://ganexa.edu.pa
Interamerican University of Panamá,Panamá,https://uip.edu.pa
International Maritime University of Panama,Panamá,https://www.umip.ac.pa
ISAE University,Panamá,https://www.isaeuniversidad.ac.pa
ISTHMUS - School of Architecture and Design in Latin America and the Caribbean,Panamá,https://www.isthmus.edu.pa
Latin American University of International Business,Panamá,https://ulacex.edu.pa
Latin University of Panamá,Panamá,https://ulatina.edu.pa
"Metropolitan University of Education, Science and Technology",Rianjo,https://umecit.edu.pa
Open and Distance University of Panamá,Panamá,https://unadp.ac.pa
OTEIMA Technological University,David,https://www.oteima.ac.pa
Quality Leadership University,Panamá,https://qlu.ac.pa
Santa María La Antigua Catholic University,Panamá,https://usma.ac.pa
Santander University - Panama,Panamá,https://www.usantander.edu.pa
Specialized University of Authorized Public Accountancy,Panamá,http://unescpa.ac.pa
Specialized University of the Americas,Panamá,http://www.udelas.ac.pa
Technological University of Panamá,Panamá,https://utp.ac.pa
University of Panamá,Panamá,https://www.up.ac.pa
"University of Panamá
Colón Regional Centre",Ciudad de Colón,https://www.up.ac.pa
"University of Panamá
East Panama Regional Centre",Chepo,https://crupanamaeste.up.ac.pa
"University of Panamá
West Panama Regional Centre",Barrio Colón,https://crupanamaoeste.up.ac.pa
"University of Panamá
University Extension of Aguadulce",Cerro Morado,https://extaguadulce.up.ac.pa
University of the Isthmus,Panamá,https://www.udelistmo.edu
