institute,city,url
Advanced Professional Institute,Asunción,https://ispa.edu.py
Adventist University of Paraguay,Asunción,https://uniadv.edu.py
American University,Asunción,https://www.americana.edu.py
Autonomous University of Asunción,Asunción,http://www.uaa.edu.py
Autonomous University of Encarnación,Encarnación,https://www.unae.edu.py
Autonomous University of Luque,Luque,http://www.ual.edu.py
Autonomous University of San Sebastian,San Lorenzo,https://www.sansebastian.edu.py
Autonomous University of the South,Asunción,http://www.unasur.edu.py
Baptist Medical Center University,Asunción,http://ucmb.edu.py/universidad
Center for Criminal Science and Criminal Policy,Asunción,https://www.centrodecienciaspenales.edu.py
Central University of Paraguay,Asunción,http://www.central.edu.py
Centuria Institute of Business and Administrative Sciences,Asuncion,Webpage-Not-Found
Columbia University of Paraguay,Asunción,http://www.columbia.edu.py
Command of Aeronautical Teaching Institutes,Luque,https://www.fuerzaaerea.mil.py
Comunera University,Asunción,https://www.ucom.edu.py
Del Chaco University,Asunción,https://unichaco.edu.py
Don Bosco Salesian Institute of Philosophical Studies,Asunción,http://issef.edu.py
Dr. Ignacio A. Pane Institute of Education,Ypacaraí,https://www.iseiap.edu.py
Dr. Raúl Peña National Institute of Higher Education,Asunción,https://www.inaes.edu.py
ECO Institute of Dentistry,Asunción,https://eco.edu.py
Evangelical University of Paraguay,Asunción,https://uep.edu.py
German-Paraguayan University of Applied Sciences,San Lorenzo,https://www.upa.edu.py
Great Assumption University,Capiatá,http://www.unigran.edu.py
Higher Education Center for Health,Ypacaraí,https://www.ces.edu.py
Hispano-Guaraní University,Asuncion,https://uhg.edu.py
Iberoamerican University,Asunción,https://www.unibe.edu.py
Institue of the Guaraní Language and Culture Athenaeum,Fernando de la Mora,https://www.ateneoguarani.edu.py
Institute of Advanced Dentistry,Asunción,https://ioa.edu.py
Institute of Higher Strategic Studies,Asunción,https://www.iaee.gov.py
"Institute of Taxation, Commercial and Administrative Studies",Asunción,https://fotriem.edu.py
Interamerican University,Asunción,http://www.interamericana.edu.py
Intercontinental University of Technology,Asunción,https://www.utic.edu.py
Interregional Institute of Health Sciences,Ñemby,Webpage-Not-Found
John Paul II Institute of Health Sciences,Caacupé,http://www.juanpabloll.edu.py
Kyre'y Saso Higher Institute,Asunción,http://ieskspy.simplesite.com
La Paz University,Ciudad del Este,https://www.universidadlapaz.edu.py
Latin American Faculty of Social Sciences,Asunción,https://www.flacso.edu.py
Leonardo Da Vinci University,Asunción,http://uldv.com.py
Maria Auxiliadora University,Asuncion,http://www.umax.edu.py
Maria Serrana University,Asunción,https://serrana.edu.py
Metropolitan University of Asunción,Asunción,https://uma.edu.py
National Institute of Health,Asunción,http://www.ins.gov.py
National University of Asunción,Asunción,http://www.una.py
National University of Caaguazú,Caaguazú,http://www.unca.edu.py
National University of Canindeyú,Salto del Guaira,https://www.unican.edu.py
National University of Concepción,Concepción,https://www.unc.edu.py
National University of Itapúa,Encarnación,http://www.uni.edu.py
National University of Pilar,Pilar,http://www.unp.edu.py
National University of the East,Ciudad del Este,http://www.une.edu.py
National University of Villarica of the Holy Spirit,Villarrica,http://www.unves.edu.py
Nihon Gakko University,Fernando de la Mora,http://www.nihongakko.edu.py
Northeastern University of Paraguay,Asunción,http://www.undp.edu.py
Our Lady of the Assumption Catholic University,Asunción,https://www.universidadcatolica.edu.py
"Our Lady of the Assumption Catholic University
Alto Paraná Campus",Hernandarias,http://www.ucap.edu.py
"Our Lady of the Assumption Catholic University
Caaguazú Campus",Coronel Oviedo,https://ucoviedo.edu.py
"Our Lady of the Assumption Catholic University
Concepción Campus",Concepción,https://www.universidadcatolica.edu.py
"Our Lady of the Assumption Catholic University
Guairá Branch",Villarrica,http://guaira.uc.edu.py
"Our Lady of the Assumption Catholic University
Itapúa Campus",Encarnación,https://www.uci.edu.py
Paraguayan Institute of Technology and Educational Sciences,Itaugua,Webpage-Not-Found
Pierre Fauchard Autonomous University of Paraguay,Asunción,http://www.uap.edu.py
Polytechnic and Arts University of Paraguay,San Lorenzo,https://upap.edu.py
Private University of Guairá,Villarrica del Espíritu Santo,https://mooc.uniupg.edu.py
Private University of the East,Ciudad Presidente Franco,http://www.upe.edu.py
Private University of the Pacific,Asunción,http://www.upacifico.edu.py
Saint Patrick of Northern Ireland Higher Institute of Health Sciences,Ñemby,https://www.sanpatricio.edu.py
San Agustín Institute of Health Sciences,Asunción,http://www.sanagustin.edu.py
San Carlos University,Asunción,http://www.sancarlos.edu.py
San Francisco Javier Institute for Humanist and Philosophical Studies,Asunción,http://www.isehf.edu.py
San Ignacio de Loyola University,Asunción,https://www.usil.edu.py
San Lorenzo University,San Lorenzo,https://unisal.edu.py
Santa Clara de Asis University,Caaguazú,http://www.usca.edu.py
Santa Rosa Mistica Institute of Health Sciences,Capiatá,http://santarosamistica.edu.py
South American University,Pedro Juan Caballero,https://www.sudamericana.edu.py
Spanish University,Asunción,http://www.ue.edu.py
Technical University of Marketing and Development,Fernando de la Mora,http://www.utcd.edu.py
The Development Institute,Asunción,http://desarrollo.edu.py
Three Frontiers International University,Ciudad del Este,https://uninter.edu.py
University of Sustainable Development,Asunción,http://www.uds.edu.py
University of the Integration of the Americas,Asunción,https://www.unida.edu.py
University of the North,Asunción,https://www.uninorte.edu.py
University of the South,Asunción,https://www.unades.edu.py
University of the Southern Cone of the Americas,Asunción,https://www.ucsa.edu.py
VIA Pro Development Institute of Postgraduate Studies,Asunción,http://viaprodesarrollo.edu.py
