institute,city,url
Pontifical Catholic University of Peru,Lima,https://www.pucp.edu.pe
Andean University of Cusco,Cusco,https://www.uandina.edu.pe
Antenor Orrego Private University,Trujillo,https://www.upao.edu.pe
Antonio Ruiz de Montoya University,Lima,https://www.uarm.edu.pe
Autonomous University of Peru,Lima,https://www.autonoma.pe
Autonomus Universty of Ica,Chincha,https://autonomadeica.edu.pe
Benedict XVI Catholic University of Trujillo,Trujillo,https://www.uct.edu.pe
Cayetano Heredia Peruvian University,San Martín de Porres,https://www.cayetano.edu.pe
César Vallejo University,Trujillo,https://www.ucv.edu.pe
Continental University,Huancayo,https://ucontinental.edu.pe
Daniel Alcides Carrión National University,Yanacanchaco,https://undac.edu.pe
Enrique Guzmán y Valle National University of Education,Lima,https://www.une.edu.pe
Faculty of Pontifical and Civil Theology of Lima,Lima,https://www.ftpcl.edu.pe
Federico Villarreal National University,San Miguel,https://web2.unfv.edu.pe
Franklin Roosevelt Private University of Huancayo,Huancayo,https://uroosevelt.edu.pe
Gerens Graduate School,Lima,https://gerens.pe
German Peruvian Private University,Chorrillos,https://upal.edu.pe
Hermilio Valdizán National University,Huánuco,https://www.unheval.edu.pe
Jaime Bausate y Meza University,Lima,http://www.bausate.edu.pe
Jorge Basadre Grohmann National University,Tacna,http://www.unjbg.edu.pe
José Faustino Sánchez Carrión National University,Huacho,https://unjfsc.edu.pe
José María Argueda National University,Andahuaylas,http://unajma.edu.pe
La Molina National University of Agriculture,Lima,http://www.lamolina.edu.pe
La Salle University,Arequipa,https://www.ulasalle.edu.pe
Le Cordon Bleu University,Lima,https://www.ulcb.edu.pe
Lord of Sipán University,Chiclayo,https://www.uss.edu.pe
Marcelino Champagnat University,Lima,https://umch.edu.pe
María Auxiliadora University,Lima,https://uma.edu.pe
Mario Peláez Bazán University of the Amazon,Bagua Grande,https://www.upa.edu.pe
Micaela Bastidas National University of Apurimac,Abancay,https://www.unamba.edu.pe
Monterrico National Pedagogical Institute,Surco,http://www.ipnm.edu.pe
National Amazon University of Madre de Dios,Puerto Maldonado,https://www.unamad.edu.pe
National Autonomous University of Chota,Chota,http://unach.edu.pe
National Autonomous University of Huanta,Huanta,https://www.unah.edu.pe
National Autonomous University of Tayacaja Daniel Hernández Morillo,Pampas,https://unat.edu.pe
National Intercultural University Fabiola Salazar Leguía of Bagua,Bagua,https://unibagua2.edu.pe
National Intercultural University of Quillabamba,Quillabamba,https://www.uniq.edu.pe
National Intercultural University of the Amazon,Pucallpa,https://unia.edu.pe
National Intercultural University of the Central Jungle Juan Santos Atahualpa,Junín,https://www.uniscjsa.edu.pe
National Superior Autonomous School of Fine Arts,Lima,https://ensabap.edu.pe
National Technological University of South Lima,Lima,http://www.untels.edu.pe
National University of Agriculture of La Selva,Tingo María,https://portal.unas.edu.pe
National University of Barranca,Lima,https://www.unab.edu.pe
National University of Cajamarca,Cajamarca,https://www.unc.edu.pe
National University of Callao,Callao,https://unac.edu.pe
National University of Canete,San Vicente de Cañete,https://undc.edu.pe
National University of Central Peru,Huancayo,https://uncp.edu.pe
National University of Engineering,Lima,https://www.uni.edu.pe
National University of Frontera,Sullana,https://www.unf.edu.pe
National University of Huancavelica,Huancavelica,https://www.unh.edu.pe
National University of Jaen,Pueblo Libre,https://www.unj.edu.pe
National University of Juliaca,Juliaca,https://www.unaj.edu.pe
National University of Moquegua,Moquegua,https://unam.edu.pe
National University of Music,Lima,https://www.unm.edu.pe
National University of Piura,Piura,http://www.unp.edu.pe
National University of San Agustín,Arequipa,https://www.unsa.edu.pe
National University of San Marcos,Lima,https://www.unmsm.edu.pe
National University of San Martín,Tarapoto,https://unsm.edu.pe
National University of Santa,Nuevo Chimbote,https://www.uns.edu.pe
National University of the Altiplano,Puno,https://www.unap.edu.pe
National University of the Peruvian Amazon,Iquitos,https://www.unapiquitos.edu.pe
National University of Trujillo,Trujillo,https://unitru.edu.pe
National University of Tumbes,Tumbes,http://www.untumbes.edu.pe
National University of Ucayali,Pucallpa,https://www.unu.edu.pe
Neumann Business School S.A.C. Graduate School,Tacna,https://www.epneumann.edu.pe
Norbert Wiener University,Lima,https://www.uwiener.edu.pe
Peruvian Union University,Lima,https://www.upeu.edu.pe
Peruvian University of Applied Sciences,Monterrico,https://www.upc.edu.pe
Private University of Tacna,Tacna,http://www.upt.edu.pe
Private University of the North,Trujillo,https://www.upn.edu.pe
Ricardo Palma University,Lima,https://www.urp.edu.pe
Saint Ignatius of Loyola University,Lima,https://www.usil.edu.pe
Saint John the Baptist Private University,Chorrillos,https://www.upsjb.edu.pe
San Antonio Abad del Cusco National University,Cusco,http://www.unsaac.edu.pe
San Cristóbal of Huamanga National University,Ayacucho,https://www.unsch.edu.pe
San Luis Gonzaga National University,Ica,https://www.unica.edu.pe
San Pablo Catholic University,Arequipa,https://ucsp.edu.pe
Santa María Catholic University,Arequipa,https://www.ucsm.edu.pe
Santiago Antúnez de Mayolo National University,Huaraz,http://www.unasam.edu.pe
Santo Toribio de Mogrovejo Catholic University,Chiclayo,http://www.usat.edu.pe
Scientific University of the South,Lima,https://www.cientifica.edu.pe
Sedes Sapientiae Catholic University,Lima,https://www.ucss.edu.pe
Technological University of Peru,Lima,https://www.utp.edu.pe
Technological University of the Andes,Abancay,https://utea.edu.pe
The Andes Peruvian University,Huancayo,https://upla.edu.pe
Toribio Rodriguez de Mendoza National University of the Amazon,Chachapoyas,https://www.untrm.edu.pe
Universidad del Pacífico,Lima,https://www.up.edu.pe
University for Andean Development,Huancavelica,https://www.udea.edu.pe
University of Engineering and Technology,Lima,https://www.utec.edu.pe
University of Huánuco,Huánuco,http://www.udh.edu.pe
University of Lima,Lima,https://www.ulima.edu.pe
University of Piura,Piura,https://www.udep.edu.pe
University of San Martín de Porres,Lima,https://www.usmp.edu.pe
University of Science and Arts of Latin America,Lima,https://www.ucal.edu.pe
University of Science and Humanities,Los Olivos,https://www.uch.edu.pe
Upper Andes National Autonomous University of Tarma,Tarma,http://www.unaat.edu.pe
Women's University of the Sacred Heart,Lima,http://www.unife.edu.pe
