institute,city,url
Adventist International Institute of Advanced Studies,Silang,https://www.aiias.edu
De La Salle College of Saint Benilde,Manila,https://www.benilde.edu.ph
De La Salle Lipa,Lipa City,https://www.dlsl.edu.ph
Philippine Women's University,Manila,https://www.pwu.edu.ph
The University of Manila,Manila,https://www.um.edu.ph
University of Santo Tomas,Manila,https://www.ust.edu.ph
University of the East,Manila,https://www.ue.edu.ph/mla
Abada College,Pinamalayan,http://abadacollege.edu.ph
ABE International Business College,Manila,http://www.abe.edu.ph
Abra State Institute of Sciences and Technology,Lagangilang,http://www.asist.edu.ph
Abra Valley Colleges,Bangued,Webpage-Not-Found
Abubakar Computer Learning Center Foundation,Bongao,Webpage-Not-Found
Access Computer and Technical College,Manila,http://access.edu.ph
Aces Tagum College,Tagum City,Webpage-Not-Found
ACLC College of Butuan City,Butuan City,http://www.aclc.edu.ph/aclc
ACMCL College,Victoria,http://acmclcollege.com
ACSI Business and Computer School,Iloilo City,Webpage-Not-Found
ACTS Computer College,Sta. Cruz,Webpage-Not-Found
Adamson University,Manila,http://www.adamson.edu.ph
Adiong Memorial College Foundation,Wao,Webpage-Not-Found
Adventist College of Technology,Tupi,Webpage-Not-Found
Adventist Technological Institute,Jimenez,Webpage-Not-Found
Adventist University of the Philippines,Silang,http://www.aup.edu.ph
Aemilianum Institute,City of Sorsogon,Webpage-Not-Found
Aeronautical Academy of the Philippines,Baras,Webpage-Not-Found
Ago Foundation College,Naga City,Webpage-Not-Found
Ago Medical and Educational Center - Bicol Christian College of Medicine,Legazpi City,http://www.amec-bccm.com
Agoncillo College,Agoncillo,Webpage-Not-Found
Agoo Computer College Phils.,Agoo,Webpage-Not-Found
Agro-Industrial Foundation College of the Philippines - Davao,Davao City,Webpage-Not-Found
Agusan Business and Arts Foundation,Butuan City,Webpage-Not-Found
Agusan Colleges,Butuan City,http://www.agusancolleges.edu.ph
Agusan del Sur College,Bayugan City,http://agusandelsurcollege.com
Agusan del Sur State College of Agriculture and Technology,Bunawan,Webpage-Not-Found
Agusan Institute of Technology,Butuan City,Webpage-Not-Found
Air Link International Aviation College,Pasay City,http://www.airlinkinternationalaviation.com
Aklan Catholic College,Kalibo,http://www.acc.edu.ph
Aklan Polytechnic Institute,Kalibo,Webpage-Not-Found
Aklan State University,Banga,http://www.asu.edu.ph
Albay Institute of Technology,Ligao City,Webpage-Not-Found
Aldersgate College,Solano,http://www.aldersgate-college.com
Alejandro Colleges,Quezon City,Webpage-Not-Found
Alemarz School of Science and Technology,Valencia City,Webpage-Not-Found
Alexian College of Parang,Parang,Webpage-Not-Found
Alfelor Sr. Memorial College,Del Gallego,Webpage-Not-Found
Alitagtag College,Alitagtag,Webpage-Not-Found
All Nations College,Antipolo City,Webpage-Not-Found
AMA Computer University,Quezon City,http://www.ama-university.com
Amando Cope College,Tabaco City,Webpage-Not-Found
Amore College,Trece Martires City,Webpage-Not-Found
Andres Bonifacio College,Dipolog City,http://www.abcollege.edu.ph
Andres Soriano College,Bislig City,http://andressorianocollege.com/main/?page_id=115
Andres Soriano Memorial College,Toledo City,Webpage-Not-Found
Angeles Systems Plus Computer College,Angeles City,Webpage-Not-Found
Angeles University Foundation,Angeles City,http://www.auf.edu.ph
Angelicum College,Quezon City,http://www.angelicum.edu.ph
Annunciation College of Bacon Sorsogon Unit,City of Sorsogon,Webpage-Not-Found
Antonio R. Pacheco College,Cotabato City,Webpage-Not-Found
Apayao State College,Conner,Webpage-Not-Found
Aquinas University of Legazpi,Legazpi City,http://www.aq.edu.ph/
Araullo University,Cabanatuan City,http://www.au.phinma.edu.ph
Arellano University,Manila,http://www.arellano.edu.ph
Arriesgado College Foundation,Tagum City,Webpage-Not-Found
Asbury College,Anda,http://asbury-anda.com
"Asia College of Advanced Studies in Arts, Sciences and Technology",Bobon,Webpage-Not-Found
Asia Pacific College,Makati City,http://www.apc.edu.ph
Asia Pacific College of Advanced Studies,Balanga City,http://apcas.edu.ph
Asia School of Arts and Sciences - The College of Information Technology,Quezon City,Webpage-Not-Found
Asian College,Quezon City,http://asiancollege.edu.ph
Asian College Foundation,Butuan City,Webpage-Not-Found
Asian College of Technology - Talisay,Talisay City,Webpage-Not-Found
Asian Development Foundation College,Tacloban City,http://adfc.edu.4t.com/index.htm
Asian Institute for Distance Education,Makati City,http://www.aide.edu.ph
Asian Institute of Computer Studies,Caloocan City,http://www.aics.edu.ph
Asian Institute of E-Commerce,Calasiao,Webpage-Not-Found
Asian Institute of Journalism and Communication,San Juan City,http://www.aijc.com.ph
Asian Institute of Management,Makati City,http://www.aim.edu
Asian Institute of Maritime Studies,Pasay City,http://www.aims.ph
Asian Institute of Technology and Education,Quezon,http://aite.com.ph
Asian Social Institute,Manila,http://www.asinet-online.org
Assumption College,Makati City,http://www.assumption.edu.ph
Assumption College of Davao,Davao City,http://assumptiondavao.edu.ph/acd
Assumption College of Nabunturan,Compostela Valley,Webpage-Not-Found
Ateneo de Davao University,Davao City,http://www.addu.edu.ph
Ateneo de Manila University - Quezon City,Quezon City,http://www.ateneo.edu
Ateneo de Naga University,Naga City,http://www.adnu.edu.ph
