institute,city,url
AGH University of Science and Technology in Kraków,Kraków,https://www.agh.edu.pl
Collegium Civitas,Warsaw,https://www.civitas.edu.pl
Polonia University in Częstochowa,Częstochowa,https://ap.edu.pl
Academy of Arts in Szczecin,Szczecin,http://www.akademiasztuki.eu
Academy of Fine Arts in Gdańsk,Gdańsk,http://www.asp.gda.pl
Academy of Fine Arts in Katowice,Katowice,http://www.aspkat.edu.pl
Academy of Fine Arts in Warsaw,Warszawa,http://www.asp.waw.pl
Academy of Hotel Management and Catering in Poznan,Poznań,https://www.wshig.pl
Academy of International Relations and American Studies,Warszawa,https://wssmia.edu.pl
Academy of Music in Kraków,Kraków,http://www.amuz.krakow.pl
Academy of Tourism and Hotel Management in Gdansk,Gdańsk,https://wstih.pl
Adam Mickiewicz University in Poznań,Poznań,http://www.amu.edu.pl
Alcide De Gasperi University of Euroregional Economy in Józefów,Józefów,https://wsge.edu.pl
Andrzej Frycz Modrzewski Kraków University,Kraków,https://www.ka.edu.pl
Apeiron College of Public and Individual Security in Krakow,Kraków,https://apeiron.edu.pl
ASBiRO University,Łódź,https://www.asbiro.pl
AST National Academy of Theatre Arts in Kraków,Kraków,http://www.ast.krakow.pl
Ateneum University in Gdańsk,Gdańsk,https://www.ateneum.edu.pl
Bialystok School of Economics,Białystok,http://www.wse.edu.pl
Bialystok University of Technology,Białystok,https://pb.edu.pl
Bielsko-Biała School of Finances and Law,Bielsko-Biała,https://wsfip.edu.pl
Cardinal Stefan Wyszynski University in Warsaw,Warszawa,http://www.uksw.edu.pl
Christian Theological Academy in Warsaw,Warszawa,http://chat.edu.pl
College of Business and Entrepreneurship in Ostrowiec Świętokrzyski,Ostrowiec Świętokrzyski,https://www.wsbip.edu.pl
College of Business in Gorzów Wielkopolski,Gorzów Wielkopolski,http://www.wsb.gorzow.pl
"College of Business, Media and Advertising in Warsaw",Warszawa,http://www.wsr.com.pl
College of Communications and Management in Poznan,Poznań,https://www.wskiz.edu
College of Cosmetology and Health Sciences in Łódź,Łódź,https://www.wyzszaszkolakosmetyki.pl
College of Democracy Fr. Jerzy Popiełuszko in Grudziadz,Grudziądz,http://wsd.info.pl
College of Economics and Computer Science in Kraków,Kraków,https://wsei.edu.pl
College of Education and Therapy prof. Kazimiera Milanowska in Poznan,Poznań,https://www.wseit.edu.pl
College of Entrepreneurship and Administration in Lublin,Lublin,https://wspa.pl
College of European Integration in Szczecin,Szczecin,http://wsie.pl
College of Humanities in Wroclaw,Wrocław,https://humanistyczna.pl
College of Linguistics in Częstochowa,Częstochowa,http://www.wsl.edu.pl
College of Logistics in Poznań,Poznań,http://wsl.com.pl
College of Management 'Edukacja',Wrocław,http://wszedukacja.pl
College of Pedagogical Sciences,Warszawa,http://wsnp.edu.pl
College of Personnel Management in Warsaw,Warszawa,https://wszp.edu.pl
College of Physiotherapy in Wrocław,Wrocław,https://wsf.wroc.pl
"College of Promotion, Media and Show Business in Warsaw",Warszawa,http://www.wsp.pl
College of Social and Media Studies in Torun,Toruń,http://wsksim.edu.pl
College of Social Communications in Gdynia,Gdynia,https://wsks.pl
Collegium Da Vinci,Poznań,https://cdv.pl
Collegium Masoviense - Higher School of Health Sciences in Żyrardów,Żyrardów,http://www.cm.edu.pl
Collegium Mazovia Innovative University in Siedlce,Siedlce,http://www.mazovia.edu.pl
Collegium Verum,Warszawa,http://collegiumverum.pl
Copernicus University of Information Technology and Management inWroclaw,Wrocław,https://www.wsiz.wroc.pl
Craków University of Technology,Kraków,http://www.pk.edu.pl
Cuiavian University in Włocławek,Włocławek,http://ksw.wloclawek.pl
Czestochowa University of Technology,Częstochowa,http://www.pcz.pl
East European State Higher School in Przemyśl,Przemyśl,http://www.pwsw.pl
Elbląg University of Humanities and Economy,Elbląg,http://www.euh-e.edu.pl
Eugeniusz Geppert Academy of Art and Design in Wroclaw,Wrocław,http://www.asp.wroc.pl
European School of Law and Administration in Warsaw,Warszawa,https://ewspa.edu.pl
European University in Radom,Radom,http://www.eust.pl
European University of Information Technology and Economics in Warsaw,Warszawa,http://www.eu.edu.pl
Feliks Nowowiejski Academy of Music in Bydgoszcz,Bydgoszcz,http://www.amuz.bydgoszcz.pl
Gdańsk College of Health Sciences,Gdańsk,https://www.wsz.pl
Gdańsk University of Humanities,Gdańsk,http://www.gwsh.gda.pl
"Gdańsk University of Humanities
Gdańsk University of Humanities, Koszalin Branch",Koszalin,http://koszalin.gwsh.gda.pl/pl
Gdańsk University of Technology,Gdańsk,http://gwsa.pl
Gdansk University of Technology,Gdańsk,http://www.pg.edu.pl
Gdynia Maritime University,Gdynia,https://umg.edu.pl
General Tadeusz Kościuszko Military Academy of Land Forces,Wrocław,https://www.awl.edu.pl
Gniezno College of the Millennium,Gniezno,http://milenium.edu.pl
