institute,city,url
Higher Institute of Education and Science,Lisboa,https://www.iseclisboa.pt
ISCTE - University Institute of Lisbon,Lisboa,https://www.iscte.pt
Portucalense Infante D. Henrique University,Porto,https://www.upt.pt
Universidade de Lisboa,Lisboa,https://www.ulisboa.pt
University of Coimbra,Coimbra,https://www.uc.pt
University of Porto,Porto,https://www.up.pt
"Atlântica - School of Business Sciences, Health, Technology and Engineering",Barcarena,http://www.uatlantica.pt
Atlântico Business School,Vila Nova de Gaia,https://www.abs.pt
Autonomous University of Lisbon,Lisboa,http://autonoma.pt
Catholic University of Portugal,Lisboa,http://www.ucp.pt
CESPU - Polytechnic Health Institute of the North,Gandra,http://www.cespu.pt
Egas Moniz Institute of Health Sciences,Monte de Caparica,http://www.egasmoniz.com.pt
ESAD-College of Art and Design,Matosinhos,http://www.esad.pt
Estoril Higher Institute for Tourism and Hotel Studies,Estoril,http://www.eshte.pt
European Institute of Higher Studies,Fafe,https://iees.pt
European University,Lisboa,https://www.europeia.pt
Fernando Pessoa University,Porto,http://www.ufp.pt
Gallaécia School,Vila Nova de Cerveira,http://www.esg.pt
Higher School of Education of Paula Frassinetti,Porto,http://www.esefrassinetti.pt
Infante D. Henrique Nautical School,Paço de Arcos,https://www.enautica.pt/pt/enidh/enidh-40
Institute of Administration and Management,Porto,http://www.isag.pt
Institute of Advanced Technologies of Lisbon,Lisboa,http://www.istec.pt
Institute of Business and Tourism,Porto,http://www.iscet.pt
Institute of Educational Sciences,Ramada,http://www.isce.pt
Institute of Educational Sciences of Douro,Penafiel,http://www.iscedouro.pt
Institute of Entre Douro and Vouga,Santa Maria da Feira,http://www.isvouga.pt
Institute of Information and Administration,Aveiro,http://www.iscia.edu.pt
Institute of Intercultural and Transdisciplinary Studies of Almada,Almada,https://ipiaget.org/iseit-ensino-universitario-almada
Institute of Intercultural and Transdisciplinary Studies of Viseu,Viseu,https://ipiaget.org/iseit-ensino-universitario-viseu
Institute of Paços de Brandão,Paços de Brandão,http://www.ispab.pt
Institute of Social Services of Oporto,Senhora da Hora,http://www.isssp.pt
Institute of the New Professions,Lisboa,http://www.inp.pt
ISG - Business and Economics School,Lisboa,http://www.isg.pt
ISLA - Higher Institute of Management and Administration of Leiria,Leiria,http://www.islaleiria.pt
ISLA - Institute of Business and Administration of Santarém,Santarém,http://www.santarem.unisla.pt
ISLA - Polytechnic Institute of Management and Technology,Vila Nova de Gaia,http://www.islagaia.pt
"ISPA - University Institute of Psychological, Social and Life Sciences",Lisboa,http://www.ispa.pt
Jean Piaget Polytechnic Institute of the South,Almada,https://ipiaget.org
Jean Piaget School of Education of Arcozelo,Viseu,https://ipiaget.org/escola-superior-de-educacao-jean-piaget-de-arcozelo
João de Deus Higher School of Education,Lisboa,http://www.ese-jdeus.edu.pt
Lusiada University - North,Porto,http://www.por.ulusiada.pt
Lusiada University of Lisbon,Lisboa,https://www.lis.ulusiada.pt
Lusophone University of Humanities and Technologies,Lisboa,http://www.ulusofona.pt
Maia Academic Institute,Castelo da Maia,http://www.ismai.pt
Manuel Teixeira Gomes Institute,Portimão,http://www.ismat.pt
Maria Ulrich Early Childhood Educators School,Lisboa,http://www.api.edu.pt/eseimu
Miguel Torga Institute,Coimbra,http://www.ismt.pt
New University of Lisbon,Lisboa,http://www.unl.pt
Nursing School of Coimbra,Coimbra,https://www.esenfc.pt
Nursing School of Lisbon,Lisboa,http://www.esel.pt
Nursing School of Porto,Porto,http://portal.esenf.pt
Nursing School of Saint Joseph of Cluny,Funchal,http://www.esesjcluny.pt
Open University,Lisboa,http://www.uab.pt
Polytechnic Institute of Beja,Beja,http://www.ipbeja.pt
Polytechnic Institute of Bragança,Bragança,http://www.ipb.pt
Polytechnic Institute of Castelo Branco,Castelo Branco,http://www.ipcb.pt
Polytechnic Institute of Cávado and Ave,Barcelos,http://www.ipca.pt
Polytechnic Institute of Coimbra,Coimbra,http://www.ipc.pt
Polytechnic Institute of Guarda,Guarda,http://www.ipg.pt
Polytechnic Institute of Leiria,Leiria,http://www.ipleiria.pt
Polytechnic Institute of Lisbon,Lisboa,http://www.ipl.pt
Polytechnic Institute of Lusophony - Ribeiro Sanches School of Health Sciences,Lisboa,http://www.erisa.pt
Polytechnic Institute of Maia,Maia,https://www.ipmaia.pt
Polytechnic Institute of Oporto,Porto,http://www.ipp.pt
Polytechnic Institute of Portalegre,Portalegre,http://www.ipportalegre.pt
Polytechnic Institute of Santarém,Santarém,http://www.ipsantarem.pt
Polytechnic Institute of Setúbal,Setúbal,http://www.ips.pt
Polytechnic Institute of the West,Torres Vedras,http://www.ispo.pt
Polytechnic Institute of Tomar,Tomar,http://www.ipt.pt
Polytechnic Institute of Viana do Castelo,Viana do Castelo,http://www.ipvc.pt
Polytechnic Institute of Viseu,Viseu,http://www.ipv.pt
Porto School of Arts,Porto,http://www.esap.pt
Portuguese Higher Institute of Marketing Management of Oporto,Porto,http://www.ipam.pt
Portuguese Institute of Administration and Marketing of Lisbon,Lisboa,https://www.ipam.pt/lisboa
Portuguese Red Cross Health School - Alto Tâmega,Chaves,https://www.esscvpaltotamega.pt
Santa Maria Health School,Porto,https://www.santamariasaude.pt
School of Health of Alcoitão,Alcabideche,http://www.essa.pt
School of Real Estate Activities,Lisboa,http://www.esai.pt
Superior Music Conservatory of Gaia,Vila Nova de Gaia,http://www.conservatoriodegaia.org/superior
University Institute of Health Sciences,Gandra,https://www.cespu.pt/ensino/ensino-universitario
