institute,city,url
Alexandru Ioan Cuza University of Iaşi,Iaşi,https://www.uaic.ro
Constanta Maritime University,Constanţa,https://cmu-edu.eu
Dunărea de Jos University of Galaţi,Galaţi,https://www.ugal.ro
National University of Physical Education and Sports of Bucharest,Bucureşti,https://www.unefs.ro
National University of Political Studies and Public Administration,Bucharest,https://snspa.ro
Petre Andrei University of Iaşi,Iaşi,https://www.upa.ro
Polytechnic University of Bucharest,Bucharest,https://www.upb.ro
Spiru Haret University of Bucharest,Bucharest,https://www.spiruharet.ro
University of Agricultural Sciences and Veterinary Medicine of Bucharest,Bucharest,https://www.usamv.ro
West University of Timişoara,Timişoara,https://www.uvt.ro
"""December 1, 1918"" University of Alba Iulia",Alba Iulia,http://www.uab.ro
Agora University of Oradea,Oradea,http://univagora.ro
Alexandru Ioan Cuza Police Academy of Bucharest,Bucureşti,http://www.academiadepolitie.ro
Andrei Saguna University of Constanţa,Constanţa,http://www.andreisaguna.ro
Apollonia University of Iaşi,Iaşi,http://www.univapollonia.ro
Artifex University of Bucharest,Bucureşti,http://www.artifex.org.ro
Athenaeum University of Bucharest,Bucureşti,http://www.univath.ro
Aurel Vlaicu University of Arad,Arad,http://www.uav.ro
Avram Iancu University of Cluj-Napoca,Cluj-Napoca,http://www.uai-cluj.ro
Babeş-Bolyai University of Cluj-Napoca,Cluj-Napoca,http://www.ubbcluj.ro
Banat University of Agricultural Sciences and Veterinary Medicine of Timişoara,Timişoara,http://www.usab-tm.ro
Bioterra University of Bucharest,Bucharest,http://www.bioterra.ro
Bogdan-Vodă University of Cluj-Napoca,Cluj-Napoca,http://www.ubv.ro
Bucharest University of Economic Studies,Bucharest,http://www.ase.ro
Carol Davila University of Medicine and Pharmacy Bucharest,Bucharest,http://www.umf.ro
Constantin Brâncoveanu University Piteşti,Piteşti,http://www.univcb.ro
Constantin Brâncuşi University of Târgu-Jiu,Târgu-Jiu,http://www.utgjiu.ro
Danubius University of Galaţi,Galaţi,https://www.univ-danubius.ro
Dimitrie Cantemir Christian University of Bucharest,Bucharest,http://www.ucdc.ro
Dimitrie Cantemir University of Târgu-Mureş,Târgu-Mureş,http://www.cantemir.ro
Drăgan European University of Lugoj,Lugoj,http://www.universitateaeuropeanadragan.ro
Ecological University of Bucharest,Bucharest,http://www.ueb.ro
Eftimie Murgu University of Resita,Reşiţa,http://www.uem.ro
Emanuel University of Oradea,Oradea,http://www.emanuel.ro
George Bacovia University of Bacău,Bacău,http://www.ugb.ro
"George Emil Palade University of Medicine, Pharmacy, Science and Technology of Târgu Mureș",Târgu-Mureş,https://www.umfst.ro
George Enescu National University of Arts of Iaşi,Iaşi,http://www.arteiasi.ro
Gheorghe Asachi Technical University of Iaşi,Iaşi,http://www.tuiasi.ro
Gheorghe Dima Music Academy of Cluj-Napoca,Cluj-Napoca,http://www.amgd.ro
Grigore T. Popa University of Medicine and Pharmacy of Iaşi,Iaşi,http://www.umfiasi.ro
Hyperion University of Bucharest,Bucharest,http://www.hyperion.ro
I.L. Caragiale University of Drama and Cinema of Bucharest,Bucharest,http://www.unatc.ro
Ion Ionescu de Brad University of Agricultural Sciences and Veterinary Medicine of Iasi,Iaşi,http://www.uaiasi.ro
Ion Mincu University of Architecture and Urbanism in Bucharest,Bucharest,http://www.iaim.ro
Iuliu Haţieganu University of Medicine and Pharmacy of Cluj-Napoca,Cluj-Napoca,http://www.umfcluj.ro
Lucian Blaga University of Sibiu,Sibiu,http://www.ulbsibiu.ro
Mihai Eminescu University of Timişoara,Timişoara,http://www.umet.ro
"National University of Arts, Bucharest",Bucharest,http://unarte.org
National University of Music from Bucharest,Bucharest,http://www.unmb.ro
Nicolae Titulescu University of Bucharest,Bucureşti,http://www.univnt.ro
Ovidius University of Constanţa,Constanţa,http://www.univ-ovidius.ro
Partium Christian University of Oradea,Oradea,http://www.partium.ro
Petroleum and Gas University of Ploieşti,Ploieşti,http://www.upg-ploiesti.ro
Polytechnic University of Timişoara,Timişoara,http://www.upt.ro
Romanian-American University of Bucharest,Bucharest,http://www.rau.ro
Romanian-German University of Sibiu,Sibiu,http://www.roger-univ.ro
Sapientia Hungarian University of Transylvania,Cluj-Napoca,http://www.sapientia.ro/hu
Stefan cel Mare University of Suceava,Suceava,http://www.usv.ro
Technical University of Civil Engineering of Bucharest,Bucharest,https://utcb.ro
Technical University of Cluj-Napoca,Cluj-Napoca,http://www.utcluj.ro
Tibiscus University of Timişoara,Timişoara,http://www.tibiscus.ro
Titu Maiorescu University of Bucharest,Bucureşti,http://www.utm.ro
Transylvania University of Braşov,Braşov,http://www.unitbv.ro
University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,Cluj-Napoca,http://www.usamvcluj.ro
University of Art and Design of Cluj-Napoca,Cluj-Napoca,http://www.uad.ro
University of Arts in Târgu-Mureș,Târgu-Mureş,http://www.uat.ro
University of Bucharest,Bucharest,http://www.unibuc.ro
University of Craiova,Craiova,https://www.ucv.ro
University of Medicine and Pharmacy of Craiova,Craiova,http://www.umfcv.ro
University of Oradea,Oradea,http://www.uoradea.ro
University of Petroşani,Petroşani,http://www.upet.ro
University of Piteşti,Piteşti,http://www.upit.ro
Valahia University of Târgovişte,Târgovişte,http://www.valahia.ro
Vasile Alecsandri University of Bacău,Bacău,http://www.ub.ro
Vasile Goldiş West University of Arad,Arad,http://www.uvvg.ro
Victor Babes University of Pharmacy and Medicine of Timisoara,Timişoara,http://www.umft.ro
