institute,city,url
Moscow State University of Medicine and Dentistry named after A.I. Evdokimov,Moskva,https://www.msmsu.ru
National Research University 'Moscow Power Engineering Institute',Moskva,https://mpei.ru
Peoples' Friendship University of Russia,Moskva,https://www.rudn.ru
Pyatigorsk State University,Pjatigorsk,https://pgu.ru
Saint-Petersburg University of Management Technologies and Economics,Sankt-Peterburg,https://www.spbume.ru
Southern Federal University,Rostov-na-Donu,https://sfedu.ru
The Russian Presidential Academy of National Economy and Public Administration,Moskva,https://www.ranepa.ru
Academy of Choir Singing named after V.S. Popov,Moskva,http://www.axu.ru
Academy of Federal Security Guard Service of the Russian Federation,Orjol,https://alt.academ.msk.rsnet.ru
Academy of Labour and Social Relations,Moskva,https://atiso.ru
Academy of Law and Management of the Federal Penal Service,Rjazan,http://www.apu.fsin.su
Academy of Management and Production,Moskva,https://amp1996.ru
Academy of Marketing and Social Information Technology,Krasnodar,https://www.imsit.ru/ru
Academy of Public Administration,Mytišči,https://asou-mo.ru
Academy of Social Education,Kazan,https://www.aso-ksui.ru
Academy of the Federal Security Service of the Russian Federation,Moskva,http://www.academy.fsb.ru
Academy of the State Fire Service of the Ministry of the Russian Federation for Civil Defense and Emergencies,Moskva,https://www.academygps.ru
Admiral Makarov State University of Maritime and Inland Shipping,Sankt-Peterburg,https://gumrf.ru
Admiral Ushakov Maritime State University,Novorossijsk,http://www.nsma.ru
Adygeja State University,Majkop,https://www.adygnet.ru
All-Russian State Institute of Cinematography named after S.A. Gerasimov,Moskva,https://vgik.info
All-Russian State University of Justice,Moskva,https://rpa-mu.ru
Almetievsk State Oil Institute,Al'metievsk,http://www.agni-rt.ru
Altai State Humanitarian Pedagogical University named after V.M. Shukshin,Bijsk,http://www.bigpi.biysk.ru
Altai State Institute of Culture,Barnaul,http://www.altgaki.org
Altai State Medical University,Barnaul,http://www.agmu.ru
Altai State Pedagogical University,Barnaul,https://www.altspu.ru
Altai State Technical University named after I.I. Polzunova,Barnaul,https://www.altstu.ru
Altai State University,Barnaul,https://www.asu.ru
Altai State University of Agriculture,Barnaul,http://www.asau.ru
Amur State Medical Academy,Blagoveščensk,http://www.amursma.ru
Amur State University,Blagoveščensk,https://www.amursu.ru
Amur State University of Humanities and Pedagogy,Komsomol'sk-na-Amure,https://www.amgpgu.ru
Angarsk State Technical University,Angarsk,http://angtu.ru
Arctic State Institute of Arts and Culture,Jakutsk,http://agiki.ru
Arctic State University of Agroengineering,Jakutsk,https://www.agatu.ru
Armavir Humanitarian and Social Institute,Armavir,http://agsi.ru
Armavir Linguistic Social Institute,Armavir,http://alsivuz.ru
Armavir State Pedagogical University,Armavir,http://www.agpu.net
Astrakhan State Conservatory,Astrakhan,https://astracons.ru
Astrakhan State Medical University,Astrakhan,http://astgmu.ru
Astrakhan State Technical University,Astrakhan,http://www.astu.org
Astrakhan State University,Astrakhan,https://asu.edu.ru
Astrakhan State University of Architecture and Civil Engineering,Astrakhan,https://xn--80aai1dk.xn--p1ai
Baikal State University,Irkutsk,http://bgu.ru
Baltic Academy of Tourism and Entrepreneurship,Sankt-Peterburg,http://batp.ru
Baltic Federal University named after Emmanuel Kant,Kaliningrad,https://kantiana.ru
Baltic State Technical University named after D.F. Ustinov 'Voenmeh',Sankt-Peterburg,https://www.voenmeh.ru
Barnaul Law Institute of the Ministry of Internal Affairs of the Russian Federation,Barnaul,https://xn--90ao9d.xn--b1aew.xn--p1ai
Bashkir Academy of Public Administration and Management under the Head of the Republic of Bashkortostan,Ufa,https://www.bagsurb.ru
Bashkir State Agrarian University,Ufa,https://www.bsau.ru
Bashkir State Medical University,Ufa,https://www.bashgmu.ru
Bashkir State Pedagogical University named after M. Akmulla,Ufa,http://www.bspu.ru
Bashkir State University,Ufa,https://bashedu.ru
Belgorod Law Institute of the Ministry of Internal Affairs of the Russian Federation named after I.D. Putilin,Belgorod,https://xn--90aijl9g.xn--b1aew.xn--p1ai
Belgorod State Agricultural University named after V.Ya. Gorin,Belgorod,http://www.bsaa.edu.ru
Belgorod State Institute of Arts and Culture,Belgorod,https://bgiik.ru
Belgorod State National Research University,Belgorod,https://www.bsu.edu.ru/en
Belgorod State Technological University named after V.G. Shoukhov,Belgorod,https://www.bstu.ru
"Belgorod University of Cooperation, Economics and Law",Belgorod,http://www.bukep.ru
Blagoveshchensk State Pedagogical University,Blagoveščensk,http://www.bgpu.ru
Border Academy of the Federal Security Service of the Russian Federation,Moskva,http://www.bgafss.ru
Boris Shchukin Theatre Institute of the State Academic Theatre named after Yevgeny Vakhtangov,Moskva,http://htvs.ru
Bratsk State University,Bratsk,https://www.brstu.ru
Bryansk State Agrarian University,Vigoničskij District,http://www.bgsha.com
Bryansk State Engineering Technological University,Brjansk,http://www.bgitu.ru
Bryansk State Technical University,Brjansk,https://www.tu-bryansk.ru
Bryansk State University named after Academician I.G. Petrovsky,Brjansk,https://brgu.ru
Burjat State Academy of Agriculture named after V.P. Filippov,Ulan-Ude,http://www.bgsha.ru
Burjat State University named after Dorži Banzarov,Ulan-Ude,https://www.bsu.ru
Chajkovskij State Institute of Physical Training,Čaikovskij,http://www.chifk.ru
Chechen State Pedagogical Institute,Groznyj,https://chspu.ru
Chechen State University,Groznyj,https://www.chesu.ru
Chelyabinsk State Institute of Culture,Čeljabinsk,https://chgik.ru
Chelyabinsk State University,Čeljabinsk,https://www.csu.ru
Cherepovets State University,Čerepovets,https://www.chsu.ru
Chita State Medical Academy,Chita,https://chitgma.ru
Churapcha State Institute of Physical Culture and Sports,Čurapča,http://www.chgifkis.ru
Chuvash State Agricultural University,Čeboksary,http://www.academy21.ru
Chuvash State Institute of Culture and Arts,Čeboksary,http://chgiki.ru
Chuvash State Pedagogical University named after I.J. Jakovleva,Čeboksary,http://www.chgpu.edu.ru
Chuvash State University named after I.M. Uljanova,Čeboksary,http://www.chuvsu.ru
Dagestan Institute of Humanities,Makhačkala,https://www.daggum.ru
Dagestan State Agricultural University named after M.M. Džambulatov,Makhačkala,https://xn--80aaiac8g.xn--p1ai
Dagestan State Medical University,Makhačkala,https://dgmu.ru
Dagestan State Pedagogical University,Makhačkala,http://dgpu.net
Dagestan State Technical University,Makhačkala,http://www.dstu.ru
Dagestan State University,Makhačkala,http://www.dgu.ru
Dagestan State University of National Economics,Makhačkala,http://www.dgunh.ru
Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation,Moskva,http://www.dipacademy.ru
Don State Technical University,Rostov-na-Donu,https://donstu.ru
Don State University of Agriculture,"pos. Persianocskij, Oktjabrskj rajon",http://www.dongau.ru
Dubna University,Dubna,http://www.uni-dubna.ru
East Siberian Institute of the Ministry of Internal Affairs of the Russian Federation,Irkutsk,https://xn--b1am0a.xn--b1aew.xn--p1ai
East Siberian State Institute of Culture,Ulan-Ude,https://www.vsgaki.ru
East Siberian State University of Technology and Management,Ulan-Ude,https://esstu.ru
Eastern Humanities Academy for Economics and Law,Ufa,https://www.vegu.ru
Ekaterinburg State Theatre Institute,Ekaterinburg,http://www.egti.ru
EMERCOM Academy of Civil Protection,Khimki,https://www.amchs.ru
Emperor Alexander I Petersburg State Transport University,Sankt-Peterburg,https://www.pgups.ru
"Essentuki Institute of Management, Business and Law",Essentuki,http://eiubp.ru
European University in Saint-Petersburg,Sankt-Peterburg,https://eusp.org
Far Eastern Federal University,Vladivostok,https://www.dvfu.ru
