institute,city,url
University of Rwanda,Kigali,https://ur.ac.rw
Adventist University of Central Africa,Kigali,https://www.auca.ac.rw
Catholic University of Rwanda,Butaré,http://www.cur.ac.rw
INES-Ruhengeri,Musanze,https://www.ines.ac.rw
Institute of Legal Practice and Development,Nyanza,http://www.ilpd.ac.rw
Kabgayi Catholic Institute,Gitarama,http://www.uck.ac.rw
Kibogora Polytechnic,Rusizi,http://www.kp.ac.rw
Kigali Independent University,Kigali,http://www.ulk.ac.rw
Protestant Institute of Arts and Social Sciences,Huye,http://www.piass.ac.rw
University of Kigali,Kigali,http://uok.ac.rw
University of Lay Adventist of Kigali,Kigali,http://www.unilak.ac.rw
University of Technology and Arts of Byumba,Byumba,http://www.utab.ac.rw
