institute,city,url
Almaarefa University,Riyadh,https://www.um.edu.sa
Effat University,Jeddah,https://www.effatuniversity.edu.sa
King Abdulaziz University,Jeddah,https://www.kau.edu.sa
Prince Mohammad Bin Fahd University,Al Khobar,https://www.pmu.edu.sa
Princess Nourah Bint Abdulrahman University,Riyadh,https://www.pnu.edu.sa
University of Business and Technology,Jeddah,https://www.ubt.edu.sa
Al Baha Private College of Science,Al-Baha,http://bpcs.edu.sa
Al Yamamah University,Riyadh,http://www.yu.edu.sa
Al-Ghad International College for Applied Medical Sciences in Abha,Abha,https://alghadabha.com/en
Al-Ghad International College for Applied Medical Sciences in Al-Madinah Al-Munawwarah,Medina,https://alghadmedina.com/en
Al-Ghad International College for Applied Medical Sciences in Dammam,Dammam,https://alghaddammam.com/en
Al-Ghad International College for Applied Medical Sciences in Jeddah,Jeddah,https://alghadjeddah.com/en
Al-Ghad International College for Applied Medical Sciences in Najran,Najran,https://alghadnajran.com/en
Al-Ghad International College for Applied Medical Sciences in Qassim,Buraidah,https://alghadalqassim.com/en
Al-Ghad International College for Applied Medical Sciences in Riyadh,Riyadh,https://alghadriyadh.com/en
Al-Ghad International College for Applied Medical Sciences in Tabuk,Tabuk,https://alghadtabuk.com/en
Al-Imam Mohammad Ibn Saud Islamic University,Riyadh,https://imamu.edu.sa/en
Al-Riyada College For Health Sciences,Jeddah,https://alriyada.edu.sa
Alasala Colleges,Dammam,https://alasala.edu.sa
Albaha University,Al-Baha,http://www.bu.edu.sa
Alfaisal University,Riyadh,http://www.alfaisal.edu
Arab Open University - Saudi Arabia Branch,Riyadh,http://www.arabou.org.sa
Batterjee Medical College,Jeddah,http://www.bmc.edu.sa
Dar Al Uloom University,Riyadh,http://www.dau.edu.sa
Dar Al-Hekma University,Jeddah,http://www.dah.edu.sa
Fahad Bin Sultan University,Tabuk,http://www.fbsu.edu.sa
Fakeeh College of Medical Sciences,Jeddah,http://www.fakeehcollege.edu.sa/English
Gulf Colleges,Hafar Albatin,https://gulf.edu.sa/en
Ibn Sina National College for Medical Studies,Jeddah,http://www.ibnsina.edu.sa/main/en
Imam Abdulrahman Bin Faisal University,Dammam,https://www.iau.edu.sa/en
Islamic University of Madinah,Madinah,http://www.iu.edu.sa
Jazan University,Jazan,http://www.jazanu.edu.sa
Jeddah International College,Jeddah,https://jicollege.edu.sa/en
Jouf University,Skaka,https://www.ju.edu.sa
King Abdullah University of Science and Technology,Thuwal,http://www.kaust.edu.sa
King Fahd University of Petroleum and Minerals,Dhahran,http://www.kfupm.edu.sa
King Faisal University,Al Ahsa,http://www.kfu.edu.sa
King Khalid University,Abha,http://www.kku.edu.sa
King Saud bin Abdulaziz University for Health Sciences,Riyadh,http://www.ksau-hs.edu.sa
King Saud University,Riyadh,http://www.ksu.edu.sa
lbn Rushd College of Management Sciences,Abha,https://ibnrushd.edu.sa
Majmaah University,Al-Majmaah,https://www.mu.edu.sa
Mohammad Al-Mana College of Health Sciences,Dammam,http://www.machs.edu.sa
Mustaqbal University,Buraidah,https://www.uom.edu.sa
Naif Arab University for Security Sciences,Riyadh,https://nauss.edu.sa
Najran University,Najran,http://www.nu.edu.sa
Northern Border University,Arrar,http://www.nbu.edu.sa
Onaizah Colleges,Unayzah,http://www.oc.edu.sa/en
Prince Sattam bin Abdulaziz University,Al-Kharj,https://www.psau.edu.sa
Prince Sultan University,Riyadh,http://www.psu.edu.sa
Qassim University,Al-Mulida,https://qu.edu.sa
Riyadh Elm University,Riyadh,http://www.riyadh.edu.sa
Saad College of Nursing and Allied Health Sciences,Al Khubar,https://www.saadcollege.edu.sa
Saudi Electronic University,Ryiadh,https://www.seu.edu.sa
Shaqra University,Shaqra,https://www.su.edu.sa/en
Sulaiman Alrajhi University,Al Bukairiyah,https://sr.edu.sa/site/en/home
Taibah University,Medinah,http://www.taibahu.edu.sa
Taif University,Taif,http://www.tu.edu.sa
Umm Al-Qura University,Makah Al Mukaramah,http://www.uqu.edu.sa
University of Bisha,Bisha,http://www.ub.edu.sa
University of Hafr Al Batin,Hafar Al Batin,https://www.uhb.edu.sa
University of Hail,Ha'il,http://www.uoh.edu.sa
University of Jeddah,Jeddah,https://www.uj.edu.sa
University of Tabuk,Tabuk,http://www.ut.edu.sa
Vision Colleges,Jeddah,https://vision.edu.sa/new/en
Arab East Colleges,Riyadh,https://arabeast.edu.sa/en
Buraydah College for Applied Medical Sciences,Buraydah,http://www.bpc.edu.sa/en/colleges_english/ams_college_english
Buraydah College of Administrative Sciences and Humanities,Buraydah,http://www.bpc.edu.sa/en/colleges_english/ahscollege_english
Buraydah College of Dentistry and Pharmacy,Buraydah,http://www.bpc.edu.sa/en/colleges_english/pdcollege_english
Buraydah College of Engineering and Information Technology,Buraidah,http://www.bpc.edu.sa/en/colleges_english/eitcollege_english
Inaya Medical College,Riyadh,https://inaya.edu.sa
