institute,city,url
Cheikh Anta Diop University of Dakar,Dakar-Fann,https://www.ucad.sn
Advanced Education in Financial Management and Administration,Dakar,http://ensup-afrique.com
AFI Group/ The Corporate University,Dakar,http://www.afi-ue.sn
African Centre for Management Studies,Dakar,http://www.cesag.sn
African Management Institute,Dakar,http://www.groupeiam.com
Alioune Diop University of Bambey,Bambey,http://uadb.edu.sn
Amadou Hampaté Bâ University,Dakar,https://www.uahb.sn
Assane Seck University of Ziguinchor,Ziguinchor,http://www.univ-zig.sn
Atlantic University,Dakar,http://www.universat.sn
Catholic University of West Africa/ Catholic higher Institute of Management,Ziguinchor,Webpage-Not-Found
Central School of Free Software and Telecommunications Engineering,Dakar,http://www.ec2lt.sn
Cesar Institute,Dakar,https://institutcesar.net
Dakar Air Academy,Dakar,http://www.dakarairacademy.com
Dakar Bourguiba University,Dakar-Fann,http://udb-sn.com
Dakar Business School Group,Dakar,http://www.supdeco.sn
Euro-African University,Dakar,http://www.uea.edu.sn
Gaston Berger University of Saint-Louis,Saint-Louis,http://www.ugb.sn
Health Services Institute,Dakar-Colobane,http://www.issante.com
HECI Groupe - International Higher Education,Dakar,http://www.universiteinternationale.com
Higher Institute of Commerce and Business Administration,Dakar,http://www.isca.sn
Higher Institute of Commerce and Management,Dakar,http://iscom.sn
Higher Institute of Finance,Dakar,https://isfdakar.com
Higher Institute of Health Sciences,Dakar,Webpage-Not-Found
Higher Institute of Local Development,Dakar-Fann,Webpage-Not-Found
Higher Institute of Management and Business Studies-Higher Institute of Sciences and Technologies,Dakar,http://ismec.sn
"Higher Institute of Management, Engineering and Technology",Dakar-Fann,http://www.mit-university.net
"Higher Institute of new Technologies of Commerce, Building and Health",Dakar - Castors,http://suptecbatis.net
"Higher School of Interpretation, Administration, Management and Hotel Management",Dakar,http://etshosimed.com
Higher School of Project Management/ Project Management Control in Africa,Dakar,http://esmpsenegal.com
Institute of Business Administration Training,Dakar,Webpage-Not-Found
Institute of Computer Science,Dakar Médina,http://www.groupeisi.com
Institute of Management,Dakar-Fann,http://groupeism.sn
Institute of Management and Communication,Dakar,http://imc.sn
Institute of Tourism and Foreign Languages,Dakar-Fann,http://www.groupestel.com/fr
Inter-African Training Institute for Insurance and Business Administration,Dakar,http://www.ifage.net
International Institute of Management,Dakar,http://groupe2im.sn
International Institute of Science and Technology,Dakar-Fann,http://www.iist-hilight.com
International Private School - Sherbrooke Academy,Dakar,Webpage-Not-Found
International School of Business,Dakar,http://eia.sn
International Trades University,Dakar-Ponty,http://www.uim-esig.com
Interstate School of Veterinary Science and Medicine of Dakar,Dakar,http://www.eismv.org
IPG/ISTI Group,Dakar Liberté,http://www.ipg-isti.com
Islamic University College,Dakar Plateau,http://cium.freehostia.com
Marist Institute of Higher Education,Dakar,http://www.imessenegal.org
Multinational Higher School of Telecommunications,Dakar Liberté,http://www.esmt.sn
National Institute of Information Technology,Dakar,http://www.niit.sn
National School of Administration of Senegal,Dakar-Fann,http://www.ena.sn
National School of Statistics and Economic Analysis,Dakar,http://www.ensae.sn
Panafrican Polytechnic Institute,Dakar,http://www.ippdakar.com
Polytechnic School of Thiès,Thiès,http://ept.sn
"Private Institute for Studies and Training in Applied Statistics, Management and Project Evaluation",Dakar-Fann,http://www.inefsagep.org
Private Institute of Medical Education and Research of Dakar,Dakar,http://www.ipformed.org
Professional Business Training Institute,Dakar,https://ipegroupe.com
Saint-Michel Complex,Dakar,http://www.st-michel.sn
School of Advanced Management Studies,Dakar,Webpage-Not-Found
School of Applied Sciences,Yoff,http://essa-gfsa.com
School of Business and Management,Dakar,http://esupdakar.sn
School of Commerce and Business Administration,Dakar Liberté,http://www.esca.sn
School of Construction,Dakar-Fann,http://www.batisup.com
"School of Electricity, Building and Public Works",Dakar,http://www.esebat.com
School of Engineering,Dakar,http://www.esgesenegal.org
School of Technology and Management,Dakar,http://www.estm.sn
"School of Telecommunication, Computer Science and Management",Dakar,Webpage-Not-Found
Sup'Info - International Academy of Dakar,Dakar-Ponty,http://www.supinfo.sn
Sup'Management School Senegal,Dakar,http://www.supmanagement.sn
Tambacounda Sub-regional polytechnic and Management School,Tambacounda,http://espg-iamtamba.e-monsite.com
Technical Institute of Commerce,Dakar,http://www.itecom.sn
University of the Sahel,Dakar-Fann,http://www.unis.sn
University of Thiès Iba Der Thiam,Thiès,http://www.univ-thies.sn
West African Polytechnic University,Dakar,http://upoa.edu.sn
