institute,city,url
Business Academy University,Novi Sad,http://www.privrednaakademija.edu.rs
Educons University,Novi Sad,Http://www.educons.edu.rs
European University,Beograd,http://www.eu.ac.rs/
Megatrend University,Novi Beograd,http://www.megatrend-edu.rs
Metropolitan University,Beograd,http://www.metropolitan.edu.rs
Singidunum University,Beograd,http://www.singidunum.ac.rs/
State University of Novi Pazar,Novi Pazar,http://www.np.ac.rs
Union - Nikola Tesla University,Beograd,http://unionnikolatesla.edu.rs
Union University,Beograd,http://www.union.edu.rs
University of Arts in Belgrade,Beograd,http://www.arts.bg.ac.rs
University of Belgrade,Beograd,http://www.bg.ac.rs
University of Kragujevac,Kragujevac,http://www.kg.ac.rs
University of Niš,Niš,http://www.ni.ac.rs
University of Novi Sad,Novi Sad,http://www.uns.ac.rs
University of Prishtina,Kosovska Mitrovica,https://pr.ac.rs
