institute,city,url
Academy of Art in Banská Bystrica,Banská Bystrica,https://www.aku.sk
Academy of Fine Arts and Design in Bratislava,Bratislava,https://www.vsvu.sk
Academy of Performing Arts in Bratislava,Bratislava,https://www.vsmu.sk
Academy of the Police Force in Bratislava,Bratislava,https://www.akademiapz.sk
Alexander Dubcek University in Trencin,Trenčín,https://tnuni.sk
College of International Business ISM Slovakia in Prešov,Prešov,http://www.ismpo.sk
College of Management in Trenčíne,Trenčín,http://www.vsm.sk
Comenius University in Bratislava,Bratislava 1,https://uniba.sk
Constantine the Philosopher University in Nitra,Nitra,https://www.ukf.sk
Danubius University,Sládkovičovo,https://www.vsdanubius.sk
DTI University,Dubnica nad Váhom,http://www.dti.sk
Ján Albrecht Academy of Music and Arts - Banská Štiavnica,Banská Štiavnica,https://huaja.org
János Selye University in Komárno,Komárno,https://www.ujs.sk
Matej Bel University in Banská Bystrica,Banská Bystrica,https://www.umb.sk
Pan-European University,Bratislava,https://www.paneurouni.com
Pavel Jozef Šafárik University in Košice,Košice,https://www.upjs.sk
School of Economics and Management of Public Administration in Bratislava,Bratislava,http://www.vsemvs.sk
Slovak Medical University,Bratislava,http://www.szu.sk
Slovak University of Agriculture in Nitra,Nitra,https://www.uniag.sk
Slovak University of Technology in Bratislava,Bratislava,https://www.stuba.sk
St. Elisabeth University of Health Care and Social Work,Bratislava,http://www.vssvalzbety.sk
Technical University in Zvolen,Zvolen,https://www.tuzvo.sk
Technical University of Košice,Košice,http://www.tuke.sk
The Catholic University in Ružomberok,Ružomberok,http://www.ku.sk
University of Central Europe in Skalica,Skalica,http://www.sevs.sk
University of Economics in Bratislava,Bratislava,https://euba.sk
University of Prešov in Prešov,Prešov,https://www.unipo.sk
University of Security Management in Košice,Košice,https://www.vsbm.sk
University of Ss. Cyril and Methodius in Trnava,Trnava,https://www.ucm.sk
University of Trnava in Trnave,Trnava,https://www.truni.sk
University of Veterinary Medicine and Pharmacy in Košice,Košice,http://www.uvlf.sk
University of Zilina,Žilina,https://www.uniza.sk
