institute,city,url
Alma Mater Europaea - European Center,Maribor,https://www.almamater.si
Academy of Visual Arts,Ljubljana,https://www.ava.si
Alma Mater Europaea - Dance Academy,Ljubljana,https://en.almamater.si/alma-mater-europaea-dance-academy-s267
Alma Mater Europaea - ISH - Institutum Studiorum Humanitatis - Postgraduate School of Humanities,Ljubljana,http://www.ish.si
Angela Boškin Faculty of Health Care,Jesenice,https://www.fzab.si
Arthouse-College of Visual Arts,Ljubljana,https://www.arthouse-si.com
College of Accounting and Finance,Ljubljana,https://www.vsr.si
College of Nursing in Celje,Celje,http://www.vzsce.si
DOBA Business School,Maribor,https://www.fakulteta.doba.si
Environmental Protection College,Velenje,http://www.vsvo.si
Euro-Mediterranean University,Piran,http://www.emuni.si
Faculty of Commercial and Business Sciences,Celje,http://www.fkpv.si
Faculty of Design - independant higher education institution Associated member of University of Primorska,Trzin,http://www.fd.si
Faculty of Health and Social Sciences Slovenj Gradec,Slovenj Gradec,https://www.fzsv.si
Faculty of Industrial Engineering Novo Mesto,Novo mesto,http://www.fini-unm.si/si
Faculty of Information Studies in Novo Mesto,Novo Mesto,https://www.fis.unm.si
Faculty of Law and Business Studies,Ljubljana,http://www.katoliski-institut.si
Faculty of Media Studies,Ljubljana,https://fame.si
Faculty of Organisation Studies in Novo Mesto,Novo mesto,https://www.fos-unm.si
Faculty of Polymer Technology,Slovenj Gradec,https://www.ftpo.eu
GEA College - Faculty of Entrepreneurship,Ljubljana,https://gea-college.si
Higher Education Institute of Physiotherapy,Ljubljana,https://www.erudio.si
Higher School of Applied Sciences,Ljubljana,http://www.vist.si
IBS International Business School,Ljubljana,http://www.ibs.si
IEDC Bled School of Management,Bled,http://www.iedc.si
International School for Social and Business Studies,Celje,https://mfdps.si
Jožef Stefan International Postgraduate School,Ljubljana,https://www.mps.si
Ljubljana School of Business,Ljubljana,https://www.vspv.si
MLC Faculty of Management and Law Ljubljana,Ljubljana,https://www.mlcljubljana.com
"New university, Faculty for Slovenian and International Studies",Nova Gorica,https://fsms.nova-uni.si
"Nova Univerza, European Faculty of Law",Nova Gorica,https://epf.nova-uni.si
"Nova Univerza, Faculty of Government and European studies",Kranj,https://fds.nova-uni.si
Postgraduate School ZRC SAZU,Ljubljana,https://ps-zrc-sazu.org
School of Advanced Social Studies in Nova Gorica,Nova Gorica,http://www.fuds.si
University of Ljubljana,Ljubljana,http://www.uni-lj.si
University of Maribor,Maribor,http://www.um.si
University of Nova Gorica,Nova Gorica,http://www.ung.si
"University of Novo Mesto, Faculty of Business and Management",Novo mesto,http://www.fpuv.vs-nm.si
"University of Novo Mesto, Faculty of Economics and Informatics",Novo Mesto,https://fei.uni-nm.si
"University of Novo Mesto, Faculty of Health Sciences",Novo Mesto,https://fzv.uni-nm.si
"University of Novo Mesto, Faculty of Mechanical Engineering",Novo Mesto,https://fs.uni-nm.si
University of Primorska,Koper,https://www.upr.si
