institute,city,url
Abrar University,Mogadishu,https://abrar.edu.so
Capital University of Somalia,Mogadishu,http://www.capitaluniversity.edu.so
Himilo University,Mogadishu,https://www.himilouniversity.edu.so
Hormuud University,Mogadishu,https://hu.edu.so
Jazeera University,Mogadishu,http://jazeerauniversity.com
Nile University of Science and Technology,Mogadishu,https://www.nust.edu.so
Simad University,Mogadishu,https://simad.edu.so
Amoud University,Somaliland,http://www.amoud.edu.so
Beder International University,Hargeisa,Webpage-Not-Found
Benadir University,Mogadishu,http://benadiruniversity.edu.so
Dar Al-Ulum University,Mogadishu,http://www.daralulumuniversity.com
Darulhikmah University,Mogadishu,http://www.darulhikmahuniversity.com
East Africa University,Bosaso,http://www.eastafricauniversity.net
Eelo University,Borama,http://www.eelouniversity.org
Galkayo International University,Gaalkacyo,Webpage-Not-Found
Garowe Teachers Education College,Garowe,http://gtecsom.com
Gollis University,Hargeisa,http://www.gollisuniversity.com
Hope University,Mogadishu,http://hopeuniversity.so
Horn of Africa University,Mogadishu,www.hornafricauniversity.com
Horseed International University,Mogadishu,Webpage-Not-Found
Indian Ocean University,Mogadishu,http://www.iouniversity.net
Islamic University,Mogadishu,http://www.islamicuniversity.so
Jamhuriya University of Science and Technology,Mogadishu,https://just.edu.so
Jobkey University,Mogadishu,http://www.jobkey.edu.so
Kismayo University,Kismayo,http://www.kismayouniversity.com
Maakhir University,Maakhir,http://maakhiruniversity.net
Modern University for Science and Technology,Mogadishu,Webpage-Not-Found
Mogadishu University,Mogadishu,http://mu.edu.so
New Generation University,Hargeysa,http://www.nguchc.com
Nugaal University,Las Anod,http://www.nugaaluniversity.com
Plasma University,Mogadishu,http://plasmauniversity.net
Puntland State University,Garowe,http://puntlandstateuniversity.com
Puntland University of Science and Technology,Puntland,Webpage-Not-Found
Salaam University,Mogadishu,http://salaam.edu.so
Somali International University,Mogadishu,http://siu.edu.so
Somali National University,Mogadishu,http://snu.edu.so
Tima-ade University,Gabiley City,Webpage-Not-Found
University of Bosaso,Bosaso,https://uob.edu.so
University of Burao,Burao,https://uob-edu.net
University of Hargeisa,Hargeisa,http://uoh-edu.net
University of Health Sciences Bosaso,Bosaso,http://www.uohsboss.com
University of Somalia,Mogadishu,http://www.uniso.edu.so
University of Southern Somalia,Baidoa,http://www.uss-baidoa.org
