institute,city,url
Durban University of Technology,Durban,https://www.dut.ac.za
Rhodes University,Grahamstown,https://www.ru.ac.za
University of KwaZulu-Natal,Durban,https://www.ukzn.ac.za
University of Pretoria,Pretoria,https://www.up.ac.za
University of South Africa,Pretoria,https://www.unisa.ac.za
Vaal University of Technology,Vanderbijlpark,https://www.vut.ac.za
Cape Peninsula University of Technology,Bellville,https://www.cput.ac.za
"Central University of Technology, Free State",Bloemfontein,http://www.cut.ac.za
Cornerstone Institute,Cape Town,www.cornerstone.ac.za
Cranefield College,Pretoria,http://www.cranefield.ac.za
Da Vinci Institute for Technology Management,Lethabong,http://www.davinci.ac.za
Fedisa,Cape Town,www.fedisa.co.za
"Greenside Design Center, College of Design",Greenside,http://designcenter.co.za
Helderberg College,Cape Town,http://www.hbc.ac.za
Henley Business School,Johannesburg,http://www.henleysa.ac.za
IMM Graduate School of Marketing,Auckland Park,http://www.imm.co.za
Independent Institute of Education (The),Sandton,http://www.iie.ac.za
Lisof,Parklands,www.lisof.co.za
Management College of Southern Africa - MANCOSA,Durban,http://www.mancosa.co.za
Mangosuthu University of Technology,Umlazi,https://www.mut.ac.za
Milpark Education,Cape Town,http://www.milpark.ac.za
Nelson Mandela University,Port Elizabeth,http://www.mandela.ac.za
North-West University,Potchefstroom,http://www.nwu.ac.za
"North-West University
Mafikeng Campus",Mmabatho,http://www.nwu.ac.za
"North-West University
Potchefstroom Campus",Potchefstroom,http://www.nwu.ac.za
"North-West University
Vaal Triangle Campus",Vanderbijlpark,http://www.nwu.ac.za/vaal-triangle-campus-0
Pearson Institute of Higher Education,Midrand,https://www.pihe.ac.za/Student-Life/Campuses/Midrand-Campus.html
Production Management Institute of Southern Africa,Durban,http://www.pmi-sa.co.za
Regenesys,Johannesburg,https://regenesys.net
Regent Business School,Durban,http://www.regent.ac.za
Saint Augustine College of South Africa,Linden,http://www.staugustine.ac.za
Sefako Makgatho Health Sciences University,Medunsa,https://www.smu.ac.za
South African College of Applied Psychology,Claremont,http://www.sacap.edu.za
South African School of Motion Picture Medium and Live Performance,Johannesburg,http://www.afda.co.za
Southern Business School,Helderkruin,http://sbs.ac.za
Stellenbosch University,Matieland,http://www.sun.ac.za
Tshwane University of Technology,Pretoria,http://www.tut.ac.za
University of Cape Town,Rondebosch,http://www.uct.ac.za
University of Fort Hare,Alice,http://www.ufh.ac.za
University of Johannesburg,Johannesburg,http://www.uj.ac.za
University of Limpopo,Sovenga,http://www.ul.ac.za
University of the Free State,Bloemfontein,http://www.ufs.ac.za
"University of the Free State
Qwaqwa Campus",Phuthaditjhaba,http://www.ufs.ac.za/qwaqwa
University of the Western Cape,Bellville,http://www.uwc.ac.za
University of the Witwatersrand,Johannesburg,http://www.wits.ac.za/
University of Venda,Thohoyandou,http://www.univen.ac.za
University of Zululand,Kwa-Dlangezwa,http://www.unizulu.ac.za
"University of Zululand
Richards Bay Campus",Richards Bay,www.unizulu.ac.za
Walter Sisulu University,Mthatha,http://www.wsu.ac.za
"Walter Sisulu University
Nelson Mandela Drive Campus",Mthatha,http://www.wsu.ac.za
