institute,city,url
National University of Distance Education,Madrid,https://www.uned.es
Open University of Cataluña,Barcelona,https://www.uoc.edu
Universidad Politécnica de Madrid,Madrid,https://www.upm.es
University of Barcelona,Barcelona,https://www.ub.edu
University of Granada,Granada,https://www.ugr.es
University of Málaga,Málaga,https://www.uma.es
University of Salamanca,Salamanca,https://www.usal.es
Abat Oliba CEU University,Barcelona,https://www.uaoceu.es
Alfonso X El Sabio University,Villanueva de la Cañada,https://www.uax.es
Art Institute of the Community of Valencia,Valencia,http://www.iseacv.es
Autonomous University of Barcelona,Cerdanyola del Vallès,http://www.uab.cat
Autonomous University of Madrid,Cantoblanco,http://www.uam.es
Camilo José Cela University,Villafranca del Castillo,https://www.ucjc.edu
Cardinal Herrera-CEU University,Moncada,https://www.uchceu.es
Carlos III University of Madrid,Getafe,https://www.uc3m.es
Catholic University of Ávila,Ávila,https://www.ucavila.es
CEU San Pablo University,Madrid,https://www.uspceu.com
Comillas Pontifical University,Madrid,https://www.comillas.edu
Complutense University of Madrid,Madrid,https://www.ucm.es
CUNEF University,Madrid,https://www.cunef.edu
Eduardo Martínez Torner Music Conservatoire,Oviedo,https://consmupa.com
ESIC University,Pozuelo de Alarcón,https://www.esic.edu
"European Institute of Design, Madrid",Madrid,https://iedmadrid.com
European University of Madrid,Villaviciosa de Odón,https://universidadeuropea.es/madrid
European University of the Atlantic,Santander,https://www.uneatlantico.es
European University of the Canary Islands,La Orotava,https://universidadeuropea.es/canarias
European University of Valencia,Valencia,https://universidadeuropea.com/en/about-ue/valencia
Francisco de Vitoria University,Pozuelo de Alarcón,https://www.ufv.es
IE University,Segovia,https://www.ie.edu/es/universidad
International University Menéndez Pelayo,Madrid,http://www.uimp.es
International University of Andalusia,Sevilla,https://www.unia.es
International University of Catalonia,Barcelona,http://www.uic.es
International University of La Rioja,Logroño,https://www.unir.net
International University of Valencia,Valencia,https://www.universidadviu.es
Jaume I University,Castellón de la Plana,https://www.uji.es
Joaquín Rodrigo Music Conservatoire of Valencia,Valencia,https://csmvalencia.es
"Juan Crisóstomo de Arriaga Music Conservatoire, Bilbao",Bilbao,http://www.conservatoriobilbao.hezkuntza.net
King Juan Carlos University,Móstoles,https://www.urjc.es
Loyola University Andalusia,Sevilla,https://www.uloyola.es
"Manuel Castillo Music Conservatoire, Seville",Sevilla,https://consev.es
Manuel Massotti Littel Music Conservatoire of Murcia,Murcia,http://www.csmmurcia.com
Miguel de Cervantes European University,Valladolid,https://www.uemc.es
Miguel Hernández University of Elche,Elche,https://www.umh.es
Music Conservatoire of A Coruña,A Coruña,https://www.csmcoruna.com
Music Conservatoire of Aragon,Zaragoza,https://csma.es
Music Conservatoire of Extremadura,Badajoz,http://www.csmbadajoz.es
Music Conservatoire of Málaga,Málaga,https://conservatoriosuperiormalaga.com
Music Conservatoire of Navarra,Pamplona,http://csmn.educacion.navarra.es/web1
Music Conservatoire of of Castilla y León,Salamanca,https://coscyl.com
Music Conservatoire of the Ballearic Islands,Palma,https://conservatorisuperior.com
Music Conservatoire of the Canary Islands,Las Palmas de Gran Canaria,http://www.internationalcsmc.es
Music Conservatoire of the Liceu,Barcelona,http://www.conservatori-liceu.es
Music Conservatoire of Vigo,Vigo,https://www.csmvigo.com
Music School of Catalonia,Barcelona,http://www.esmuc.cat
Musikene - Higher School of Music of the Basque Country,Donostia-San Sebastián,https://musikene.eus
Nebrija University,Hoyos de Manzanares,https://www.nebrija.com
Open University of Madrid,Collado Villalba,https://www.udima.es
"Oscar Esplá Music Conservatoire, Alicante",Alicante,http://www.csmalicante.com
Pablo de Olavide University,Sevilla,https://www.upo.es
Polytechnic University of Cartagena,Cartagena,https://www.upct.es
Polytechnic University of Valencia,Valencia,http://www.upv.es
Pompeu Fabra University,Barcelona,https://www.upf.edu
Pontifical University of Salamanca,Salamanca,https://www.upsa.es
Public University of Navarra,Pamplona,http://www.unavarra.es
Rafael Orozco Music Conservatoire of Cordoba,Córdoba,http://www.csmcordoba.com
Ramon Llull University,Barcelona,https://www.url.edu
Rovira i Virgili University,Tarragona,https://www.urv.cat
Royal Higher College of Performing Arts,Madrid,http://www.resad.es
Royal Music Conservatoire of Madrid,Madrid,https://rcsmm.eu
Saint Vincent the Martyr Catholic University of Valencia,Valencia,https://www.ucv.es
San Antonio Catholic University of Murcia,Guadalupe,http://www.ucam.edu
San Jorge University,Villanueva de Gállego,https://www.usj.es
School of Conservation and Restoration of Cultural Heritage of Galicia,Pontevedra,https://escolaconservacion.gal
School of Dramatic Art of Murcia,Murcia,http://www.esadmurcia.es
School of Dramatic Art of Seville,Sevilla,https://www.esadsevilla.org
School of Dramatic Art of Valencia,Valencia,http://www.esadvalencia.com
Theatre Institute of Barcelona,Barcelona,https://www.institutdelteatre.cat
Universitat Politècnica de Catalunya - Barcelona Tech,Barcelona,https://www.upc.edu
University Isabel 1,Burgos,http://www.ui1.es
University of A Coruña,A Coruña,https://www.udc.es
University of Alcalá,Alcalá de Henares,https://www.uah.es
University of Alicante,San Vicent del Raspeig,https://www.ua.es
University of Almería,La Cañada de San Urbano,https://www.ual.es
University of Burgos,Burgos,https://www.ubu.es
University of Cádiz,Cádiz,https://www.uca.es
University of Cantabria,Santander,https://web.unican.es
University of Castilla-La Mancha,Ciudad Real,https://www.uclm.es
University of Córdoba,Córdoba,http://www.uco.es
University of Deusto,Bilbao,https://www.deusto.es
University of Extremadura,Badajoz,https://www.unex.es
University of Girona,Girona,https://www.udg.edu/ca
University of Huelva,Huelva,http://www.uhu.es
University of Jaén,Jaén,https://www.ujaen.es
University of La Laguna,La Laguna,https://www.ull.es
University of La Rioja,Logroño,https://www.unirioja.es
University of Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,https://www.ulpgc.es
University of León,León,https://www.unileon.es
University of Lleida,Lleida,http://www.udl.es
University of Mondragón,Arrasate-Mondragón,https://www.mondragon.edu
University of Murcia,Murcia,https://www.um.es
University of Navarra,Pamplona,https://www.unav.edu
University of Oviedo,Oviedo,http://www.uniovi.es
University of Santiago de Compostela,Santiago de Compostela,https://www.usc.gal
University of Seville,Sevilla,https://www.us.es
University of the Balearic Islands,Palma,https://www.uib.eu
University of the Basque Country,Leioa,http://www.ehu.es
University of Valencia,Valencia,https://www.uv.es
University of Valladolid,Valladolid,http://www.uva.es
University of Vic-Central University of Catalunya,Vic,https://www.uvic.cat/es
University of Vigo,Vigo,https://www.uvigo.gal
University of Zaragoza,Zaragoza,http://www.unizar.es
Victoria Eugenia Royal Music Conservatoire of Granda,Granada,https://conservatoriosuperiorgranada.com
