institute,city,url
General Sir John Kotelawala Defence University,Colombo,https://www.kdu.ac.lk
Sabaragamuwa University of Sri Lanka,Belihuloya,https://www.sab.ac.lk
Sri Lanka Institute of Information Technology,Malabe,https://www.sliit.lk
Sri Lanka International Buddhist Academy,Kandy,https://www.siba.edu.lk
University of Colombo,Colombo,https://cmb.ac.lk
University of Kelaniya,Kelaniya,https://www.kln.ac.lk
Wayamba University of Sri Lanka,Kuliyapitiya,https://www.wyb.ac.lk
Bhiksu University of Sri Lanka,Anuradhapura,http://busl.ac.lk
Buddhist and Pali University of Sri Lanka,Homagama,http://www.bpu.ac.lk
"Eastern University, Sri Lanka",Chenkalady,http://www.esn.ac.lk
Horizon Campus,Malabe,http://horizoncampus.edu.lk
KAATSU International University,Colombo,https://www.kiu.ac.lk
Nagananda International Institute for Buddhist Studies,Kelaniya,https://niibs.edu.lk
National Institute of Education,Maharagama,http://www.nie.lk
National Institute of Social Development,Rajagiriya,http://www.nisd.lk
National School of Business Management Limited,Homagama,https://www.nsbm.ac.lk
Open University of Sri Lanka,Nugegoda,http://www.ou.ac.lk
Rajarata University of Sri Lanka,Anuradhapura,https://www.rjt.ac.lk
South Eastern University of Sri Lanka,Oluvil,http://www.seu.ac.lk
Sri Lanka Institute of Development Administration,Colombo,http://www.slida.lk
University of Jaffna,Jaffna,http://www.jfn.ac.lk
University of Moratuwa,Moratuwa,http://www.mrt.ac.lk
University of Peradeniya,Peradeniya,http://www.pdn.ac.lk
University of Ruhuna,Matara,http://www.ruh.ac.lk
University of Sri Jayewardenepura,Nugegoda,http://www.sjp.ac.lk
University of the Visual and Performing Arts,Colombo,http://www.vpa.ac.lk
Uva Wellassa University,Badulla,http://www.uwu.ac.lk
