institute,city,url
Elsheikh Abdallah Elbadri University,Berber,https://eaeu.edu.sd
Kassala University,Kassala,https://kassalauni.edu.sd
"National University, Sudan",Khartoum,https://www.nu.edu.sd
Shendi University,Shendi,https://ush.edu.sd
Academy of Engineering Sciences,Khartoum,http://aes.edu.sd
Academy of Health Sciences,Khartoum,http://www.ahs.edu.sd
Africa College,Khartoum,Webpage-Not-Found
Ahfad University for Women,Omdurman,http://www.ahfad.edu.sd
Al Mughtaribeen University,Khartoum,http://mu.edu.sd
Al-Butana University,Rufaa,http://www.albutana.edu.sd/Eng
Al-Neelain University,Khartoum,http://www.neelain.edu.sd
Al-Zaiem Al-Azhari University,Khartoum,http://www.aau.edu.sd
Alsharg Alahlia College,Kassala,http://www.alshargahlia.edu.sd/en
Alyarmouk College,Khartoum,http://yarmoukcollege.com
Arab Open University - Sudan Branch,Khartoum,https://www.arabou.edu.kw/index.php?option=com_content&view=article&id=2477&Itemid=998&lang=en
Bahri Ahlia College,Khartoum North,http://www.bahricollege.com
Bakht Er-Ruda University,Ad Douiem,http://uofb.edu.sd/index.php?lang=en
Bayan College for Science and Technology,Khartoum,http://bayantech.edu.sd
Blue Nile University,Damazeen,http://www.uobn.edu.sd
Canadian Sudanese College,Khartoum,http://www.ccs.edu.sd
College of Aviation Sciences,Khartoum-North,Webpage-Not-Found
College of Igra for Science and Technology,Fadasi,http://icst.edu.sd
Comboni College for Science and Technology,Khartoum,http://www.combonikhartoum.com
Dalanj University,El-Dalanj,http://www.dalanjuniversity.edu.sd
Delta College of Science and Technology,Omdurman,http://deltanc.net
Dongola University,Dongola,http://www.uofd.edu.sd
East Nile College,Omdurman,Webpage-Not-Found
El-Imam El-Mahdi University,Kosti,http://www.elmahdi.edu.sd
Elnasr Technical College,Omdurman,www.elnasrtech.edu.sd
Elrazi University,Azhary,http://www.elraziuniv.net
Emirates College of Science and Technology,Khartoum,http://ecst-sd.com/ar
Garden City College for Science and Technology,Khartoum,Webpage-Not-Found
Gezira College of Technology,Khartoum,http://geziracollege.edu.sd
Hikma College of Science and Technology,Khartoum,http://hikma.sd
Imam Hadi College,Omdurman,Webpage-Not-Found
International College for Sciences and Technology,Khartoum,http://internationalcollege.edu.sd
International University of Africa,Khartoum,http://www.iua.edu.sd
Islamic Institute of Translation,Khartoum,Webpage-Not-Found
Jordanian Sudanese College for Science and Technology,Khartoum,Webpage-Not-Found
Kamlin Ahlia College,Kamlin,www.kac.edu.com
Karary University,Omdurm,http://www.karary.edu.sd/index.php/en
Khartoum College for Applied Studies,Khartoum,http://tatbigia.edu.sd
Khartoum College of Science and Technology,Khartoum-Elamarrat,http://www.kct.edu.sd
Khartoum International Institute for Arabic Language,Khartoum,http://www.alecsolugha.org
Manhal Academy of Sciences,Khartoum North,Webpage-Not-Found
Mashreq University,Bahri,http://www.mashreq.edu.sd
National Ribat University,Khartoum,http://www.ribat.edu.sd
Nile College,Khartoum,http://www.nilecollege.com
Nile Valley University,Khartoum,http://www.nilevalley.edu.sd
Obied Technical College,El-Obied,http://www.otc.edu.sd
Omdurman Ahlia University,Omdurman,http://oau.edu.sd/site/index.php/en
Omdurman Islamic University,Omdurman,http://www.oiu.edu.sd
Open University of Sudan,Khartoum,http://www.ous.edu.sd
Peace College for Languages and Translation,Khartoum,Webpage-Not-Found
Peace University,El Nahud,http://www.peace.edu.sd
Port Sudan Alhia College,Port Sudan,http://pac.edu.sd/portal/wpar/
Red Sea University,Port Sudan,http://www.rsu.edu.sd
Sinnar University,Sinnar,http://www.sinnaruniv.edu.sd
Sudan Academy for Banking and Financial Sciences,Khartoum,http://www.sabfs.edu.sd
Sudan Academy of Sciences,Khartoum,http://www.sas.edu.sd
Sudan International University,Khartoum,http://www.siu-sd.com
Sudan University College for Girls,Ryadh Town,Webpage-Not-Found
Sudan University of Science and Technology,Khartoum,http://www.sustech.edu
The Future University,Khartoum,http://www.futureu.edu.sd
University Ibn Sina,Khartoum,http://www.khmedical.edu.sd/index.php/en
University of Al-Fashir,Al-Fashir,http://www.fashir.edu.sd/en
University of Bahri,Bahri,http://bahri.edu.sd/?lang=en
University of Gadarif,Gadarif,http://www.gaduniv.edu.sd
University of Gezira,Wad Medani,http://www.uofg.edu.sd
University of Holy Qu'ran and Islamic Sciences,Omdurman,http://www.quran-unv.edu.sd/
University of Khartoum,Khartoum,http://uofk.sd/index.php?lang=en
University of Kordofan,El Obeid,http://www.kordofan.edu.sd
University of Medical Sciences and Technology,Khartoum,http://www.umst-edu.sd
University of Nyala,Nyala,http://nyalau.edu.sd
University of Science and Technology,Omdurman,http://www.ust.edu.sd/en/index.php
University of the Holy Qura'n and and Taseel of Sciences,Wad Madani,http://en.uofq.edu.sd
University of Zalengei,Zalengei,http://www.zalingei.edu.sd
Wad Medani Ahlia University,Wad Medani,https://wadmedani-ahlia.edu.sd
Wad Medani College of Medical Sciences and Technology,Wad Medani,http://wmstcollege.edu.sd
West Kordufan University,El-Nahud,http://www.wku.edu.sd
West Nile College,Omdurman,www.gnc.edu.sd
White Nile College of Science and Technology,Kosti,http://wncollege.edu.sd
