institute,city,url
Dalarna University,Falun,https://www.du.se
Jönköping University,Jönköping,https://ju.se
Karlstad University,Karlstad,https://www.kau.se
Karolinska Institute,Stockholm,https://ki.se
Kristianstad University,Kristianstad,https://www.hkr.se
Linnaeus University,Växjö,https://lnu.se
Luleå University of Technology,Luleå,https://www.ltu.se
Malmö University,Malmö,https://mau.se
Mid Sweden University,Sundsvall,https://www.miun.se
Stockholm University,Stockholm,https://www.su.se
University of Gothenburg,Gothenburg,https://www.gu.se
University West,Trollhättan,https://www.hv.se
World Maritime University,Malmö,https://www.wmu.se
Blekinge Institute of Technology,Karlskrona,http://www.bth.se
Chalmers University of Technology,Göteborg,http://www.chalmers.se
Ersta Sköndal Bräcke University College,Stockholm,http://www.esh.se
Evidens University College,Gothenburg,https://www.evidens4u.se
Halmstad University,Halmstad,http://www.hh.se
KTH Royal Institute of Technology,Stockholm,http://www.kth.se
Linköping University,Linköping,http://www.liu.se
Lund University,Lund,http://www.lunduniversity.lu.se
Mälardalen University,Västerås,http://www.mdh.se
Örebro University,Örebro,http://www.oru.se
Red Cross University College,Stockholm,http://www.rkh.se
Royal College of Music in Stockholm,Stockholm,http://www.kmh.se
Royal Institute of Art,Stockholm,http://www.kkh.se
Scandinavian Academy of Psychotherapy Development,Stockholm,https://sapu.se
Södertörn University,Huddinge,http://www.sh.se
Sophiahemmet University College,Stockholm,http://www.sophiahemmethogskola.se
Stockholm School of Economics,Stockholm,http://www.hhs.se
Stockholm University College of Music Education,Stockholm,http://www.smi.se
Stockholm University of the Arts,Stockholm,http://www.uniarts.se
Swedish Defence University,Stockholm,https://www.fhs.se
Swedish University of Agricultural Sciences,Uppsala,http://www.slu.se
The Erica Foundation,Stockholm,http://www.ericastiftelsen.se
The Swedish Institute for CBT and Schema Therapy,Stockholm,http://www.cbti.se
The Swedish School of Sport and Health Sciences,Stockholm,http://www.gih.se
Umeå University,Umeå,http://www.umu.se
"University College of Arts, Crafts and Design",Stockholm,http://www.konstfack.se
University College Stockholm,Bromma,https://www.ehs.se
University of Borås,Borås,http://www.hb.se
University of Gävle,Gävle,http://www.hig.se
University of Skövde,Skövde,http://www.his.se
Uppsala University,Uppsala,http://www.uu.se
