institute,city,url
Swiss Federal Institute of Technology Zürich,Zürich,https://www.ethz.ch
University of Bern,Bern,https://www.unibe.ch
University of Fribourg,Fribourg,https://www.unifr.ch
University of Geneva,Genève,http://www.unige.ch
University of Lausanne,Lausanne,https://www.unil.ch
University of Lucerne,Lucerne,https://www.unilu.ch
University of Neuchâtel,Neuchâtel,http://www.unine.ch
Bern University of Applied Sciences,Bern,http://www.bfh.ch
Franklin University Switzerland,Sorengo,https://www.fus.edu
Graduate Institute of International and Development Studies,Genève,http://graduateinstitute.ch
Kalaidos University of Applied Sciences Switzerland,Zürich,http://www.kalaidos-fh.ch
Lucerne University of Applied Sciences and Arts,Luzern,http://www.hslu.ch
SBS Swiss Business School,Kloten-Zurich,http://www.sbs.edu
St. Gallen University of Teacher Education,St. Gallen,http://www.phsg.ch
Swiss Distance University Institute,Brig,https://fernuni.ch
Swiss Federal Institute for Vocational Education and Training,Zollikofen,http://www.ehb-schweiz.ch
Swiss Federal Institute of Technology of Lausanne,Lausanne,https://www.epfl.ch
University of Applied Sciences - Zürcher Fachhochschule,Zürich,http://www.zfh.ch
"University of Applied Sciences - Zürcher Fachhochschule
University of Applied Sciences in Business Administration Zurich",Zürich,https://fh-hwz.ch/english
"University of Applied Sciences - Zürcher Fachhochschule
Zurich University of the Arts",Zurich,https://www.zhdk.ch/?id=962
"University of Applied Sciences - Zürcher Fachhochschule
Zurich University of Applied Sciences",Winterthur,https://www.zhaw.ch/en/university
University of Applied Sciences and Arts Northwestern Switzerland,Windisch,http://www.fhnw.ch
University of Applied Sciences and Arts of Southern Switzerland,Manno,http://www.supsi.ch
University of Applied Sciences and Arts Western Switzerland,Delémont,http://www.hes-so.ch
University of Applied Sciences in Special Needs Education,Zürich,http://www.hfh.ch
University of Applied Sciences of Eastern Switzerland,St. Gallen,http://www.fho.ch
University of Applied Sciences of the Grisons,Chur,https://www.fhgr.ch
University of Basel,Basel,https://www.unibas.ch
University of Lugano,Lugano,http://www.usi.ch
University of St. Gallen,St. Gallen,http://www.unisg.ch
"University of Teacher Education - Bern, Jura and Neuchâtel",Delémont,https://www.hep-bejune.ch/fr/index.html
University of Teacher Education - Valais,Saint-Maurice,http://www.phvs.ch
University of Teacher Education - Vaud,Lausanne,http://www.hepl.ch
University of Zurich,Zürich,http://www.uzh.ch
