institute,city,url
Al-Sham Private University,Damascus,http://www.aspu.edu.sy
Al Andalus University for Medical Sciences,Al-Qadamous,https://au.edu.sy
Al Jazeera Private University,Damascus,https://jude.edu.sy
Al-Baath University,Homs,https://albaath-univ.edu.sy
Al-Furat University,Deir Ezzor,http://alfuratuniv.edu.sy
Al-Hawash Private University,Homs,http://www.hpu.sy
Al-Manara Private University,Lattakia,http://www.manara.edu.sy
Al-Rasheed International University for Science and Technology,Damascus,https://ru.edu.sy
Al-Shahba University,Aleppo,https://su.edu.sy
Al-Wataniya Private University,Hama,https://www.wpu.edu.sy
Arab International University,Damascus,https://www.aiu.edu.sy
Arab University for Science and Technology,Hama,https://aust.edu.sy
Cordoba Private University,Aleppo,http://main.cpu.edu.sy
Ebla Private University,Idleb,http://www.ebla.edu.sy
Hama University,Hama,https://hama-univ.edu.sy
Higher Institute of Applied Sciences and Technology,Damascus,https://hiast.edu.sy
Higher Institute of Business Administration,Damascus,http://www.hiba.edu.sy
Ibn Hayyan University College,Karbala,http://ihuc.edu.iq
International University for Science and Technology,Ghabageb,https://iust.edu.sy
Ittihad Private University,Raqqa,http://www.ipu.edu.sy
Levant University for Sharia Sciences,Al-Fath,http://www.shifa-sy.com
Qasioun University for Science and Technology,Damascus,http://www.qpu.edu.sy
Syrian Private University,Damascus,https://www.spu.edu.sy
Syrian Virtual University,Damascus,https://www.svuonline.org
Tartus University,Tartus,http://tartous-univ.edu.sy
Tishreen University,Lattakia,https://tishreen.edu.sy
University of Aleppo,Aleppo,https://alepuniv.edu.sy
University of Damascus,Damascus,http://www.damascusuniversity.edu.sy
University of Kalamoon,Deir Atiyah,http://uok.edu.sy
Wadi International University,Homs,https://wiu.edu.sy
Yarmouk Private University,Damascus,http://www.ypu.edu.sy
