institute,city,url
Academy of the Ministry of Internal Affairs,Dušanbe,https://www.avkd.tj/ru/
Avicenna Tajik State Medical University,Dušanbe,https://www.tajmedun.tj
Islamic Institute of Tajikistan named after Imam Azam Abukhanifa,Dušanbe,http://dit.tj
Khorog State University named after Moyonsho Nazarshoev,Khorog,http://www.khogu.org
Khujand Polytechnical Institute of Tajik Technical University named after M.Osimi,Khujand,http://www.kbtut.tj
Khujand State University,Hujand,http://www.hgu.tj
Kulob State University named after Abuabdullohi Rudaki,Kulob,http://www.kgu.tj
Modern Humanitarian University,Hujand,Webpage-Not-Found
Russian Tajik Slavonic University,Dušanbe,http://www.rtsu.tj
Tajik National University,Dušanbe,http://www.tnu.tj
Tajik State Agricultural University named after Shirinsho Shotemu,Dušanbe,http://www.tajagroun.tj/en
Tajik State Institute of Arts named after Mirzo Tursunzade,Dušanbe,Webpage-Not-Found
Tajik State Institute of Languages,Dušanbe,Webpage-Not-Found
Tajik State Pedagogical University named after S. Ayni,Dušanbe,http://www.tgpu.tj
Tajik State University of Commerce,Dušanbe,http://www.tguk.tj
Tajik State University of Finance and Economics,Dušanbe,http://tgfeu.tj/tj
Tajik Technical University named after M.S. Osimi,Dušanbe,http://www.ttu.tj
"Tajik University of Law, Business and Politics",Khujand,http://www.tsulbp.tj
Technological University of Tajikistan,Dušanbe,http://www.tut.tj/
