institute,city,url
Hubert Kairuki Memorial University,Dar es Salaam,http://www.hkmu.ac.tz
University of Dar es Salaam,Dar es Salaam,https://www.udsm.ac.tz
Abdulrahman Al-Sumait University,Chukwani,https://sumait.ac.tz
Aga Khan University,Dar es Salaam,https://www.aku.edu
Ardhi University,Dar es Salaam,https://aru.ac.tz
Catholic University of Health and Allied Sciences - Bugando,Mwanza,https://www.bugando.ac.tz
Centre for Foreign Relations,Dar es Salaam,https://www.cfr.ac.tz
"College of African Wildlife Management, Mweka",Moshi,http://mwekawildlife.ac.tz
College of Business Education,Dar es Salaam,https://www.cbe.ac.tz
Dar es Salaam Institute of Technology,Dar es Salaam,https://www.dit.ac.tz
Dar Es Salaam Maritime Institute,Dar es Salaam,https://www.dmi.ac.tz
Eastern Africa Statistical Training Centre,Dar-Es-Salaam,https://www.eastc.ac.tz
Eastern and Southern African Management Institute,Arusha,https://esami-africa.org
Institute of Accountancy Arusha,Arusha,https://iaa.ac.tz
Institute of Finance Management,Dar es Salaam,https://ifm.ac.tz
Institute of Rural Development Planning,Dodoma,https://www.irdp.ac.tz
Institute of Social Work,Dar es Salaam,https://www.isw.ac.tz
Institute of Tax Administration,Dar es Salaam,https://ita.ac.tz
Mbeya University of Science and Technology,Mbeya,https://must.ac.tz
Moshi Co-operative University,Moshi,https://mocu.ac.tz
Muhimbili University of Health and Allied Sciences,Dar es Salaam,https://www.muhas.ac.tz
Muslim University of Morogoro,Morogoro,http://www.mum.ac.tz
Mwenge Catholic University,Moshi,https://www.mwecau.ac.tz
Mzumbe University,Morogoro,https://site.mzumbe.ac.tz
"Mzumbe University
Mzumbe University - Dar es Salaam Campus College",Dar es Salaam,https://dcc.mzumbe.ac.tz
"Mzumbe University
Mzumbe University - Mbeya Campus College",Mbeya,https://mcc.mzumbe.ac.tz
National Institute of Transport,Dar es Salaam,https://nit.ac.tz
Nelson Mandela African Institute of Science and Technology,Arusha,https://nm-aist.ac.tz
Ruaha Catholic University,Iringa,https://rucu.ac.tz
Sokoine University of Agriculture,Morogoro,https://www.sua.ac.tz
St. Augustine University of Tanzania,Mwanza,https://www.saut.ac.tz
"St. Augustine University of Tanzania
Catholic University College of Mbeya",Mbeya,https://sautmbeya.ac.tz
"St. Augustine University of Tanzania
Jordan University College",Morogoro,https://www.juco.ac.tz
St. John’s University of Tanzania,Dodoma,https://www.sjut.ac.tz
Tanzania Institute of Accountancy,Dar es Salaam,https://www.tia.ac.tz
Tengeru Institute of Community Development,Arusha,https://ticd.ac.tz
The Open University of Tanzania,Dar es Salaam,https://www.out.ac.tz
The State University of Zanzibar,Tunguu,https://www.suza.ac.tz
Tumaini University Makumira,Arusha,https://www.makumira.ac.tz
"Tumaini University Makumira
Kilimanjaro Christian Medical University College",Moshi,https://kcmuco.ac.tz
"Tumaini University Makumira
Tumaini University Dar es Salaam College",Dar es Salaam,https://tudarco.ac.tz
"University of Dar es Salaam
Dar es Salaam University College of Education",Dar es Salaam,https://www.udsm.ac.tz/web/index.php/colleges/duce
"University of Dar es Salaam
Mkwawa University College of Education",Iringa,https://muce.ac.tz
University of Dodoma,Dodoma,https://www.udom.ac.tz
University of Iringa,Iringa,https://www.uoi.ac.tz
Zanzibar University,Zanzibar,http://zanvarsity.ac.tz
