institute,city,url
Asian Institute of Technology,Klong Luang,http://www.ait.ac.th
King Mongkut's University of Technology Thonburi,Bangkok,https://www.kmutt.ac.th/en
Mahidol University,Nakhon Pathom,http://www.mahidol.ac.th
Siam University,Bangkok,https://siam.edu
Suranaree University of Technology,Nakhon Ratchasima,http://www.sut.ac.th
Arsom Silp Institute of Art,Bangkok,http://www.arsomsilp.ac.th
Asia-Pacific International University,Saraburi,http://www.apiu.edu
Assumption University of Thailand,Bangkok,http://www.au.edu
Bangkok Suvarnabhumi College,Bangkok,http://www.bsc.ac.th
Bangkok Thonburi University,Bangkok,http://www.bkkthon.ac.th
Bangkok University,Bangkok,http://www.bu.ac.th
Bansomdet Chaopraya Rajabhat University,Bangkok,http://www.bsru.ac.th
Burapha University,Bangsaen,http://www.buu.ac.th
Buriram Rajabhat University,Buriram,http://www.bru.ac.th
Chaiyaphum Rajabhat University,Chaiyaphum,http://www.cpru.ac.th
Chandrakasem Rajabhat University,Bangkok,http://www.chandra.ac.th
Chaopraya University,Nakhon Sawan,http://www.cpu.ac.th
Chiang Mai Rajabhat University,Chiang Mai,http://www.cmru.ac.th
Chiang Mai University,Chiang Mai,http://www.cmu.ac.th
Chiangrai Rajabhat University,Chiang Rai,http://www.crru.ac.th
Chitralada Technology College,Bangkok,http://www.cdtc.ac.th
Christian University of Thailand,Nakhon Pathom,http://www.christian.ac.th
Chulabhorn Graduate Institute,Bangkok,http://www.cgi.ac.th
Chulalongkorn University,Bangkok,http://www.chula.ac.th
College of Asian Scholars,Khon Khaen,http://www.en.cas.ac.th/home.php
Dhonburi Rajabhat University,Thonburi,http://www.dru.ac.th
Dhurakij Pundit University,Bangkok,http://www.dpu.ac.th
Dusit Thani College,Bangkok,http://www.dtc.ac.th
Eastern Asia University,Thanyaburi,http://www.eau.ac.th
Hatyai University,Hatyai,http://www.hu.ac.th
Huachiew Chalermprakiet University,Samutprakarn,http://www.hcu.ac.th
Institute of Technology Ayothaya,Phra Nakhon Si Ayutthaya,http://www.ayothaya.ac.th
International Buddhist College,Songkhla,http://ibc.ac.th/en
Kamphaeng Phet Rajabhat University,Kamphaeng Phet,http://www.kpru.ac.th
Kanchanaburi Rajabhat University,Kanchanaburi,http://www.kru.ac.th
Kasem Bundit University,Bangkok,http://www.kbu.ac.th
Kasetsart University,Bangkok,http://www.ku.ac.th
Khon Kaen University,Khon Khaen,http://www.kku.ac.th
King Mongkut's Institute of Technology Ladkrabang,Bangkok,http://www.kmitl.ac.th
King Mongkut's Institute of Technology North Bangkok,Bangkok,http://www.kmutnb.ac.th
Krirk University,Bangkok,http://www.krirk.ac.th
Lampang Inter-Tech College,Lampang,http://www.lit.ac.th
Lampang Rajabhat University,Muang District,http://www.lpru.ac.th
Loei Rajabhat University,Loei,http://www.lru.ac.th
Lumnamping College,Tak,http://www.lpc.th.edu
Mae Fah Luang University,Chiang Rai,http://www.mfu.ac.th
Maejo University,Chiang Mai,http://www.global.mju.ac.th
Mahachulalongkornrajavidyalaya University,Bangkok,http://www.mcu.ac.th
Mahamakut Buddhist University,Bangkok,http://www.mbu.ac.th
Mahanakhorn University of Technology,Bangkok,http://www.mut.ac.th
Mahasarakham University,Mahasarakham,http://www.msu.ac.th
Muban Chombueng Rajabhat University,Ratchaburi,http://www.mcru.ac.th
Nakhon Pathom Rajabhat University,Nakhon Pathom,http://www.npru.ac.th
Nakhon Phanom University,Nakhon Phanom,http://www.npu.ac.th
Nakhon Ratchasima College,Nakhon Ratchasima,http://www.nmc.ac.th
Nakhon Ratchasima Rajabhat University,Nakhon Ratchasima,http://www.nrru.ac.th
Nakhon Sawan Rajabhat University,Nakhon Sawan,http://www.nsru.ac.th
Nakhon Si Thammarat Rajabhat University,Mueang Nakhon Si Thammarat,http://www.nstru.ac.th
Naresuan University,Phitsanulok,http://www.nu.ac.th
Nation University,Lampang,http://www.nation.ac.th
National Institute of Development Administration,Bangkok,http://www.nida.ac.th
Navamindradhiraj University,Bangkok,https://www.nmu.ac.th/th
North Bangkok University,Bangkok,http://www.northbkk.ac.th
North-Chiang Mai University,Chiang Mai,http://www.northcm.ac.th
Northeastern University,Khon Khaen,http://www.neu.ac.th
Panyapiwat Institute of Management,Nonthaburi,http://www.pim.ac.th
Pathumthani University,Pathumthani,http://www.ptu.ac.th
Payap University,Chiang Mai,http://www.payap.ac.th
Phanomwan College of Technology,Nakhon Ratchasima,http://www.phanomwan.ac.th
Phetchabun Rajabhat University,Phetchabun,http://www.pcru.ac.th
Phetchaburi Rajabhat University,Phetchaburi,http://www.pbru.ac.th
Phitsanulok University,Phitsanulok,http://www.plu.ac.th
Phranakhon Rajabhat University,Bangkok,http://www.pnru.ac.th
Phranakhon Si Ayutthaya Rajabhat University,Phra Nakhon Si Ayutthaya,http://www.aru.ac.th
Phuket Rajabhat University,Phuket,http://www.pkru.ac.th
Pibulsongkram Rajabhat University,Phitsanulok,http://www.psru.ac.th/en/index.html
Pitchayabundit College,Nongbualamphu,http://www.pcbc.ac.th
Prince of Songkla University,Songkla,http://www.en.psu.ac.th
Princess Galyani Vadhana Institute of Music,Bangkok,http://www.pgvim.ac.th
