institute,city,url
Canossa Professional Institute,Dili,Webpage-Not-Found
Catholic Institute for Teachers Training,Baucau,http://icfpmarista.edu.tl
Dili Institute of Technology,Dili,http://dit.edu.tl
Dili University,Dili,www.undil.tl
Institute of Business,Dili,http://www.iob-tl.com
Instituto Superior Cristal,Dili,http://www.isc-tl.com
National University of Timor Leste,Dili,http://untl-timorleste.blogspot.fr
Oriental University of Timor Leste,Dili,Webpage-Not-Found
São Tómas de Aquino Religious Sciences Institute,Dili,Webpage-Not-Found
University of Peace,Dili,https://unpaztoday.wordpress.com
