institute,city,url
University of Manouba,La Manouba,http://www.uma.rnu.tn
Arab University of Sciences,Tunis,http://www.uas.ens.tn
Avicenne Private Business School,Tunis,http://www.apbs.tn
Central University,Tunis,http://www.universitecentrale.net
EPI Sousse,Sousse,http://www.episousse.com.tn
ESTIM University,Sousse,http://www.estim-tunisie.com
Ezzitouna University,Tunis,http://www.uz.rnu.tn
Ibn Khaldoun Private University,Tunis,http://www.uik.ens.tn
Institute of Advanced Studies in Tunis,Tunis,http://www.ihet.ens.tn
Institute of Advanced Studies of Sousse,Sousse,http://www.ihes.ens.tn
Institute of Paramedical and Nursing Sciences of Sousse,Sousse,http://etoile-formation.com
International Institute of Technology,Sfax,http://www.iit-nau.com
International School of Business Management - Sfax,Sfax,http://www.eseac.ens.tn
Mediterranean Instiute of Technology,Tunis,http://medtech.tn
Mediterranean School of Business,Tunis,http://www.msb.tn
Mediterranean University of Tunis,Tunis,http://www.umlt.ens.tn
Polytechnical School of Sousse,Sousse,http://www.polytecsousse.tn
Private Higher School of Engineering and Technology,Ariana,http://esprit.tn
Private School of Applied Science and Technology of Gabes,Gabès,http://www.essat-gabes.com
Private School of Technology and Management,Tunis,http://www.suptech.tn
Private University of Science and Technology Studies of Mégrine,Ben Arous,http://www.upes-megrine.com
Private University of Sousse,Sousse,http://www.ups.ens.tn
Private University of the South,Sfax,http://www.uls.ens.tn
Private University of Tunis,Tunis,http://www.ult-tunisie.com
"School of Architecture, Audiovisual and Design",Tunis,http://www.esad-tunis.com
TIME Private Higher School,Tunis,http://www.time.ens.tn
Tunis Carthage University,Tunis,http://www.utctunisie.com
Tunis Dauphine Private Institute,Tunis,http://www.tunisdauphine.tn
Tunis International University,Tunis,http://univ-internationale.com
University College of Aviation and Technology,Tunis Carthage,http://www.esat.ens.tn
University of Carthage,Amilcar,http://www.ucar.rnu.tn
University of Gabes,Gabès,http://www.univgb.rnu.tn
University of Gafsa,Gafsa,http://www.ugaf.rnu.tn
University of Jendouba,Jendouba,http://www.uj.rnu.tn
University of Kairouan,Kairouan,http://www.univ-k.rnu.tn
University of Monastir,Monastir,http://www.um.rnu.tn
University of Montplaisir Tunisia,Tunis,http://www.umt.ens.tn
University of Sfax,Sfax,https://univ-sfax.tn
University of Sousse,Sousse,Webpage-Not-Found
University of Tunis,Tunis,http://www.utunis.rnu.tn
University of Tunis El Manar,Tunis,http://www.utm.rnu.tn
Virtual University of Tunis,Tunis,http://www.uvt.rnu.tn
