institute,city,url
Institute of Telecommunications and Informatics of Turkmenistan,Ašghabad,https://itit.edu.tm
International University for the Humanities and Development,Ašghabad,https://iuhd.edu.tm
Oguz Han Engineering and Technology University of Turkmenistan,Ašghabad,https://etut.edu.tm
State Energy Institute of Turkmenistan,Mary,http://www.tdei.edu.tm
Turkmen Agricultural Institute,Dashoguz,https://tohi.edu.tm
Turkmen Agricultural University named after Niyazov,Ašghabad,https://tohu.edu.tm
Turkmen State Institute of Architecture and Construction,Ašghabad,https://tdbgi.edu.tm
Turkmen State Institute of Economics and Management,Ašghabad,https://tsiem.edu.tm
Turkmen State University named after Magtymguly,Ašghabad,https://tdu.edu.tm
Yagshygeldi Kakayev International University of Oil and Gas,Ašghabad,https://iogu.edu.tm
Dovletmammet Azadi Turkmen National Institute of World Languages,Ašghabad,Webpage-Not-Found
Institute of International Relations of the Ministry of Foreign Affairs of Turkmenistan,Ašghabad,https://www.iirmfa.edu.tm
Myrat Garryyev State Medical University of Turkmenistan,Ašghabad,Webpage-Not-Found
Turkmen National Conservatory named after Maya Kuliyeva,Ašghabad,Webpage-Not-Found
Turkmen State Academy of Fine Arts,Ašghabad,Webpage-Not-Found
Turkmen State Institute of Culture,Ašghabad,Webpage-Not-Found
Turkmen State Institute of Finance,Ašghabad,http://tdmai.edu.tm
Turkmen State Institute of Physical Education and Sports,Ašghabad,Webpage-Not-Found
Turkmen State Pedagogical Institute named after S.Seydi,Turkmenabat,Webpage-Not-Found
