institute,city,url
Cyprus Health and Social Sciences University,Mersin,https://kstu.edu.tr
Cyprus International University,Nicosia,https://www.ciu.edu.tr
Dokuz Eylül University,Izmir,https://www.deu.edu.tr
Eastern Mediterranean University,Mersin,https://www.emu.edu.tr
European University of Lefke,Lefke,https://www.eul.edu.tr/en
Girne American University,Girne,https://www.gau.edu.tr
Istanbul Gelişim University,Istanbul,https://gelisim.edu.tr
İstanbul Okan University,Istanbul,https://www.okan.edu.tr
Istinye University,Sariyer,https://www.istinye.edu.tr/en/node/2329
Izmir University of Economics,Izmir,https://www.ieu.edu.tr
Near East University,Lefkoşa,https://www.neu.edu.tr
Pamukkale University,Denizli,https://www.pau.edu.tr
Süleyman Demirel University,Isparta,https://www.sdu.edu.tr
University of Kyrenia,Girne,https://www.kyrenia.edu.tr
Yeditepe University,Istanbul,https://www.yeditepe.edu.tr
Abdullah Gül University,Kayseri,http://www.agu.edu.tr
Acibadem Mehmet Ali Aydinlar University,Istanbul,https://www.acibadem.edu.tr
Adana Alparslan Türkeş Science and Technology University,Adana,https://www.atu.edu.tr
Adiyaman University,Adıyaman,https://adiyaman.edu.tr
Afyon Kocatepe University,Afyonkarahisar,https://aku.edu.tr
Ağri Ìbrahim Çeçen University,Agri,https://www.agri.edu.tr
Akdeniz University,Antalya,https://www.akdeniz.edu.tr
Aksaray University,Aksaray,https://www.aksaray.edu.tr
Alanya University,Antalya,https://www.alanyahep.edu.tr
Alanya Alaaddin Keykubat University,Alanya,https://www.alanya.edu.tr
Altinbas University,Bağcılar,http://www.altinbas.edu.tr
Amasya University,Amasya,https://www.amasya.edu.tr
American University of Cyprus,Mersin,https://auc.edu.tr
Anadolu University,Eskişehir,https://www.anadolu.edu.tr
Ankara University,Ankara,https://www.ankara.edu.tr
Ankara University of Music and Fine Arts,Oran-Çankaya,https://www.mgu.edu.tr
Ankara Yildirim Beyazit University,Ankara,https://aybu.edu.tr
Antalya Belek University,Serik,https://www.belek.edu.tr
Antalya Science University,Döşemealtı,https://www.antalya.edu.tr
Ardahan University,Ardahan,https://www.ardahan.edu.tr
Artvin Çoruh University,Artvin,https://www.artvin.edu.tr
Atatürk University,Erzurum,https://atauni.edu.tr
Atilim University,Ankara,https://www.atilim.edu.tr
Aydın Adnan Menderes University,Aydin,https://www.adu.edu.tr
Bahçesehir University,Beşiktaş,https://bau.edu.tr
Balikesir University,Balikesir,https://www.balikesir.edu.tr
Bandırma Onyedi Eylül University,Balikesir,https://www.bandirma.edu.tr
Bartin University,Bartin,https://en.bartin.edu.tr
Başkent University,Ankara,https://www.baskent.edu.tr
Batman University,Batman,https://batman.edu.tr
Bayburt University,Bayburt,https://www.bayburt.edu.tr
Beykoz University,Beykoz,https://www.beykoz.edu.tr
Bezmiâlem Vakif University,Istanbul,https://bezmialem.edu.tr
Bilecik Şeyh Edebali University,Bilecik,https://www.bilecik.edu.tr
Bilkent University,Ankara,https://w3.bilkent.edu.tr
Bingöl University,Bingöl,https://www.bilecik.edu.tr
Biruni University,Topkapı,https://www.biruni.edu.tr
Bitlis Eren University,Bitlis,http://www.bitliseren.edu.tr
Boğaziçi University,Istanbul,https://www.boun.edu.tr
Bolu Abant Izzet Baysal University,Bolu,http://www.ibu.edu.tr
Burdur Mehmet Akif Ersoy University,Burdur,https://www.mehmetakif.edu.tr
Bursa Technical University,Bursa,https://btu.edu.tr
Bursa Uludağ University,Bursa,http://www.uludag.edu.tr
Çağ University,Yenice,https://www.cag.edu.tr
Çanakkale Onsekiz Mart University,Çanakkale,https://www.comu.edu.tr
Çankaya University,Ankara,http://www.cankaya.edu.tr
Çankiri Karatekin University,Çankiri,http://karatekin.edu.tr
Cappadocia University,Ürgüp,https://www.kapadokya.edu.tr
Çukurova University,Balcali,https://www.cu.edu.tr
Cyprus Science University,Girne Kuzey,https://www.csu.edu.tr
Demiroğlu Belim University,Istanbul,https://demiroglu.bilim.edu.tr/
Dicle University,Diyarbakir,http://www.dicle.edu.tr
Dogus University,Istanbul,https://www.dogus.edu.tr
Düzce University,Düzce,https://duzce.edu.tr
Ege University,Izmir,https://ege.edu.tr
Erciyes University,Kayseri,https://www.erciyes.edu.tr
Erzincan Binali Yildirim University,Erzincan,https://ebyu.edu.tr
