institute,city,url
Alabama Agricultural and Mechanical University,Normal,https://www.aamu.edu
Alabama College of Osteopathic Medicine,Dothan,https://www.acom.edu
Alabama State University,Montgomery,https://www.alasu.edu
Amridge University,Montgomery,https://www.amridgeuniversity.edu
Athens State University,Athens,https://www.athens.edu
Auburn University,Auburn,https://www.auburn.edu
Auburn University at Montgomery,Montgomery,https://www.aum.edu
Birmingham-Southern College,Birmingham,https://www.bsc.edu
Bottega University,Salt Lake City,https://bottega.edu
"Columbia College
Columbia College - Redstone Arsenal",Redstone Arsenal,https://www.ccis.edu/locations/redstone-arsenal.aspx
Columbia Southern University,Orange Beach,https://www.columbiasouthern.edu
Faulkner University,Montgomery,https://www.faulkner.edu
Herzing University-Birmingham,Birmingham,https://www.herzing.edu/birmingham
Huntingdon College,Montgomery,https://www.huntingdon.edu
Jacksonville State University,Jacksonville,https://www.jsu.edu
Miles College,Fairfield,https://www.miles.edu
Oakwood University,Huntsville,https://oakwood.edu
Samford University,Birmingham,https://www.samford.edu
South University - Montgomery,Montgomery,https://www.southuniversity.edu/montgomery
Spring Hill College,Mobile,https://www.shc.edu
Stillman College,Tuscaloosa,https://stillman.edu
"Strayer University
Strayer University-Alabama",Birmingham,https://www.strayer.edu/campus-locations/alabama/birmingham
Talladega College,Talladega,https://www.talladega.edu
Troy University,Troy,https://www.troy.edu
"Troy University
Troy University-Dothan Campus",Dothan,https://www.troy.edu/about-us/dothan-campus/index.html
"Troy University
Troy University-Montgomery Campus",Montgomery,https://www.troy.edu/about-us/montgomery-campus/index.html
"Troy University
Troy University-Phenix City Campus",Phenix City,https://www.troy.edu/academics/academic-programs/phenix-city-programs.php
Tuskegee University,Tuskegee,https://www.tuskegee.edu
United States Sports Academy,Daphne,https://ussa.edu
University of Alabama,Tuscaloosa,https://www.ua.edu
University of Alabama at Birmingham,Birmingham,https://www.uab.edu
University of Alabama in Huntsville,Huntsville,https://www.uah.edu
University of Mobile,Mobile,https://umobile.edu
University of Montevallo,Montevallo,https://www.montevallo.edu
University of North Alabama,Florence,https://www.una.edu
University of South Alabama,Mobile,https://www.southalabama.edu
University of West Alabama,Livingston,https://www.uwa.edu
