institute,city,url
Arizona Christian University,Glendale,https://www.arizonachristian.edu
Arizona College of Nursing-Tempe,Tempe,https://www.arizonacollege.edu
Arizona College of Nursing-Tuscon,Tucson,https://www.arizonacollege.edu
Arizona School of Acupuncture and Oriental Medicine,Tucson,https://www.asaom.edu
Arizona State University,Tempe,https://www.asu.edu
"Arizona State University
Arizona State University - Lake Havasu",Lake Havasu City,https://havasu.asu.edu
"Arizona State University
Arizona State University Digital Immersion",Scottsdale,https://asuonline.asu.edu
"Arizona State University
Arizona State University-Downtown Phoenix",Phoenix,https://www.asu.edu/academics/colleges-schools/downtown
"Arizona State University
Arizona State University-Polytechnic",Mesa,https://poly.engineering.asu.edu
"Arizona State University
Arizona State University-West",Glendale,https://campus.asu.edu/west
Aspen University,Phoenix,https://www.aspen.edu
Brookline College,Phoenix,https://www.brooklinecollege.edu
Bryan University,Tempe,https://bryanuniversity.edu
"Chamberlain University-Illinois
Chamberlain University",Phoenix,https://www.chamberlain.edu
DeVry University Arizona,Phoenix,https://www.devry.edu/about/campus-locations/arizona/phoenix.html
Diné College,Tsaille,https://www.dinecollege.edu
Dunlap-Stone University,Peoria,https://www.dunlap-stone.edu
Embry-Riddle Aeronautical University - Prescott,Prescott,https://prescott.erau.edu
Grand Canyon University,Phoenix,https://www.gcu.edu
Harrison Middleton University,Tempe,https://www.hmu.edu
"Mayo Medical School
Mayo Clinic College of Medicine and Science - Arizona",Scottsdale,https://college.mayo.edu
"Midwestern University
Midwestern University-Glendale",Glendale,https://www.midwestern.edu
National Paralegal College,Phoenix,https://nationalparalegal.edu
Northern Arizona University,Flagstaff,https://nau.edu
Ottawa University-Surprise,Surprise,https://www.ottawa.edu/ouaz
Penn Foster College,Scottsdale,https://www.pennfoster.edu
Phoenix Institute of Herbal Medicine and Acupuncture,Phoenix,https://pihma.edu
Pima Medical Institute,Tucson,https://pmi.edu
Prescott College,Prescott,https://www.prescott.edu
Sonoran University of Health Sciences,Tempe,https://www.sonoran.edu
The School of Architecture,Paradise Valley,https://tsoa.edu
The University of Arizona,Tucson,https://www.arizona.edu
Trident University International,Chandler,https://www.trident.edu
University of Advancing Technology,Tempe,https://www.uat.edu
University of Phoenix - Arizona,Phoenix,https://www.phoenix.edu
"Arizona State University
Arizona State University - Washington, D.C.",Washington,https://washingtondc.asu.edu
"University of Phoenix - Arizona
University of Phoenix-Hawaii",Kapolei,https://www.phoenix.edu
