institute,city,url
Arkansas Baptist College,Little Rock,https://www.arkansasbaptist.edu
Arkansas Colleges of Health Education,Fort Smith,https://achehealth.edu
Arkansas State University,Jonesboro,https://www.astate.edu
Arkansas Tech University,Russellville,https://www.atu.edu
Central Baptist College,Conway,https://www.cbc.edu
Champion Christian College,Hot Springs,https://www.champion.edu
Crowley's Ridge College,Paragould,https://crc.edu
Ecclesia College,Springdale,https://ecollege.edu
Harding University,Searcy,https://www.harding.edu
Henderson State University,Arkadelphia,https://www.hsu.edu
Hendrix College,Conway,https://www.hendrix.edu
John Brown University,Siloam Springs,https://www.jbu.edu
Lyon College,Batesville,https://www.lyon.edu
Ouachita Baptist University,Arkadelphia,https://obu.edu
Philander Smith University,Little Rock,https://www.philander.edu
Southern Arkansas University,Magnolia,https://web.saumag.edu
Strayer University-Arkansas,Little Rock,https://www.strayer.edu/campus-locations/arkansas/little-rock
University of Arkansas,Fayetteville,https://www.uark.edu
University of Arkansas at Little Rock,Little Rock,https://ualr.edu/www
University of Arkansas at Monticello,Monticello,https://www.uamont.edu
University of Arkansas at Pine Bluff,Pine Bluff,https://www.uapb.edu
University of Arkansas for Medical Sciences,Little Rock,https://www.uams.edu
University of Arkansas Grantham,Little Rock,https://www.uagrantham.edu
University of Arkansas-Fort Smith,Fort Smith,https://uafs.edu
University of Central Arkansas,Conway,https://uca.edu
University of the Ozarks,Clarksville,https://ozarks.edu
Williams Baptist University,Walnut Ridge,https://williamsbu.edu
