institute,city,url
The Chicago School of Professional Psychology at Los Angeles,Los Angeles,https://www.thechicagoschool.edu/los-angeles
Academy of Art University,San Francisco,http://www.academyart.edu
Academy of Chinese Culture and Health Sciences,Oakland,http://www.acchs.edu
"Acupuncture and Integrative Medicine College, Berkeley",Berkeley,http://aimc.edu
Alliant International University San Diego,San Diego,http://www.alliant.edu/locations/san-diego-campus/index.php
"Alliant International University San Diego
Alliant International University - Fresno",Fresno,http://www.alliant.edu/locations/fresno-campus
"Alliant International University San Diego
Alliant International University - Irvine",Irvine,https://www.alliant.edu/locations/irvine-campus/
"Alliant International University San Diego
Alliant International University - Los Angeles",Alhambra,https://www.alliant.edu/locations/los-angeles-campus/
"Alliant International University San Diego
Alliant International University - Sacramento",Sacramento,https://www.alliant.edu/locations/sacramento-campus/
"Alliant International University San Diego
Alliant International University - San Francisco",San Francisco,https://www.alliant.edu/locations/san-francisco-campus-beachst
American Jewish University,Bel Air,http://www.ajula.edu/
American University of Health Sciences,Signal Hill,http://www.auhs.edu/
Antelope Valley Community College District,Lancaster,https://www.avc.edu
Antioch University Los Angeles,Culver City,http://www.antiochla.edu/
Antioch University Santa Barbara,Santa Barbara,http://www.antiochsb.edu/
Art Center College of Design,Pasadena,http://www.artcenter.edu
Azusa Pacific University,Azusa,http://www.apu.edu
Bakersfield College,Bakersfield,https://www.bakersfieldcollege.edu
Bethesda University,Anaheim,http://www.buc.edu
Biola University,La Mirada,http://www.biola.edu
California Baptist University,Riverside,http://www.calbaptist.edu
California Coast University,Santa Ana,http://www.calcoast.edu
California College of the Arts,San Francisco,http://www.cca.edu
California Institute of Integral Studies,San Francisco,http://www.ciis.edu
California Institute of Technology,Pasadena,https://www.caltech.edu
California Institute of the Arts,Valencia,http://www.calarts.edu
California Intercontinental University,Irvine,https://www.caluniversity.edu
California Lutheran University,Thousand Oaks,http://www.callutheran.edu
California Miramar University,San Diego,http://www.calmu.edu/
California Polytechnic State University-San Luis Obispo,San Luis Obispo,http://www.calpoly.edu
California State Polytechnic University-Humboldt,Arcata,http://www.humboldt.edu
California State Polytechnic University-Pomona,Pomona,https://www.cpp.edu
California State University,Long Beach,http://www.calstate.edu
California State University Maritime Academy,Vallejo,http://www.csum.edu
California State University-Bakersfield,Bakersfield,https://www.csub.edu
California State University-Channel Islands,Camarillo,https://www.csuci.edu
California State University-Chico,Chico,https://www.csuchico.edu
California State University-Dominguez Hills,Carson,https://www.csudh.edu
California State University-East Bay,Hayward,https://www.csueastbay.edu
California State University-Fresno,Fresno,https://www.csufresno.edu
California State University-Fullerton,Fullerton,https://www.fullerton.edu
California State University-Long Beach,Long Beach,https://www.csulb.edu
California State University-Los Angeles,Los Angeles,http://www.calstatela.edu
California State University-Monterey Bay,Seaside,https://csumb.edu
California State University-Northridge,Northridge,https://www.csun.edu
California State University-Sacramento,Sacramento,https://www.csus.edu
California State University-San Bernardino,San Bernardino,https://www.csusb.edu
California State University-San Marcos,San Marcos,https://www.csusm.edu
California State University-Stanislaus,Turlock,https://www.csustan.edu
California Western School of Law,San Diego,http://www.cwsl.edu
Chapman University,Orange,http://www.chapman.edu
Charles R. Drew University of Medicine and Science,Los Angeles,http://www.cdrewu.edu
City of Hope Graduate School of Biological Sciences,Duarte,http://www.cityofhope.org/grad-school
Claremont Graduate University,Claremont,http://www.cgu.edu
Claremont McKenna College,Claremont,http://www.claremontmckenna.edu
Columbia College Hollywood,Tarzana,http://www.columbiacollege.edu
Concordia University Irvine,Irvine,http://www.cui.edu
Design Institute of San Diego,San Diego,http://www.disd.edu
DeVry University Irvine,Irvine,http://www.devry.edu
Dominican School of Philosophy and Theology,Berkeley,http://www.dspt.edu
Dominican University of California,San Rafael,http://www.dominican.edu
Dongguk University Los Angeles,Los Angeles,http://dula.edu/
Emperor's College of Traditional Oriental Medicine,Santa Monica,http://www.emperors.edu
Fashion Institute of Design and Merchandising,Los Angeles,http://fidm.edu
Fielding Graduate University,Santa Barbara,http://www.fielding.edu
"Five Branches University, Graduate School of Traditional Chinese Medicine",Santa Cruz,http://www.fivebranches.edu
Foothill College,Los Altos Hills,https://foothill.edu
Fresno Pacific University,Fresno,http://www.fresno.edu
Fuller Theological Seminary,Pasadena,https://www.fuller.edu
Golden Gate University,San Francisco,https://www.ggu.edu
Harvey Mudd College,Claremont,http://www.hmc.edu
Hope International University,Fullerton,http://www.hiu.edu
Humphreys College,Stockton,http://www.humphreys.edu
Interior Designers Institute,Newport Beach,http://www.idi.edu
International American University,Los Angeles,https://iaula.edu
International Technological University,San Jose,http://www.itu.edu
Keck Graduate Institute of Applied Life Sciences,Claremont,http://www.kgi.edu/
La Sierra University,Riverside,http://www.lasierra.edu
Laguna College of Art and Design,Laguna Beach,http://www.lcad.edu
Life Chiropractic College West,Hayward,http://www.lifewest.edu
Lincoln University,Oakland,http://www.lincolnuca.edu
Loma Linda University,Loma Linda,http://www.llu.edu
Loyola Marymount University,Los Angeles,http://www.lmu.edu
Marshall B. Ketchum University,Fullerton,http://www.ketchum.edu
Menlo College,Atherton,http://www.menlo.edu/
Middlebury Institute of International Studies at Monterey,Monterey,https://www.middlebury.edu/institute
MiraCosta College,Oceanside,https://www.miracosta.edu
Modesto Junior College,Modesto,https://www.mjc.edu
Mount Saint Mary's College,Los Angeles,http://www.msmc.la.edu
Musicians Institute,Hollywood,http://www.mi.edu
National University,La Jolla,https://www.nu.edu
Naval Postgraduate School,Monterey,http://www.nps.edu
NewSchool of Architecture and Design,San Diego,https://www.newschoolarch.edu
Northwestern Polytechnic University,Freemont,http://www.npu.edu
Notre Dame de Namur University,Belmont,http://www.ndnu.edu
Occidental College,Los Angeles,http://www.oxy.edu
Otis College of Art and Design,Los Angeles,http://www.otis.edu
Pacific College of Oriental Medicine,San Diego,http://www.pacificcollege.edu
Pacific Oaks College,Pasadena,http://www.pacificoaks.edu
Pacific States University,Los Angeles,http://www.psuca.edu
Pacific Union College,Angwin,http://www.puc.edu
Pacifica Graduate Institute,Carpinteria,http://pacifica.edu
Palo Alto University,Palo Alto,http://www.paloaltou.edu
Pardee Rand Graduate School,Santa Monica,http://www.prgs.edu
Patten University,Oakland,http://www.patten.edu
Pepperdine University,Malibu,http://www.pepperdine.edu
Pitzer College,Claremont,http://www.pitzer.edu
Platt College,Alhambra,http://plattcollege.edu
Platt College San Diego,San Diego,http://www.platt.edu/
Point Loma Nazarene University,San Diego,http://www.pointloma.edu
Pomona College,Claremont,http://www.pomona.edu
Saint Mary's College of California,Moraga,http://www.stmarys-ca.edu
Samuel Merritt College,Oakland,http://www.samuelmerritt.edu
San Diego Christian College,El Cajon,http://www.sdcc.edu/
San Diego Mesa College,San Diego,https://www.sdmesa.edu
San Diego State University,San Diego,http://www.sdsu.edu
"San Diego State University
San Diego State University-Imperial Valley Campus",Calexico,https://imperialvalley.sdsu.edu
San Francisco Conservatory of Music,San Francisco,http://www.sfcm.edu
San Francisco State University,San Francisco,https://www.sfsu.edu
San Joaquin College of Law,Clovis,http://www.sjcl.edu
San Jose State University,San Jose,https://www.sjsu.edu
Santa Ana College,Santa Ana,https://www.sac.edu
Santa Clara University,Santa Clara,http://www.scu.edu
Santa Monica College,Santa Monica,https://www.smc.edu
Saybrook University,San Francisco,http://www.saybrook.edu
Scripps College,Claremont,http://www.scrippscollege.edu/
