institute,city,url
Adams State University,Alamosa,https://www.adams.edu
Arapahoe Community College,Littleton,https://www.arapahoe.edu
Aspen University,Phoenix,https://www.aspen.edu
College for Financial Planning,Centennial,https://www.cffp.edu
Colorado Christian University,Lakewood,https://www.ccu.edu
Colorado College,Colorado Springs,https://www.coloradocollege.edu
Colorado Mesa University,Grand Junction,https://www.coloradomesa.edu
Colorado Mountain College,Glenwood Springs,https://coloradomtn.edu
Colorado School of Mines,Golden,https://www.mines.edu
Colorado School of Traditional Chinese Medicine,Denver,https://www.cstcm.edu
Colorado State University,Fort Collins,https://www.colostate.edu
Colorado State University - Global Campus,Aurora,https://csuglobal.edu
Colorado State University - Pueblo,Pueblo,https://www.csupueblo.edu
Colorado Technical University,Colorado Springs,https://www.coloradotech.edu
"Columbia College
Columbia College - Denver",Aurora,https://www.ccis.edu/locations/denver.aspx
Community College of Denver,Denver,https://www.ccd.edu
Denver College of Nursing,Denver,https://www.denvercollegeofnursing.edu
Fort Lewis College,Durango,https://www.fortlewis.edu
Front Range Community College,Westminster,https://www.frontrange.edu
Institute of Taoist Education and Acupuncture,Louisville,https://www.itea.edu
Metropolitan State University of Denver,Denver,https://www.msudenver.edu
Morgan Community College,Fort Morgan,https://www.morgancc.edu
Naropa University,Boulder,https://www.naropa.edu
Pikes Peak Community College,Colorado Springs,https://www.pikespeak.edu
Platt College,Greenwood Village,https://www.plattcolorado.edu
Pueblo Community College,Pueblo,https://pueblocc.edu
Red Rocks Community College,Lakewood,https://www.rrcc.edu
Regis University,Denver,https://www.regis.edu
"Relay Graduate School of Education
Relay Graduate School of Education - Denver",Denver,https://www.relay.edu/location/colorado
Rocky Mountain College of Art + Design,Denver,https://www.rmcad.edu
Rocky Vista University,Parker,https://www.rvu.edu
Trinidad State College,Trinidad,https://www.trinidadstate.edu
United States Air Force Academy,USAF Academy,https://www.usafa.edu
University of Colorado - Boulder,Boulder,https://www.colorado.edu
University of Colorado - Colorado Springs,Colorado Springs,https://www.uccs.edu
University of Colorado - Denver/Anschutz Medical Campus,Denver,https://www.ucdenver.edu
University of Denver,Denver,https://www.du.edu
University of Northern Colorado,Greeley,https://www.unco.edu
Western Colorado University,Gunnison,https://western.edu
William Howard Taft University,Lakewood,https://www.taft.edu
"Rocky Vista University
Rocky Vista University-Southern Utah",Ivins,https://www.rvu.edu/ut
