institute,city,url
Albertus Magnus College,New Haven,https://www.albertus.edu
Central Connecticut State University,New Britain,https://www.ccsu.edu
Charter Oak State College,New Britain,https://www.charteroak.edu
Connecticut College,New London,https://www.conncoll.edu
Eastern Connecticut State University,Willimantic,https://www.easternct.edu
Fairfield University,Fairfield,https://www.fairfield.edu
Goodwin University,East Hartford,https://www.goodwin.edu
Hartford International University,Hartford,https://www.hartfordinternational.edu
Holy Apostles College and Seminary,Cromwell,https://holyapostles.edu
Mitchell College,New London,https://mitchell.edu
Paier College,Bridgeport,https://www.paier.edu
Post University,Waterbury,https://post.edu
Quinnipiac University,Hamden,https://www.qu.edu
"Relay Graduate School of Education
Relay Graduate School of Education - Connecticut",New Haven,https://www.relay.edu/location/connecticut
"Rensselaer Polytechnic Institute
Rensselaer at Work",Hartford,https://ewp.rpi.edu
Sacred Heart University,Fairfield,https://www.sacredheart.edu
Southern Connecticut State University,New Haven,https://www.southernct.edu
The University of Connecticut,Storrs,https://uconn.edu
"The University of Connecticut
The University of Connecticut Health Center",Farmington,https://health.uconn.edu
"The University of Connecticut
University of Connecticut School of Law",Hartford,https://law.uconn.edu
Trinity College,Hartford,https://www.trincoll.edu
United States Coast Guard Academy,New London,https://uscga.edu
University of Bridgeport,Bridgeport,https://www.bridgeport.edu
University of Hartford,West Hartford,https://www.hartford.edu
University of New Haven,West Haven,https://www.newhaven.edu
University of Saint Joseph,West Hartford,https://www.usj.edu
Wesleyan University,Middletown,https://www.wesleyan.edu
Western Connecticut State University,Danbury,https://www.wcsu.edu
Yale University,New Haven,https://www.yale.edu
