institute,city,url
Delaware State University,Dover,https://www.desu.edu
Delaware Technical Community College,Dover,https://www.dtcc.edu
"Delaware Technical Community College
Delaware Technical Community College-Jack F. Owens Campus",Georgetown,https://www.dtcc.edu/our-campuses/georgetown
"Delaware Technical Community College
Delaware Technical Community College-Orlando J. George, Jr. Campus",Wilmington,https://www.dtcc.edu/our-campuses/wilmington
"Delaware Technical Community College
Delaware Technical Community College-Stanton",Newark,https://www.dtcc.edu/our-campuses/stanton
Goldey-Beacom College,Wilmington,https://catalog.gbc.edu
"Relay Graduate School of Education
Relay GSE - Delaware",Wilmington,https://www.relay.edu/location/delaware
"Strayer University
Strayer University - Delaware",Wilmington,https://www.strayer.edu/campus-locations/delaware/wilmington
University of Delaware,Newark,https://www.udel.edu
Wilmington University,New Castle,https://www.wilmu.edu
