institute,city,url
"Strayer University
Strayer University-Alabama",Birmingham,https://www.strayer.edu/campus-locations/alabama/birmingham
"Strayer University
Strayer University - Delaware",Wilmington,https://www.strayer.edu/campus-locations/delaware/wilmington
American University,Washington,https://www.american.edu
"Arizona State University
Arizona State University - Washington, D.C.",Washington,https://washingtondc.asu.edu
Gallaudet University,Washington,https://gallaudet.edu
Georgetown University,Washington,https://www.georgetown.edu
Howard University,Washington,https://howard.edu
Institute of World Politics,Washington,https://www.iwp.edu
Moreland University,Washington,https://moreland.edu
Quantic School of Business and Technology,Washington,https://quantic.edu
"Relay Graduate School of Education
Relay Graduate School of Education - Washington, D.C.",Washington,https://www.relay.edu/location/washington-dc
Strayer University,Washington,https://www.strayer.edu/campus-locations/district-columbia/washington
The Catholic University of America,Washington,https://www.catholic.edu
"The Chicago School of Professional Psychology at Los Angeles
The Chicago School of Professional Psychology at Washington DC",Washington,https://www.thechicagoschool.edu/washington-dc
The George Washington University,Washington,https://www.gwu.edu
Trinity Washington University,Washington,https://discover.trinitydc.edu
"University of Business, Innovation and Sustainability",Washington,https://ubisglobal.com
University of the District of Columbia,Washington,https://www.udc.edu
University of the Potomac,Washington,https://potomac.edu
"Strayer University
Strayer University-North Carolina",Greensboro,https://www.strayer.edu/campus-locations/north-carolina/greensboro
"Strayer University
Strayer University-North Charlotte",Concord,https://www.strayer.edu/campus-locations/north-carolina/north-charlotte
"Strayer University
Strayer University-North Raleigh Campus",Raleigh,https://www.strayer.edu/campus-locations/north-carolina/north-raleigh
"Strayer University
Strayer University-South Charlotte",Charlotte,https://www.strayer.edu/campus-locations/north-carolina/south-charlotte
"Strayer University
Strayer University-South Raleigh Campus",Raleigh,https://www.strayer.edu/campus-locations/north-carolina/south-raleigh
"Strayer University
Strayer University-South Raleigh Campus",Raleigh,https://www.strayer.edu/campus-locations/north-carolina/south-raleigh
"Strayer University
Strayer University-Allentown Campus",Allentown,https://www.strayer.edu/campus-locations/pennsylvania/allentown
"Strayer University
Strayer University-Center City Campus",Philadelphia,https://www.strayer.edu/campus-locations/pennsylvania/center-city
"Strayer University
Strayer University-Lower Bucks County Campus",Feasterville-Trevose,https://www.strayer.edu/campus-locations/pennsylvania/lower-bucks-county
