institute,city,url
Academy for Five Element Acupuncture,Gainesville,https://acupuncturist.edu
Acupuncture and Massage College,Miami,https://www.amcollege.edu
AdventHealth University,Orlando,https://www.ahu.edu
American Medical Academy,Miami,https://ama.edu
Ana G. Mendez University,Orlando,https://www.agmu.edu
Antigua College International,Miami Lakes,https://antigua.edu
Atlantic Institute of Oriental Medicine,Fort Lauderdale,https://www.atom.edu
Atlantis University,Miami,https://atlantisuniversity.edu
Ave Maria School of Law,Naples,https://www.avemarialaw.edu
Ave Maria University,Ave Maria,https://www.avemaria.edu
Barry University,Miami Shores,https://www.barry.edu
"Barry University
Barry University Dwayne O. Andreas School of Law",Orlando,https://www.barry.edu/en/academics/law
Beacon College,Leesburg,https://www.beaconcollege.edu
Bethune-Cookman University,Daytona Beach,https://www.cookman.edu
Broward College,Fort Lauderdale,https://www.broward.edu
"Carlos Albizu University - San Juan
Albizu University - Miami",Doral,https://www.albizu.edu/miami
Chipola College,Marianna,https://www.chipola.edu
College of Central Florida,Ocala,https://www.cf.edu
"Columbia College
Columbia College - Jacksonville",Jacksonville,https://www.ccis.edu/locations/jacksonville.aspx
"Columbia College
Columbia College - NAS Jacksonville",Jacksonville,https://www.ccis.edu/locations/nas-jacksonville.aspx
"Columbia College
Columbia College - Orlando",Orlando,https://www.ccis.edu/locations/orlando.aspx
Daytona College,Ormond Beach,https://daytonacollege.edu
Daytona State College,Daytona Beach,https://www.daytonastate.edu
DeVry University - Orlando,Orlando,https://www.devry.edu/about/campus-locations/florida/orlando.html
Dragon Rises School of Oriental Medicine,Gainesville,https://dragonrises.edu
East West College of Natural Medicine,Sarasota,https://www.ewcollege.edu
Eastern Florida State College,Cocoa,https://www.easternflorida.edu
Eckerd College,Saint Petersburg,https://www.eckerd.edu
"ECPI University
ECPI University - Orlando",Orlando (Lake Mary),https://www.ecpi.edu/locations/orlando-lake-mary-fl
Edward Waters University,Jacksonville,https://www.ew.edu
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,https://daytonabeach.erau.edu
Embry-Riddle Aeronautical University - Worldwide,Daytona Beach,https://worldwide.erau.edu
Everglades University,Boca Raton,https://www.evergladesuniversity.edu
"Everglades University
Everglades University - Orlando",Maitland,https://www.evergladesuniversity.edu/locations/contact-orlando
"Everglades University
Everglades University - Sarasota",Sarasota,https://www.evergladesuniversity.edu/locations/contact-sarasota
"Everglades University
Everglades University - Tampa",Tampa,https://www.evergladesuniversity.edu/locations/contact-tampa
