institute,city,url
Brigham Young University-Hawaii,Laie,https://www.byuh.edu
Chaminade University of Honolulu,Honolulu,https://chaminade.edu
"Columbia College
Columbia College - USCG Base Honolulu",Aiea,https://www.ccis.edu/locations/honolulu.aspx
Hawaii Pacific University,Honolulu,https://www.hpu.edu
Institute of Clinical Acupuncture and Oriental Medicine,Honolulu,http://www.orientalmedicine.edu
Pacific Rim Christian University,Honolulu,https://www.pacrim.edu
University of Hawaii at Hilo,Hilo,https://hilo.hawaii.edu
University of Hawaii at Mänoa,Honolulu,https://manoa.hawaii.edu
University of Hawaii-West Oahu,Kapolei,https://westoahu.hawaii.edu
University of Hawaiʻi Maui College,Kahului,https://maui.hawaii.edu
"University of Phoenix - Arizona
University of Phoenix-Hawaii",Kapolei,https://www.phoenix.edu
