institute,city,url
Boise State University,Boise,https://www.boisestate.edu
Brigham Young University - Idaho,Rexburg,https://www.byui.edu
College of Southern Idaho,Twin Falls,https://www.csi.edu
Eagle Gate College-Boise Campus,Boise,https://www.eaglegatecollege.edu/locations/boise
Idaho State University,Pocatello,https://www.isu.edu
Lewis-Clark State College,Lewiston,https://www.lcsc.edu
New Saint Andrews College,Moscow,https://nsa.edu
Northwest Nazarene University,Nampa,https://www.nnu.edu
The College of Idaho,Caldwell,https://www.collegeofidaho.edu
University of Idaho,Moscow,https://www.uidaho.edu
