institute,city,url
"Chamberlain University-Illinois
Chamberlain University",Phoenix,https://www.chamberlain.edu
"Midwestern University
Midwestern University-Glendale",Glendale,https://www.midwestern.edu
"Chamberlain University-Illinois
Chamberlain University-Georgia",Sandy Springs,https://www.chamberlain.edu/nursing-school/georgia/atlanta
"DeVry University - Illinois
DeVry University - Georgia",Decatur,https://www.devry.edu/about/campus-locations/georgia/decatur.html
Adler University,Chicago,https://www.adler.edu
Ambria College of Nursing,Hoffman Estates,https://www.ambria.edu
American Academy of Art College,Chicago,https://www.aaart.edu
Augustana College,Rock Island,https://www.augustana.edu
Aurora University,Aurora,https://aurora.edu
Benedictine University,Lisle,https://ben.edu
Blackburn College,Carlinville,https://blackburn.edu
Blessing-Rieman College of Nursing and Health Sciences,Quincy,https://www.brcn.edu
Bradley University,Peoria,https://www.bradley.edu
Chamberlain University-Illinois,Addison,https://www.chamberlain.edu
Chicago State University,Chicago,https://www.csu.edu
"Columbia College
Columbia College - Crystal Lake Campus",Crystal Lake,https://www.ccis.edu/locations/crystal-lake.aspx
"Columbia College
Columbia College - Elgin",Elgin,https://www.ccis.edu/locations/elgin.aspx
"Columbia College
Columbia College - Freeport",Freeport,https://www.ccis.edu/locations/freeport.aspx
"Columbia College
Columbia College - Lake County",Gurnee,https://www.ccis.edu/locations/lake-county.aspx
Columbia College Chicago,Chicago,https://www.colum.edu
Concordia University Chicago,River Forest,https://www.cuchicago.edu
DePaul University,Chicago,https://www.depaul.edu
DeVry University - Illinois,Naperville,https://www.devry.edu
Dominican University,River Forest,https://www.dom.edu
East-West University,Chicago,https://www.eastwest.edu
Eastern Illinois University,Charleston,https://www.eiu.edu
Elmhurst University,Elmhurst,https://www.elmhurst.edu
Erikson Institute,Chicago,https://www.erikson.edu
Eureka College,Eureka,https://www.eureka.edu
Governors State University,University Park,https://www.govst.edu
Greenville University,Greenville,https://www.greenville.edu
Illinois College,Jacksonville,https://www.ic.edu
Illinois College of Optometry,Chicago,https://www.ico.edu
Illinois Institute of Technology,Chicago,https://www.iit.edu
Illinois State University,Normal,https://illinoisstate.edu
"Illinois State University
Mennonite College of Nursing",Normal,https://nursing.illinoisstate.edu
Illinois Wesleyan University,Bloomington,https://www.iwu.edu
Institute for Clinical Social Work,Chicago,https://www.icsw.edu
Judson University,Elgin,https://www.judsonu.edu
Knox College,Galesburg,https://www.knox.edu
Lake Forest College,Lake Forest,https://www.lakeforest.edu
Lake Forest Graduate School of Management,Lake Forest,https://lfgsm.edu
Lakeview College of Nursing,Danville,https://lakeviewcol.edu
Lewis University,Romeoville,https://www.lewisu.edu
Lincoln Christian University,Lincoln,https://lincolnchristian.edu
Loyola University Chicago,Chicago,https://www.luc.edu
McKendree University,Lebanon,https://www.mckendree.edu
Methodist College,Peoria,https://www.methodistcol.edu
"Midwest College of Oriental Medicine-Wisconsin
Midwest College of Oriental Medicine - Skokie",Skokie,https://acupuncture.edu
Midwestern University,Downers Grove,https://www.midwestern.edu
Millikin University,Decatur,https://millikin.edu
Monmouth College,Monmouth,https://www.monmouthcollege.edu
Moody Bible Institute,Chicago,https://www.moody.edu
National Louis University,Evanston,https://nl.edu
National University of Health Sciences,Lombard,https://www.nuhs.edu
North Central College,Naperville,https://www.northcentralcollege.edu
North Park University,Chicago,https://www.northpark.edu
Northeastern Illinois University,Chicago,https://www.neiu.edu
Northern Illinois University,DeKalb,https://www.niu.edu
Northwestern College,Oak Lawn,https://nc.edu
Northwestern University,Evanston,https://www.northwestern.edu
Oak Point University,Oak Brook,https://oakpoint.edu
Olivet Nazarene University,Bourbonnais,https://www.olivet.edu
"Pacific College of Health and Science
Pacific College of Health and Science-Chicago",Chicago,https://www.pacificcollege.edu
Principia College,Elsah,https://www.principiacollege.edu
Quincy University,Quincy,https://www.quincy.edu
Rasmussen University-Illinois,Rockford,https://www.rasmussen.edu
"Rasmussen University-Illinois
Rasmussen University-Aurora",Aurora,https://www.rasmussen.edu/locations/illinois/aurora-naperville/
"Rasmussen University-Illinois
Rasmussen University-Mokena/Tinley Park",Mokena,https://www.rasmussen.edu/locations/illinois/mokena-tinley-park/
"Rasmussen University-Illinois
Rasmussen University–Romeoville/Joliet",Romeoville,https://www.rasmussen.edu/locations/illinois/romeoville-joliet
"Relay Graduate School of Education
Relay Graduate School of Education",Illinois,https://www.relay.edu/location/illinois
Rockford University,Rockford,https://www.rockford.edu
Roosevelt University,Chicago,https://www.roosevelt.edu
Rosalind Franklin University of Medicine and Science,North Chicago,https://www.rosalindfranklin.edu
Rush University,Chicago,https://www.rushu.rush.edu
Saint Anthony College of Nursing,Rockford,https://www.osfhealthcare.org
Saint Francis Medical Center College of Nursing,Peoria,https://www.osfhealthcare.org/sfmccon
Saint Xavier University,Chicago,http://www.sxu.edu
School of the Art Institute of Chicago,Chicago,https://www.saic.edu
"Southern Illinois University, Carbondale",Carbondale,https://siu.edu
"Southern Illinois University, Edwardsville",Edwardsville,https://www.siue.edu
