institute,city,url
Indiana University-Purdue University Indianapolis,Indianapolis,https://www.iupui.edu
"University of Notre Dame
University of Notre Dame",Chicago,https://www.nd.edu
American College of Education,Indianapolis,https://www.ace.edu
Anderson University,Anderson,https://anderson.edu
Ball State University,Muncie,https://www.bsu.edu
Bethel University,Mishawaka,https://www.betheluniversity.edu
Butler University,Indianapolis,https://www.butler.edu
Calumet College of St. Joseph,Whiting,https://www.ccsj.edu
"Chamberlain University-Illinois
Chamberlain University-Indiana",Indianapolis,https://www.chamberlain.edu
DePauw University,Greencastle,https://www.depauw.edu
Earlham College,Richmond,https://earlham.edu
Franklin College,Franklin,https://franklincollege.edu
Goshen College,Goshen,https://www.goshen.edu
Grace College and Seminary,Winona Lake,https://www.grace.edu
Hanover College,Hanover,https://www.hanover.edu
Holy Cross College,Notre Dame,https://www.hcc-nd.edu
Huntington University,Huntington,https://www.huntington.edu
Indiana Institute of Technology,Fort Wayne,https://www.indianatech.edu
"Indiana Institute of Technology
Indiana Institute of Technology-College of Professional Studies",Fort Wayne,https://online.indianatech.edu
Indiana State University,Terre Haute,https://www.indstate.edu
Indiana University Bloomington,Bloomington,https://www.indiana.edu
Indiana University East,Richmond,https://www.iue.edu
Indiana University Kokomo,Kokomo,https://www.iuk.edu
Indiana University Northwest,Gary,https://www.iun.edu
Indiana University South Bend,South Bend,https://www.iusb.edu
Indiana University Southeast,New Albany,https://www.ius.edu
Indiana Wesleyan University,Marion,https://www.indwes.edu
"Indiana Wesleyan University
Indiana Wesleyan University-National & Global",Marion,https://www.indwes.edu
John Patrick University of Health and Applied Sciences,South Bend,https://jpu.edu
Manchester University,North Manchester,https://www.manchester.edu
Marian University,Indianapolis,https://www.marian.edu
Martin University,Indianapolis,https://www.martin.edu
Mid-America College of Funeral Service,Jeffersonville,https://www.mid-america.edu
Oakland City University,Oakland City,https://www.oak.edu
Purdue University,West Lafayette,https://www.purdue.edu
"Purdue University
Purdue Polytechnic Anderson",Anderson,https://polytechnic.purdue.edu/locations/anderson
"Purdue University
Purdue University - Purdue Polytechnic Columbus",Columbus,https://polytechnic.purdue.edu/locations/columbus
"Purdue University
Purdue University - Purdue Polytechnic Indianapolis",West Lafayette,https://polytechnic.purdue.edu/locations/indianapolis
"Purdue University
Purdue University - Purdue Polytechnic Kokomo",Kokomo,https://polytechnic.purdue.edu/locations/kokomo
"Purdue University
Purdue University - Purdue Polytechnic Lafayette",Lafayette,https://polytechnic.purdue.edu/locations/lafayette
"Purdue University
Purdue University - Purdue Polytechnic New Albany",New Albany,https://polytechnic.purdue.edu/locations/new-albany
"Purdue University
Purdue University - Purdue Polytechnic Richmond",Richmond,https://polytechnic.purdue.edu/locations/richmond
"Purdue University
Purdue University - Purdue Polytechnic South Bend",South Bend,https://polytechnic.purdue.edu/locations/south-bend
"Purdue University
Purdue University - Purdue Polytechnic Vincennes",Vincennes,https://polytechnic.purdue.edu/locations/vincennes
Purdue University Fort Wayne,Fort Wayne,https://www.pfw.edu
Purdue University Global,West Lafayette,https://www.purdueglobal.edu
Purdue University Northwest,Hammond,https://www.pnw.edu
"Relay Graduate School of Education
Relay Graduate School of Education - Indiana",Indianapolis,https://www.relay.edu/location/indiana
Rose-Hulman Institute of Technology,Terre Haute,https://www.rose-hulman.edu
Saint Mary-of-the-Woods College,Saint Mary-of-the-Woods,https://www.smwc.edu
St. Mary's College,Notre Dame,https://www.saintmarys.edu
Taylor University,Upland,https://www.taylor.edu
Trine University,Angola,https://www.trine.edu
"Trine University
Trine University-TrineOnline",Angola,https://trine.edu/online/index.aspx
Union Bible College,Westfield,https://www.ubca.org
University of Evansville,Evansville,https://www.evansville.edu
University of Indianapolis,Indianapolis,https://www.uindy.edu
University of Notre Dame,Notre Dame,https://www.nd.edu
University of Saint Francis,Fort Wayne,https://www.sf.edu
University of Southern Indiana,Evansville,https://www.usi.edu
Valparaiso University,Valparaiso,https://www.valpo.edu
Wabash College,Crawfordsville,https://www.wabash.edu
