institute,city,url
Allen College,Waterloo,https://www.allencollege.edu
Briar Cliff University,Sioux City,https://www.briarcliff.edu
Buena Vista University,Storm Lake,https://www.bvu.edu
Central College,Pella,https://central.edu
Clarke University,Dubuque,https://www.clarke.edu
Coe College,Cedar Rapids,https://www.coe.edu
Cornell College,Mount Vernon,https://www.cornellcollege.edu
Des Moines University-Osteopathic Medical Center,Des Moines,https://www.dmu.edu
Divine Word College,Epworth,https://www.dwci.edu
Dordt University,Sioux Center,https://www.dordt.edu
Drake University,Des Moines,https://www.drake.edu
Emmaus Bible College,Dubuque,https://www.emmaus.edu
Graceland University,Lamoni,https://www.graceland.edu
Grand View University,Des Moines,https://www.grandview.edu
Grinnell College,Grinnell,https://www.grinnell.edu
Iowa State University,Ames,https://www.iastate.edu
Iowa Wesleyan University,Mount Pleasant,https://www.iw.edu
Loras College,Dubuque,https://www.loras.edu
Luther College,Decorah,https://www.luther.edu
Maharishi International University,Fairfield,https://www.miu.edu
Mercy College of Health Sciences,Des Moines,https://www.mchs.edu
Morningside University,Sioux City,https://www.morningside.edu
Mount Mercy University,Cedar Rapids,https://www.mtmercy.edu
Northwestern College,Orange City,https://www.nwciowa.edu
Orion Technical College,Davenport,https://orion.edu/iowa
Palmer College of Chiropractic,Davenport,https://www.palmer.edu
Saint Ambrose University,Davenport,https://www.sau.edu
Simpson College,Indianola,https://www.simpson.edu
St Luke's College,Sioux City,https://www.stlukescollege.edu
University of Dubuque,Dubuque,https://www.dbq.edu
University of Iowa,Iowa City,https://uiowa.edu
University of Northern Iowa,Cedar Falls,https://uni.edu
Upper Iowa University,Fayette,https://uiu.edu
Waldorf University,Forest City,https://www.waldorf.edu
Wartburg College,Waverly,https://www.wartburg.edu
William Penn University,Oskaloosa,https://www.wmpenn.edu
"Graceland University
Graceland University-Independence",Independence,https://www.graceland.edu/about/campus-locations/independence-campus
"Graceland University
Graceland University-Trenton",Trenton,https://www.graceland.edu/programs/elementary-education-indep
