institute,city,url
Baker University,Baldwin City,https://www.bakeru.edu
"Baker University
Baker University School of Nursing",Topeka,https://www.bakeru.edu/program/nursing
"Baker University
Baker University School of Professional and Graduate Studies",Overland Park,https://www.bakeru.edu/gradschool
Barclay College,Haviland,https://www.barclaycollege.edu
Benedictine College,Atchison,https://www.benedictine.edu
Bethany College,Lindsborg,https://www.bethanylb.edu
Bethel College,North Newton,https://www.bethelks.edu
Central Christian College of Kansas,McPherson,https://www.centralchristian.edu
Cleveland University-Kansas City,Overland Park,https://www.cleveland.edu
Donnelly College,Kansas City,https://www.donnelly.edu
Emporia State University,Emporia,https://www.emporia.edu
Fort Hays State University,Hays,https://www.fhsu.edu
Friends University,Wichita,https://www.friends.edu
Haskell Indian Nations University,Lawrence,https://www.haskell.edu
Hesston College,Hesston,https://www.hesston.edu
Kansas State University,Manhattan,http://www.k-state.edu/
Kansas Wesleyan University,Salina,https://www.kwu.edu
McPherson College,McPherson,https://www.mcpherson.edu
MidAmerica Nazarene University,Olathe,https://www.mnu.edu
Newman University,Wichita,https://newmanu.edu
Ottawa University,Ottawa,https://www.ottawa.edu
"Ottawa University
Ottawa University-Kansas City",Overland Park,https://www.ottawa.edu/online-and-evening/overland-park-ks?campus=overland-park-ks
Pittsburg State University,Pittsburg,https://www.pittstate.edu
Rasmussen University-Kansas,Topeka,https://www.rasmussen.edu/locations/kansas/topeka
"Rasmussen University-Kansas
Rasmussen University-Overland Park",Overland Park,https://www.rasmussen.edu/locations/kansas/kansas-city-overland-park
Southwestern College,Winfield,https://www.sckans.edu
Sterling College,Sterling,https://www.sterling.edu
Tabor College,Hillsboro,https://tabor.edu
University of Kansas,Lawrence,https://ku.edu
University of Saint Mary,Leavenworth,https://www.stmary.edu
Washburn University,Topeka,https://www.washburn.edu
Wichita State University,Wichita,https://www.wichita.edu
