institute,city,url
Alice Lloyd College,Pippa Passes,https://www.alc.edu
American National University-Louisville,Louisville,https://an.edu/locations/louisville-ky
American National University-Pikeville,Pikeville,https://an.edu/locations/pikeville-ky
Asbury University,Wilmore,https://www.asbury.edu
Beckfield College-Florence,Florence,https://www.beckfield.edu
Bellarmine University,Louisville,https://www.bellarmine.edu
Berea College,Berea,https://www.berea.edu
Brescia University,Owensboro,https://www.brescia.edu
Campbellsville University,Campbellsville,https://www.campbellsville.edu
Centre College,Danville,https://www.centre.edu
Eastern Kentucky University,Richmond,https://www.eku.edu
Frontier Nursing University,Versailles,https://frontier.edu
Galen College of Nursing-Louisville,Louisville,https://galencollege.edu/campuses/louisville
Georgetown College,Georgetown,https://www.georgetowncollege.edu
Kentucky Christian University,Grayson,https://www.kcu.edu
Kentucky State University,Frankfort,https://www.kysu.edu
Kentucky Wesleyan College,Owensboro,https://kwc.edu
Lindsey Wilson College,Columbia,https://www.lindsey.edu
Midway University,Midway,https://www.midway.edu
Morehead State University,Morehead,https://moreheadstate.edu
Murray State University,Murray,https://www.murraystate.edu
Northern Kentucky University,Highland Heights,https://www.nku.edu
Simmons College of Kentucky,Louisville,https://simmonscollegeky.edu
Spalding University,Louisville,https://spalding.edu
Sullivan University,Louisville,https://www.sullivan.edu
The Southern Baptist Theological Seminary,Louisville,https://www.sbts.edu
Thomas More University,Crestview Hills,https://www.thomasmore.edu
Transylvania University,Lexington,https://www.transy.edu
Union College,Barbourville,https://www.unionky.edu
University of Kentucky,Lexington,https://www.uky.edu
University of Louisville,Louisville,https://louisville.edu
University of Pikeville,Pikeville,https://www.upike.edu
University of the Cumberlands,Williamsburg,https://www.ucumberlands.edu
Western Kentucky University,Bowling Green,https://www.wku.edu
