institute,city,url
Centenary College of Louisiana,Shreveport,https://www.centenary.edu
Centenary College of Louisiana,Shreveport,https://www.centenary.edu
Dillard University,New Orleans,https://www.dillard.edu
Franciscan Missionaries of Our Lady University,Baton Rouge,https://franu.edu
Grambling State University,Grambling,https://www.gram.edu
Herzing University-New Orleans,Metairie,https://www.herzing.edu/new-orleans
Louisiana Christian University,Pineville,https://lcuniversity.edu
Louisiana State University and Agricultural and Mechanical College,Baton Rouge,https://www.lsu.edu
Louisiana State University Health Sciences Center - New Orleans,New Orleans,https://www.lsuhsc.edu
Louisiana State University Health Sciences Center - Shreveport,Shreveport,https://www.lsuhs.edu
Louisiana State University-Alexandria,Alexandria,https://www.lsua.edu
Louisiana State University-Shreveport,Shreveport,https://www.lsus.edu
Louisiana Tech University,Ruston,https://www.latech.edu
Loyola University New Orleans,New Orleans,https://www.loyno.edu
McNeese State University,Lake Charles,https://www.mcneese.edu
New Orleans Baptist Theological Seminary,New Orleans,https://www.nobts.edu
Nicholls State University,Thibodaux,https://www.nicholls.edu
Northwestern State University,Natchitoches,https://www.nsula.edu
Remington College-Shreveport Campus,Shreveport,https://www.remingtoncollege.edu/locations/shreveport/?loc=2254
Saint Joseph Seminary College,"Saint Benedict, LA 70457",https://www.sjasc.edu
Southeastern Louisiana University,Hammond,https://www.southeastern.edu
Southern University and Agricultural and Mechanical College at Baton Rouge,Baton Rouge,https://www.subr.edu
Southern University at New Orleans,New Orleans,https://www.suno.edu
Southern University Law Center,Baton Rouge,https://www.sulc.edu
Tulane University,New Orleans,https://tulane.edu
University of Holy Cross,New Orleans,https://uhcno.edu
University of Louisiana at Lafayette,Lafayette,https://louisiana.edu
University of Louisiana at Monroe,Monroe,https://www.ulm.edu
University of New Orleans,New Orleans,https://www.uno.edu
WorldQuant University,New Orleans,https://www.wqu.edu
Xavier University of Louisiana,New Orleans,https://www.xula.edu
