institute,city,url
Bates College,Lewiston,https://www.bates.edu
Beal University,Bangor,https://beal.edu
"Beal University
Beal University-Wilton Campus",Wilton,https://beal.edu/locations/wilton
Bowdoin College,Brunswick,https://www.bowdoin.edu
Colby College,Waterville,https://www.colby.edu
College of the Atlantic,Bar Harbor,https://www.coa.edu
Husson University,Bangor,https://www.husson.edu
Institute for Doctoral Studies in the Visual Arts,Portland,https://www.idsva.edu
Maine College of Art and Design,Portland,https://www.meca.edu
Maine College of Health Professions,Lewiston,https://www.mchp.edu
Maine Maritime Academy,Castine,https://mainemaritime.edu
Maine Media College,Rockport,https://www.mainemedia.edu/college
Saint Joseph's College of Maine,Standish,https://www.sjcme.edu
Thomas College,Waterville,https://www.thomas.edu
Unity Environmental University,New Gloucester,https://unity.edu
University of Maine,Orono,https://umaine.edu
"University of Maine
University of Maine at Machias",Machias,https://machias.edu
University of Maine at Augusta,Augusta,https://www.uma.edu
University of Maine at Farmington,Farmington,https://www.umf.maine.edu
University of Maine at Fort Kent,Fort Kent,https://www.umfk.edu
University of Maine at Presque Isle,Presque Isle,https://www.umpi.edu
University of New England,Biddeford,https://www.une.edu
University of Southern Maine,Portland,https://usm.maine.edu
